"Subject","Session","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","RT_sec","ACC"
1,"1",1,3,"Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",623.053465255452,0.623053465255452,1
1,"1",2,3,"Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",671.01541082684,0.67101541082684,1
1,"1",2,1,"Nonmatching","Self","Self","Self","Friend","Friend","Close",721.789361086849,0.721789361086849,1
1,"1",3,1,"Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",672.942400729426,0.672942400729426,1
1,"1",2,3,"Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",574.301888483205,0.574301888483205,1
1,"1",2,2,"Matching","Friend","Friend","Close","Friend","Friend","Close",717.612405217551,0.717612405217551,1
1,"1",1,3,"Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",526.463398248325,0.526463398248325,0
1,"1",3,1,"Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",415.624049863254,0.415624049863254,1
1,"1",3,3,"Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",464.385587579727,0.464385587579727,1
1,"1",3,1,"Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",641.778832670752,0.641778832670752,1
1,"1",2,2,"Matching","Friend","Friend","Close","Friend","Friend","Close",625.783367616805,0.625783367616805,1
1,"1",1,1,"Matching","Self","Self","Self","Self","Self","Self",544.459201974405,0.544459201974405,1
1,"1",2,2,"Matching","Friend","Friend","Close","Friend","Friend","Close",599.031894076688,0.599031894076688,1
1,"1",3,1,"Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",753.627254872299,0.753627254872299,1
1,"1",2,3,"Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",777.6370540264,0.7776370540264,1
1,"1",2,2,"Matching","Friend","Friend","Close","Friend","Friend","Close",579.659668991553,0.579659668991553,1
1,"1",3,2,"Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",543.604975560811,0.543604975560811,0
