Subject_ID,Gender,Group
"11001","male","matching-first"
"11002","male","matching-first"
"11003","male","matching-first"
"11004","male","matching-first"
"11005","male","matching-first"
"11006","male","matching-first"
"11007","male","matching-first"
"11008","male","matching-first"
"11009","male","matching-first"
"11010","male","matching-first"
"11011","male","matching-first"
"12001","male","nonmatching-first"
"12002","male","nonmatching-first"
"12003","male","nonmatching-first"
"12004","male","nonmatching-first"
"12005","male","nonmatching-first"
"12006","male","nonmatching-first"
"12007","male","nonmatching-first"
"12008","male","nonmatching-first"
"12009","male","nonmatching-first"
"12010","male","nonmatching-first"
"21001","female","matching-first"
"21002","female","matching-first"
"21003","female","matching-first"
"22001","female","nonmatching-first"
"22002","female","nonmatching-first"
