"Subject","Block","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"1","1","1","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","383","0.383","1"
"1","1","2","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","38","555","0.555","0"
"1","1","3","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","514","0.514","1"
"1","1","4","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","505","0.505","1"
"1","1","5","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","466","0.466","1"
"1","1","6","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","501","0.501","1"
"1","1","7","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","765","0.765","0"
"1","1","8","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","30","652","0.652","0"
"1","1","9","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","38","868","0.868","1"
"1","1","10","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","752","0.752","1"
"1","1","11","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","420","0.42","1"
"1","1","12","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","523","0.523","1"
"1","1","13","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","667","0.667","1"
"1","1","14","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","582","0.582","1"
"1","1","15","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","38","497","0.497","0"
"1","1","16","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","759","0.759","1"
"1","1","17","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","613","0.613","1"
"1","1","18","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","605","0.605","1"
"1","1","19","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","535","0.535","1"
"1","1","20","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","546","0.546","1"
"1","1","21","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","608","0.608","0"
"1","1","22","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","726","0.726","1"
"1","1","23","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","30","713","0.713","0"
"1","1","24","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","620","0.62","1"
"1","1","25","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","623","0.623","1"
"1","1","26","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","0","800","0.8","0"
"1","1","27","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","594","0.594","1"
"1","1","28","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","30","731","0.731","0"
"1","1","29","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","647","0.647","0"
"1","1","30","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","30","597","0.597","0"
"1","1","31","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","471","0.471","1"
"1","1","32","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","533","0.533","1"
"1","1","33","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","547","0.547","1"
"1","1","34","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","633","0.633","0"
"1","1","35","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","911","0.911","1"
