"Subject","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","RT_sec","ACC"
1,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",657,0.657,1
1,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",800,0.8,1
1,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",792,0.792,1
1,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",708,0.708,1
1,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",758,0.758,1
1,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",656,0.656,1
1,"kite","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",779,0.779,1
1,"kite","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",941,0.941,1
1,"kite","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",692,0.692,1
1,"kite","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",651,0.651,1
1,"kite","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",772,0.772,1
1,"kite","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",789,0.789,1
1,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",673,0.673,1
1,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",711,0.711,1
1,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",687,0.687,1
1,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",701,0.701,1
1,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",719,0.719,1
1,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",698,0.698,1
1,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",850,0.85,1
1,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",955,0.955,1
1,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",933,0.933,1
1,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",745,0.745,1
1,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",676,0.676,1
1,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",784,0.784,1
1,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",876,0.876,1
1,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",985,0.985,1
1,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",702,0.702,1
1,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",961,0.961,1
1,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",772,0.772,1
1,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",781,0.781,1
1,"kite","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",614,0.614,1
1,"kite","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",897,0.897,1
1,"kite","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",947,0.947,1
1,"kite","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",731,0.731,1
1,"kite","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",954,0.954,1
1,"kite","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",795,0.795,1
1,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",799,0.799,1
