"subj_idx","year","education","dist","trial_type","image","word","target","valence","matchness","exp_condition","response","key_press","correct_response","correct","rt","ACC","target_identity","test_identity"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","Formal","j","j","j",TRUE,0.611,1,"自我","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","朋友","Image","他人","Mismatch","Formal","j","j","f",FALSE,1.298,0,"他人","朋友"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","Formal","f","f","j",FALSE,0.61,0,"朋友","朋友"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","他人","Word","自我","Mismatch","Formal","f","f","f",TRUE,0.788,1,"他人","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","Formal","f","f","j",FALSE,1.315,0,"他人","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/C_ambi40.png","自我","Word","朋友","Mismatch","Formal","f","f","f",TRUE,0.606,1,"自我","朋友"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","Formal","j","j","j",TRUE,0.589,1,"自我","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/C_ambi40.png","他人","Word","朋友","Mismatch","Formal","f","f","f",TRUE,1.072,1,"他人","朋友"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","Formal","j","j","j",TRUE,0.91,1,"他人","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","朋友","Word","他人","Mismatch","Formal","f","f","f",TRUE,1.21,1,"朋友","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","Formal","j","j","j",TRUE,0.521,1,"自我","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","Formal","f","f","j",FALSE,0.572,0,"他人","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/C_ambi40.png","他人","Image","朋友","Mismatch","Formal","f","f","f",TRUE,1.182,1,"朋友","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","自我","Word","他人","Mismatch","Formal","f","f","f",TRUE,0.714,1,"自我","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/C_ambi40.png","自我","Image","朋友","Mismatch","Formal","f","f","f",TRUE,0.781,1,"朋友","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","他人","Image","自我","Mismatch","Formal","f","f","f",TRUE,0.94,1,"自我","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","自我","Image","他人","Mismatch","Formal","f","f","f",TRUE,0.787,1,"他人","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","Formal","j","j","j",TRUE,1.149,1,"朋友","朋友"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","Formal","j","j","j",TRUE,0.648,1,"自我","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","朋友","Word","自我","Mismatch","Formal","f","f","f",TRUE,0.616,1,"朋友","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","朋友","Image","自我","Mismatch","Formal","f","f","f",TRUE,1.124,1,"自我","朋友"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","Formal","j","j","j",TRUE,0.886,1,"他人","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","Formal","j","j","j",TRUE,1.048,1,"朋友","朋友"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","Formal","j","j","j",TRUE,0.832,1,"朋友","朋友"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","朋友","Word","自我","Mismatch","Formal","f","f","f",TRUE,0.616,1,"朋友","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","朋友","Word","他人","Mismatch","Formal","f","f","f",TRUE,1.183,1,"朋友","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","Formal","j","j","j",TRUE,0.736,1,"自我","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","Formal","j","j","j",TRUE,0.853,1,"朋友","朋友"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","朋友","Image","自我","Mismatch","Formal","f","f","f",TRUE,0.682,1,"自我","朋友"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","Formal","j","j","j",TRUE,0.593,1,"自我","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","Formal","j","j","j",TRUE,0.888,1,"朋友","朋友"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","Formal","j","j","j",TRUE,0.826,1,"他人","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","Formal","j","j","j",TRUE,0.791,1,"他人","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","自我","Image","他人","Mismatch","Formal","f","f","f",TRUE,0.55,1,"他人","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/T_ambi40.png","他人","Word","自我","Mismatch","Formal","j","j","f",FALSE,0.586,0,"他人","自我"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","自我","Word","他人","Mismatch","Formal","f","f","f",TRUE,0.944,1,"自我","他人"
1001,"2002","5",522.06,"psychophysics","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","Formal","j","j","j",TRUE,0.745,1,"他人","他人"
