"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
10,"U2E1",22,"male","right","/","/","/","/","/"
11,"U2E1",20,"female","left","/","/","/","/","/"
12,"U2E1",23,"male","right","/","/","/","/","/"
13,"U2E1",22,"male","right","/","/","/","/","/"
14,"U2E1",22,"male","left","/","/","/","/","/"
15,"U2E1",20,"female","left","/","/","/","/","/"
16,"U2E1",22,"male","left","/","/","/","/","/"
17,"U2E1",20,"female","right","/","/","/","/","/"
18,"U2E1",20,"female","right","/","/","/","/","/"
19,"U2E1",22,"male","right","/","/","/","/","/"
1,"U2E1",20,"female","right","/","/","/","/","/"
20,"U2E1",19,"male","right","/","/","/","/","/"
21,"U2E1",19,"female","left","/","/","/","/","/"
22,"U2E1",22,"male","left","/","/","/","/","/"
23,"U2E1",20,"male","right","/","/","/","/","/"
24,"U2E1",22,"female","right","/","/","/","/","/"
25,"U2E1",19,"male","right","/","/","/","/","/"
26,"U2E1",21,"female","right","/","/","/","/","/"
27,"U2E1",22,"female","right","/","/","/","/","/"
28,"U2E1",22,"male","right","/","/","/","/","/"
29,"U2E1",21,"female","right","/","/","/","/","/"
2,"U2E1",21,"male","right","/","/","/","/","/"
30,"U2E1",20,"male","right","/","/","/","/","/"
31,"U2E1",20,"male","right","/","/","/","/","/"
32,"U2E1",20,"female","right","/","/","/","/","/"
33,"U2E1",19,"female","right","/","/","/","/","/"
34,"U2E1",19,"female","left","/","/","/","/","/"
35,"U2E1",19,"female","right","/","/","/","/","/"
36,"U2E1",22,"male","right","/","/","/","/","/"
37,"U2E1",20,"female","right","/","/","/","/","/"
38,"U2E1",19,"female","right","/","/","/","/","/"
39,"U2E1",23,"male","right","/","/","/","/","/"
3,"U2E1",19,"female","right","/","/","/","/","/"
40,"U2E1",21,"male","right","/","/","/","/","/"
4,"U2E1",21,"male","right","/","/","/","/","/"
5,"U2E1",26,"female","right","/","/","/","/","/"
6,"U2E1",20,"female","right","/","/","/","/","/"
7,"U2E1",20,"male","right","/","/","/","/","/"
8,"U2E1",21,"female","right","/","/","/","/","/"
9,"U2E1",22,"female","right","/","/","/","/","/"
