"Subject","Trial","Block","Shape","Label","Matching","ACC","RT_ms","Resp","Cresp","bed","Condition"
1,63,16,"Dreieck.png","Fremder","Nonmatching",1,909,"k","k","L2n","Ass1"
1,64,16,"Dreieck.png","Ich","Matching",1,531,"d","d","L1m","Ass1"
1,65,17,"Dreieck.png","Ich","Matching",1,663,"d","d","L1m","Ass1"
1,66,17,"Kreis.png","Fremder","Matching",1,674,"d","d","L2m","Ass1"
1,67,17,"Dreieck.png","Fremder","Nonmatching",1,920,"k","k","L2n","Ass1"
1,68,17,"Kreis.png","Ich","Nonmatching",1,734,"k","k","L1n","Ass1"
1,69,18,"Kreis.png","Fremder","Matching",1,924,"d","d","L2m","Ass1"
1,70,18,"Dreieck.png","Fremder","Nonmatching",1,1099,"k","k","L2n","Ass1"
1,71,18,"Dreieck.png","Ich","Matching",1,586,"d","d","L1m","Ass1"
1,72,18,"Kreis.png","Ich","Nonmatching",1,680,"k","k","L1n","Ass1"
1,73,19,"Dreieck.png","Fremder","Nonmatching",1,1060,"k","k","L2n","Ass1"
1,74,19,"Kreis.png","Ich","Nonmatching",1,635,"k","k","L1n","Ass1"
1,75,19,"Dreieck.png","Ich","Matching",1,443,"d","d","L1m","Ass1"
1,76,19,"Kreis.png","Fremder","Matching",1,872,"d","d","L2m","Ass1"
1,77,20,"Kreis.png","Ich","Nonmatching",1,607,"k","k","L1n","Ass1"
1,78,20,"Kreis.png","Fremder","Matching",1,913,"d","d","L2m","Ass1"
1,79,20,"Dreieck.png","Ich","Matching",1,540,"d","d","L1m","Ass1"
1,80,20,"Dreieck.png","Fremder","Nonmatching",1,636,"k","k","L2n","Ass1"
1,81,21,"Dreieck.png","Ich","Matching",1,705,"d","d","L1m","Ass1"
1,82,21,"Kreis.png","Ich","Nonmatching",1,604,"k","k","L1n","Ass1"
1,83,21,"Kreis.png","Fremder","Matching",1,641,"d","d","L2m","Ass1"
1,84,21,"Dreieck.png","Fremder","Nonmatching",1,512,"k","k","L2n","Ass1"
1,85,22,"Kreis.png","Fremder","Matching",1,1140,"d","d","L2m","Ass1"
1,86,22,"Dreieck.png","Ich","Matching",1,429,"d","d","L1m","Ass1"
1,87,22,"Dreieck.png","Fremder","Nonmatching",1,681,"k","k","L2n","Ass1"
1,88,22,"Kreis.png","Ich","Nonmatching",1,1078,"k","k","L1n","Ass1"
1,89,23,"Dreieck.png","Fremder","Nonmatching",1,855,"k","k","L2n","Ass1"
1,90,23,"Kreis.png","Ich","Nonmatching",1,880,"k","k","L1n","Ass1"
1,91,23,"Dreieck.png","Ich","Matching",1,740,"d","d","L1m","Ass1"
1,92,23,"Kreis.png","Fremder","Matching",1,786,"d","d","L2m","Ass1"
1,93,24,"Dreieck.png","Fremder","Nonmatching",1,1084,"k","k","L2n","Ass1"
1,94,24,"Kreis.png","Ich","Nonmatching",1,586,"k","k","L1n","Ass1"
1,95,24,"Kreis.png","Fremder","Matching",1,1121,"d","d","L2m","Ass1"
1,96,24,"Dreieck.png","Ich","Matching",1,2064,"d","d","L1m","Ass1"
1,97,25,"Kreis.png","Fremder","Matching",1,661,"d","d","L2m","Ass1"
1,98,25,"Dreieck.png","Ich","Matching",1,739,"d","d","L1m","Ass1"
1,99,25,"Kreis.png","Ich","Nonmatching",1,814,"k","k","L1n","Ass1"
1,100,25,"Dreieck.png","Fremder","Nonmatching",1,939,"k","k","L2n","Ass1"
1,101,26,"Kreis.png","Ich","Nonmatching",1,808,"k","k","L1n","Ass1"
1,102,26,"Dreieck.png","Fremder","Nonmatching",1,786,"k","k","L2n","Ass1"
1,103,26,"Dreieck.png","Ich","Matching",1,449,"d","d","L1m","Ass1"
1,104,26,"Kreis.png","Fremder","Matching",1,834,"d","d","L2m","Ass1"
1,105,27,"Dreieck.png","Fremder","Nonmatching",1,760,"k","k","L2n","Ass1"
1,106,27,"Dreieck.png","Ich","Matching",1,641,"d","d","L1m","Ass1"
1,107,27,"Kreis.png","Ich","Nonmatching",1,728,"k","k","L1n","Ass1"
1,108,27,"Kreis.png","Fremder","Matching",1,773,"d","d","L2m","Ass1"
1,109,28,"Dreieck.png","Fremder","Nonmatching",1,662,"k","k","L2n","Ass1"
1,110,28,"Kreis.png","Fremder","Matching",1,959,"d","d","L2m","Ass1"
1,111,28,"Kreis.png","Ich","Nonmatching",1,671,"k","k","L1n","Ass1"
1,112,28,"Dreieck.png","Ich","Matching",1,724,"d","d","L1m","Ass1"
1,113,29,"Dreieck.png","Ich","Matching",1,589,"d","d","L1m","Ass1"
1,114,29,"Kreis.png","Fremder","Matching",1,758,"d","d","L2m","Ass1"
1,115,29,"Dreieck.png","Fremder","Nonmatching",1,753,"k","k","L2n","Ass1"
1,116,29,"Kreis.png","Ich","Nonmatching",1,745,"k","k","L1n","Ass1"
1,117,30,"Kreis.png","Fremder","Matching",1,1029,"d","d","L2m","Ass1"
1,118,30,"Kreis.png","Ich","Nonmatching",1,493,"k","k","L1n","Ass1"
1,119,30,"Dreieck.png","Ich","Matching",1,908,"d","d","L1m","Ass1"
1,120,30,"Dreieck.png","Fremder","Nonmatching",1,669,"k","k","L2n","Ass1"
1,121,31,"Kreis.png","Fremder","Matching",1,1278,"d","d","L2m","Ass1"
1,122,31,"Dreieck.png","Ich","Matching",1,546,"d","d","L1m","Ass1"
1,123,31,"Dreieck.png","Fremder","Nonmatching",1,494,"k","k","L2n","Ass1"
1,124,31,"Kreis.png","Ich","Nonmatching",1,797,"k","k","L1n","Ass1"
1,125,32,"Dreieck.png","Ich","Matching",1,790,"d","d","L1m","Ass1"
1,126,32,"Kreis.png","Fremder","Matching",1,1252,"d","d","L2m","Ass1"
1,127,32,"Kreis.png","Ich","Nonmatching",1,508,"k","k","L1n","Ass1"
1,128,32,"Dreieck.png","Fremder","Nonmatching",1,619,"k","k","L2n","Ass1"
10,1,1,"Kreis.png","Fremder","Matching",1,895,"d","d","L2m","Ass1"
10,2,1,"Dreieck.png","Ich","Matching",1,628,"d","d","L1m","Ass1"
10,3,1,"Dreieck.png","Fremder","Nonmatching",1,766,"k","k","L2n","Ass1"
10,4,1,"Kreis.png","Ich","Nonmatching",1,825,"k","k","L1n","Ass1"
10,5,2,"Kreis.png","Fremder","Matching",1,594,"d","d","L2m","Ass1"
10,6,2,"Kreis.png","Ich","Nonmatching",1,677,"k","k","L1n","Ass1"
10,7,2,"Dreieck.png","Ich","Matching",1,707,"d","d","L1m","Ass1"
10,8,2,"Dreieck.png","Fremder","Nonmatching",1,756,"k","k","L2n","Ass1"
10,9,3,"Dreieck.png","Ich","Matching",1,456,"d","d","L1m","Ass1"
10,10,3,"Kreis.png","Fremder","Matching",1,864,"d","d","L2m","Ass1"
10,11,3,"Dreieck.png","Fremder","Nonmatching",1,989,"k","k","L2n","Ass1"
10,12,3,"Kreis.png","Ich","Nonmatching",1,1174,"k","k","L1n","Ass1"
10,13,4,"Dreieck.png","Ich","Matching",1,821,"d","d","L1m","Ass1"
10,14,4,"Dreieck.png","Fremder","Nonmatching",1,615,"k","k","L2n","Ass1"
10,15,4,"Kreis.png","Fremder","Matching",1,679,"d","d","L2m","Ass1"
10,16,4,"Kreis.png","Ich","Nonmatching",1,767,"k","k","L1n","Ass1"
10,17,5,"Dreieck.png","Ich","Matching",1,585,"d","d","L1m","Ass1"
10,18,5,"Kreis.png","Ich","Nonmatching",1,730,"k","k","L1n","Ass1"
10,19,5,"Kreis.png","Fremder","Matching",1,772,"d","d","L2m","Ass1"
10,20,5,"Dreieck.png","Fremder","Nonmatching",1,725,"k","k","L2n","Ass1"
10,21,6,"Kreis.png","Fremder","Matching",1,640,"d","d","L2m","Ass1"
10,22,6,"Dreieck.png","Fremder","Nonmatching",1,788,"k","k","L2n","Ass1"
10,23,6,"Dreieck.png","Ich","Matching",1,620,"d","d","L1m","Ass1"
10,24,6,"Kreis.png","Ich","Nonmatching",1,584,"k","k","L1n","Ass1"
10,25,7,"Kreis.png","Fremder","Matching",1,599,"d","d","L2m","Ass1"
10,26,7,"Dreieck.png","Ich","Matching",1,570,"d","d","L1m","Ass1"
10,27,7,"Dreieck.png","Fremder","Nonmatching",1,568,"k","k","L2n","Ass1"
10,28,7,"Kreis.png","Ich","Nonmatching",0,511,"d","k","L1n","Ass1"
10,29,8,"Kreis.png","Fremder","Matching",1,755,"d","d","L2m","Ass1"
10,30,8,"Kreis.png","Ich","Nonmatching",1,620,"k","k","L1n","Ass1"
10,31,8,"Dreieck.png","Ich","Matching",1,345,"d","d","L1m","Ass1"
10,32,8,"Dreieck.png","Fremder","Nonmatching",1,540,"k","k","L2n","Ass1"
10,33,9,"Dreieck.png","Fremder","Nonmatching",1,675,"k","k","L2n","Ass1"
10,34,9,"Dreieck.png","Ich","Matching",0,712,"k","d","L1m","Ass1"
10,35,9,"Kreis.png","Ich","Nonmatching",1,756,"k","k","L1n","Ass1"
10,36,9,"Kreis.png","Fremder","Matching",1,664,"d","d","L2m","Ass1"
10,37,10,"Kreis.png","Ich","Nonmatching",1,556,"k","k","L1n","Ass1"
10,38,10,"Dreieck.png","Fremder","Nonmatching",1,537,"k","k","L2n","Ass1"
10,39,10,"Kreis.png","Fremder","Matching",1,627,"d","d","L2m","Ass1"
10,40,10,"Dreieck.png","Ich","Matching",1,668,"d","d","L1m","Ass1"
10,41,11,"Dreieck.png","Fremder","Nonmatching",1,525,"k","k","L2n","Ass1"
10,42,11,"Dreieck.png","Ich","Matching",1,644,"d","d","L1m","Ass1"
10,43,11,"Kreis.png","Fremder","Matching",1,758,"d","d","L2m","Ass1"
10,44,11,"Kreis.png","Ich","Nonmatching",1,1530,"k","k","L1n","Ass1"
10,45,12,"Kreis.png","Fremder","Matching",1,698,"d","d","L2m","Ass1"
10,46,12,"Kreis.png","Ich","Nonmatching",1,651,"k","k","L1n","Ass1"
10,47,12,"Dreieck.png","Fremder","Nonmatching",1,727,"k","k","L2n","Ass1"
10,48,12,"Dreieck.png","Ich","Matching",1,536,"d","d","L1m","Ass1"
10,49,13,"Kreis.png","Fremder","Matching",1,739,"d","d","L2m","Ass1"
10,50,13,"Dreieck.png","Fremder","Nonmatching",1,580,"k","k","L2n","Ass1"
10,51,13,"Kreis.png","Ich","Nonmatching",1,631,"k","k","L1n","Ass1"
10,52,13,"Dreieck.png","Ich","Matching",1,546,"d","d","L1m","Ass1"
10,53,14,"Kreis.png","Ich","Nonmatching",1,596,"k","k","L1n","Ass1"
10,54,14,"Kreis.png","Fremder","Matching",1,672,"d","d","L2m","Ass1"
10,55,14,"Dreieck.png","Fremder","Nonmatching",1,627,"k","k","L2n","Ass1"
10,56,14,"Dreieck.png","Ich","Matching",1,514,"d","d","L1m","Ass1"
10,57,15,"Kreis.png","Fremder","Matching",1,653,"d","d","L2m","Ass1"
10,58,15,"Dreieck.png","Ich","Matching",1,911,"d","d","L1m","Ass1"
10,59,15,"Kreis.png","Ich","Nonmatching",1,626,"k","k","L1n","Ass1"
10,60,15,"Dreieck.png","Fremder","Nonmatching",1,654,"k","k","L2n","Ass1"
10,61,16,"Dreieck.png","Fremder","Nonmatching",1,620,"k","k","L2n","Ass1"
10,62,16,"Dreieck.png","Ich","Matching",1,728,"d","d","L1m","Ass1"
10,63,16,"Kreis.png","Ich","Nonmatching",1,578,"k","k","L1n","Ass1"
10,64,16,"Kreis.png","Fremder","Matching",0,574,"k","d","L2m","Ass1"
10,65,17,"Dreieck.png","Ich","Matching",1,824,"d","d","L1m","Ass1"
10,66,17,"Kreis.png","Ich","Nonmatching",1,605,"k","k","L1n","Ass1"
10,67,17,"Dreieck.png","Fremder","Nonmatching",1,795,"k","k","L2n","Ass1"
10,68,17,"Kreis.png","Fremder","Matching",1,639,"d","d","L2m","Ass1"
10,69,18,"Kreis.png","Fremder","Matching",1,897,"d","d","L2m","Ass1"
10,70,18,"Kreis.png","Ich","Nonmatching",1,855,"k","k","L1n","Ass1"
10,71,18,"Dreieck.png","Ich","Matching",1,673,"d","d","L1m","Ass1"
10,72,18,"Dreieck.png","Fremder","Nonmatching",1,622,"k","k","L2n","Ass1"
10,73,19,"Kreis.png","Ich","Nonmatching",1,854,"k","k","L1n","Ass1"
10,74,19,"Dreieck.png","Ich","Matching",1,481,"d","d","L1m","Ass1"
10,75,19,"Kreis.png","Fremder","Matching",1,892,"d","d","L2m","Ass1"
10,76,19,"Dreieck.png","Fremder","Nonmatching",1,553,"k","k","L2n","Ass1"
10,77,20,"Dreieck.png","Fremder","Nonmatching",1,682,"k","k","L2n","Ass1"
10,78,20,"Dreieck.png","Ich","Matching",1,628,"d","d","L1m","Ass1"
10,79,20,"Kreis.png","Ich","Nonmatching",1,679,"k","k","L1n","Ass1"
10,80,20,"Kreis.png","Fremder","Matching",1,899,"d","d","L2m","Ass1"
10,81,21,"Dreieck.png","Ich","Matching",0,837,"k","d","L1m","Ass1"
10,82,21,"Dreieck.png","Fremder","Nonmatching",1,743,"k","k","L2n","Ass1"
10,83,21,"Kreis.png","Ich","Nonmatching",1,786,"k","k","L1n","Ass1"
10,84,21,"Kreis.png","Fremder","Matching",1,613,"d","d","L2m","Ass1"
10,85,22,"Dreieck.png","Ich","Matching",1,653,"d","d","L1m","Ass1"
