"Subject","Trial","Task","Block","Shape","ShapeCode","Label","LabelCode","Matching","ACC","RT_ms","Response","CorrectResp"
74,1,"Self",1,"Circle","Self","self",NA,"Matching",0,788,"n","m"
74,2,"Self",1,"Triangle","Friend","friend",NA,"Nonmatching",NA,NA,NA,"n"
74,3,"Self",1,"Square","Stranger","stranger",NA,"Nonmatching",1,1022,"n","n"
74,4,"Self",1,"Square","Stranger","stranger",NA,"Nonmatching",1,866,"n","n"
74,5,"Self",1,"Square","Stranger","stranger",NA,"Matching",1,899,"m","m"
74,6,"Self",1,"Circle","Self","self",NA,"Matching",1,836,"m","m"
74,7,"Self",1,"Triangle","Friend","friend",NA,"Matching",0,907,"n","m"
74,8,"Self",1,"Triangle","Friend","friend",NA,"Matching",0,894,"n","m"
74,9,"Self",1,"Square","Stranger","stranger",NA,"Matching",1,842,"m","m"
74,10,"Self",1,"Triangle","Friend","friend",NA,"Nonmatching",1,777,"n","n"
74,11,"Self",1,"Circle","Self","self",NA,"Nonmatching",1,973,"n","n"
74,12,"Self",1,"Circle","Self","self",NA,"Nonmatching",1,936,"n","n"
74,13,"Self",1,"Square","Stranger","stranger",NA,"Matching",1,820,"m","m"
74,14,"Self",1,"Triangle","Friend","friend",NA,"Nonmatching",0,705,"m","n"
74,15,"Self",1,"Triangle","Friend","friend",NA,"Nonmatching",1,850,"n","n"
74,16,"Self",1,"Triangle","Friend","friend",NA,"Matching",0,893,"n","m"
74,17,"Self",1,"Circle","Self","self",NA,"Nonmatching",1,980,"n","n"
74,18,"Self",1,"Square","Stranger","stranger",NA,"Matching",1,1017,"m","m"
74,19,"Self",1,"Square","Stranger","stranger",NA,"Nonmatching",NA,NA,NA,"n"
74,20,"Self",1,"Triangle","Friend","friend",NA,"Matching",NA,NA,NA,"m"
74,21,"Self",1,"Circle","Self","self",NA,"Matching",1,582,"m","m"
74,22,"Self",1,"Square","Stranger","stranger",NA,"Nonmatching",1,538,"n","n"
74,23,"Self",1,"Circle","Self","self",NA,"Nonmatching",1,807,"n","n"
74,24,"Self",1,"Circle","Self","self",NA,"Matching",1,516,"m","m"
74,25,"Self",1,"Triangle","Friend","friend",NA,"Nonmatching",1,762,"n","n"
74,26,"Self",1,"Square","Stranger","stranger",NA,"Nonmatching",1,590,"n","n"
74,27,"Self",1,"Circle","Self","self",NA,"Nonmatching",1,733,"n","n"
74,28,"Self",1,"Triangle","Friend","friend",NA,"Matching",1,589,"m","m"
74,29,"Self",1,"Circle","Self","self",NA,"Nonmatching",1,1049,"n","n"
74,30,"Self",1,"Circle","Self","self",NA,"Matching",1,683,"m","m"
74,31,"Self",1,"Square","Stranger","stranger",NA,"Nonmatching",1,569,"n","n"
74,32,"Self",1,"Triangle","Friend","friend",NA,"Matching",0,903,"n","m"
74,33,"Self",1,"Square","Stranger","stranger",NA,"Matching",NA,NA,NA,"m"
74,34,"Self",1,"Triangle","Friend","friend",NA,"Nonmatching",1,727,"n","n"
74,35,"Self",1,"Circle","Self","self",NA,"Matching",1,592,"m","m"
74,36,"Self",1,"Square","Stranger","stranger",NA,"Matching",0,609,"n","m"
74,37,"Self",1,"Square","Stranger","stranger",NA,"Nonmatching",1,657,"n","n"
74,38,"Self",1,"Triangle","Friend","friend",NA,"Nonmatching",1,633,"n","n"
74,39,"Self",1,"Square","Stranger","stranger",NA,"Nonmatching",1,866,"n","n"
74,40,"Self",1,"Triangle","Friend","friend",NA,"Matching",0,770,"n","m"
74,41,"Self",1,"Triangle","Friend","friend",NA,"Matching",0,1061,"n","m"
74,42,"Self",1,"Circle","Self","self",NA,"Matching",1,597,"m","m"
74,43,"Self",1,"Circle","Self","self",NA,"Matching",1,787,"m","m"
74,44,"Self",1,"Square","Stranger","stranger",NA,"Matching",0,565,"n","m"
74,45,"Self",1,"Square","Stranger","stranger",NA,"Matching",0,478,"n","m"
74,46,"Self",1,"Circle","Self","self",NA,"Nonmatching",1,629,"n","n"
74,47,"Self",1,"Circle","Self","self",NA,"Nonmatching",1,808,"n","n"
74,48,"Self",1,"Triangle","Friend","friend",NA,"Nonmatching",0,443,"m","n"
74,49,"Self",1,"Circle","Self","self",NA,"Nonmatching",1,525,"n","n"
74,50,"Self",1,"Triangle","Friend","friend",NA,"Matching",0,653,"n","m"
74,51,"Self",1,"Triangle","Friend","friend",NA,"Matching",1,636,"m","m"
74,52,"Self",1,"Square","Stranger","stranger",NA,"Matching",0,467,"n","m"
74,53,"Self",1,"Square","Stranger","stranger",NA,"Nonmatching",1,610,"n","n"
74,54,"Self",1,"Triangle","Friend","friend",NA,"Nonmatching",1,665,"n","n"
74,55,"Self",1,"Square","Stranger","stranger",NA,"Matching",0,536,"n","m"
