"Subject","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"2501","Anna","none","self-matching","Nonmatching","none","NonPerson","NonPerson","Anna","Close","Close","m","973","0.973","1"
"2501","none","You","self-matching","Nonmatching","You","Self","Self","none","NonPerson","NonPerson","m","761","0.761","1"
"2501","Anna","You","self-matching","Nonmatching","You","Self","Self","Anna","Close","Close","m","510","0.51","1"
"2501","none","Anna","self-matching","Nonmatching","Anna","Close","Close","none","NonPerson","NonPerson","m","597","0.597","1"
"2501","Anna","Anna","self-matching","Matching","Anna","Close","Close","Anna","Close","Close","z","609","0.609","1"
"2501","Anna","Anna","self-matching","Matching","Anna","Close","Close","Anna","Close","Close","m","470","0.47","0"
"2501","Anna","You","self-matching","Nonmatching","You","Self","Self","Anna","Close","Close","m","518","0.518","1"
"2501","Anna","none","self-matching","Nonmatching","none","NonPerson","NonPerson","Anna","Close","Close","m","613","0.613","1"
"2501","none","Anna","self-matching","Nonmatching","Anna","Close","Close","none","NonPerson","NonPerson","m","641","0.641","1"
"2501","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","z","531","0.531","1"
"2501","Anna","Anna","self-matching","Matching","Anna","Close","Close","Anna","Close","Close","z","569","0.569","1"
"2501","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","m","512","0.512","0"
"2501","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","m","679","0.679","1"
"2501","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","m","657","0.657","1"
"2501","none","You","self-matching","Nonmatching","You","Self","Self","none","NonPerson","NonPerson","m","578","0.578","1"
"2501","Anna","Anna","self-matching","Matching","Anna","Close","Close","Anna","Close","Close","z","765","0.765","1"
"2501","none","Anna","self-matching","Nonmatching","Anna","Close","Close","none","NonPerson","NonPerson","m","578","0.578","1"
"2501","none","You","self-matching","Nonmatching","You","Self","Self","none","NonPerson","NonPerson","m","640","0.64","1"
"2501","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","m","441","0.441","0"
"2501","Anna","Anna","self-matching","Matching","Anna","Close","Close","Anna","Close","Close","z","763","0.763","1"
"2501","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","z","376","0.376","1"
"2501","Anna","Anna","self-matching","Matching","Anna","Close","Close","Anna","Close","Close","z","598","0.598","1"
"2501","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","z","523","0.523","1"
"2501","Anna","You","self-matching","Nonmatching","You","Self","Self","Anna","Close","Close","z","531","0.531","0"
"2501","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","z","704","0.704","1"
"2501","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","z","686","0.686","1"
"2501","Anna","You","self-matching","Nonmatching","You","Self","Self","Anna","Close","Close","z","472","0.472","0"
"2501","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","m","960","0.96","1"
"2501","Anna","Anna","self-matching","Matching","Anna","Close","Close","Anna","Close","Close","z","542","0.542","1"
"2501","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","z","500","0.5","1"
"2501","Anna","Anna","self-matching","Matching","Anna","Close","Close","Anna","Close","Close","z","611","0.611","1"
"2501","Anna","Anna","self-matching","Matching","Anna","Close","Close","Anna","Close","Close","z","534","0.534","1"
"2501","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","z","541","0.541","1"
