"subNo","hand","phaselabel","trial","resp","objnumber","objname","permutation","slot_identity1","slot_identity2","slot_identity3","version","self_pseudoword","objtype","ac","rt_ms"
"2501","1","test","1","m","1","shape1.jpg","1","You","Anna","<none>","1","Nenu","1","0","1459"
"2501","1","test","2","z","1","shape1.jpg","1","You","Anna","<none>","1","Nenu","1","1","691"
"2501","1","test","3","z","2","shape2.jpg","1","You","Anna","<none>","1","Nenu","1","1","730"
"2501","1","test","4","z","2","shape2.jpg","1","You","Anna","<none>","1","Nenu","1","1","626"
"2501","1","test","5","z","1","shape1.jpg","1","You","Anna","<none>","1","Nenu","1","1","540"
"2501","1","test","6","z","2","shape2.jpg","1","You","Anna","<none>","1","Nenu","1","1","596"
"2501","1","test","7","m","6","shape3.jpg","1","You","Anna","<none>","1","Nenu","2","1","703"
"2501","1","test","8","m","5","shape2.jpg","1","You","Anna","<none>","1","Nenu","2","1","1141"
"2501","1","test","9","z","2","shape2.jpg","1","You","Anna","<none>","1","Nenu","1","1","1500"
"2501","1","test","10","z","4","shape1.jpg","1","You","Anna","<none>","1","Nenu","2","0","833"
"2501","1","test","11","m","9","shape3.jpg","1","You","Anna","<none>","1","Nenu","2","1","730"
"2501","1","test","12","z","3","shape3.jpg","1","You","Anna","<none>","1","Nenu","1","1","487"
"2501","1","test","13","z","1","shape1.jpg","1","You","Anna","<none>","1","Nenu","1","1","680"
"2501","1","test","14","m","6","shape3.jpg","1","You","Anna","<none>","1","Nenu","2","1","554"
"2501","1","test","15","z","1","shape1.jpg","1","You","Anna","<none>","1","Nenu","1","1","559"
"2501","1","test","16","z","3","shape3.jpg","1","You","Anna","<none>","1","Nenu","1","1","757"
"2501","1","test","17","z","1","shape1.jpg","1","You","Anna","<none>","1","Nenu","1","1","721"
"2501","1","test","18","z","1","shape1.jpg","1","You","Anna","<none>","1","Nenu","1","1","729"
"2501","1","test","19","m","5","shape2.jpg","1","You","Anna","<none>","1","Nenu","2","1","719"
"2501","1","test","20","z","1","shape1.jpg","1","You","Anna","<none>","1","Nenu","1","1","662"
"2501","1","test","21","m","4","shape1.jpg","1","You","Anna","<none>","1","Nenu","2","1","632"
"2501","1","test","22","m","9","shape3.jpg","1","You","Anna","<none>","1","Nenu","2","1","937"
"2501","1","test","23","z","1","shape1.jpg","1","You","Anna","<none>","1","Nenu","1","1","718"
"2501","1","test","24","m","4","shape1.jpg","1","You","Anna","<none>","1","Nenu","2","1","798"
"2501","1","test","25","m","7","shape1.jpg","1","You","Anna","<none>","1","Nenu","2","1","842"
"2501","1","test","26","m","7","shape1.jpg","1","You","Anna","<none>","1","Nenu","2","1","666"
"2501","1","test","27","m","4","shape1.jpg","1","You","Anna","<none>","1","Nenu","2","1","611"
"2501","1","test","28","z","3","shape3.jpg","1","You","Anna","<none>","1","Nenu","1","1","1310"
"2501","1","test","29","m","8","shape2.jpg","1","You","Anna","<none>","1","Nenu","2","1","596"
"2501","1","test","30","z","1","shape1.jpg","1","You","Anna","<none>","1","Nenu","1","1","584"
"2501","1","test","31","m","7","shape1.jpg","1","You","Anna","<none>","1","Nenu","2","1","532"
