"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education","FaceRace"
"2001","Wozniak_2020_PLOS_Exp2","21","Female","Right","/","/","/","/","/","Asian"
"2002","Wozniak_2020_PLOS_Exp2","28","Female","Right","/","/","/","/","/","Causasian"
"2003","Wozniak_2020_PLOS_Exp2","24","Female","Right","/","/","/","/","/","Asian"
"2004","Wozniak_2020_PLOS_Exp2","20","Female","Right","/","/","/","/","/","Asian"
"2005","Wozniak_2020_PLOS_Exp2","24","Female","Right","/","/","/","/","/","Asian"
"2006","Wozniak_2020_PLOS_Exp2","20","Female","Right","/","/","/","/","/","Causasian"
"2007","Wozniak_2020_PLOS_Exp2","18","Female","Right","/","/","/","/","/","Asian"
"2008","Wozniak_2020_PLOS_Exp2","19","Female","Right","/","/","/","/","/","Asian"
"2009","Wozniak_2020_PLOS_Exp2","25","Female","Right","/","/","/","/","/","Asian"
"2010","Wozniak_2020_PLOS_Exp2","20","Female","Right","/","/","/","/","/","Asian"
"2011","Wozniak_2020_PLOS_Exp2","20","Female","Right","/","/","/","/","/","Causasian"
"2012","Wozniak_2020_PLOS_Exp2","22","Female","Left","/","/","/","/","/","Asian"
"2101","Wozniak_2020_PLOS_Exp2","35","Male","Right","/","/","/","/","/","Asian"
"2102","Wozniak_2020_PLOS_Exp2","22","Male","Right","/","/","/","/","/","Asian"
"2103","Wozniak_2020_PLOS_Exp2","26","Male","Right","/","/","/","/","/","Asian"
"2104","Wozniak_2020_PLOS_Exp2","20","Male","Right","/","/","/","/","/","Asian"
"2105","Wozniak_2020_PLOS_Exp2","19","Male","Right","/","/","/","/","/","Asian"
"2106","Wozniak_2020_PLOS_Exp2","20","Male","Right","/","/","/","/","/","Causasian"
"2107","Wozniak_2020_PLOS_Exp2","19","Male","Left","/","/","/","/","/","Causasian"
"2108","Wozniak_2020_PLOS_Exp2","21","Male","Right","/","/","/","/","/","Asian"
"2109","Wozniak_2020_PLOS_Exp2","20","Male","Left","/","/","/","/","/","Causasian"
"2110","Wozniak_2020_PLOS_Exp2","21","Male","Right","/","/","/","/","/","Asian"
"2111","Wozniak_2020_PLOS_Exp2","20","Male","Right","/","/","/","/","/","Asian"
"2112","Wozniak_2020_PLOS_Exp2","20","Male","Right","/","/","/","/","/","Causasian"
