"Subject","Session","Block","Trial","Shape","Label","Matching","ACC","RT_ms","Response","Age","Sex","Hand"
1,1,1,1,2,2,"Matching",0,633.762685008151,2,22,"f","R"
1,1,1,2,3,2,"Nonmatching",1,810.364487818333,2,22,"f","R"
1,1,1,3,3,3,"Matching",1,659.813572150597,1,22,"f","R"
1,1,1,4,3,3,"Matching",1,570.386027605309,1,22,"f","R"
1,1,1,5,3,3,"Matching",1,516.308364237375,1,22,"f","R"
1,1,1,6,2,1,"Nonmatching",1,720.434670215582,2,22,"f","R"
1,1,1,7,3,3,"Matching",1,571.716568251759,1,22,"f","R"
1,1,1,8,1,1,"Matching",0,908.959119353312,2,22,"f","R"
1,1,1,9,2,3,"Nonmatching",1,785.608523401606,2,22,"f","R"
1,1,1,10,2,2,"Matching",1,891.673862968673,1,22,"f","R"
1,1,1,11,1,1,"Matching",1,431.799714968292,1,22,"f","R"
1,1,1,12,2,2,"Matching",0,775.058676271328,2,22,"f","R"
1,1,1,13,3,1,"Nonmatching",1,784.437961552612,2,22,"f","R"
1,1,1,14,2,2,"Matching",1,738.354408550549,1,22,"f","R"
1,1,1,15,2,1,"Nonmatching",1,645.857082157818,2,22,"f","R"
1,1,1,16,1,3,"Nonmatching",1,741.03571357864,2,22,"f","R"
1,1,1,17,2,2,"Matching",1,560.380712083315,1,22,"f","R"
1,1,1,18,1,1,"Matching",0,714.545639357311,2,22,"f","R"
1,1,1,19,2,1,"Nonmatching",1,975.656091436576,2,22,"f","R"
1,1,1,20,3,3,"Matching",1,593.626721140936,1,22,"f","R"
1,1,1,21,3,2,"Nonmatching",1,795.626214641743,2,22,"f","R"
1,1,1,22,3,3,"Matching",4,0,0,22,"f","R"
1,1,1,23,1,2,"Nonmatching",3,1169.04117942067,2,22,"f","R"
1,1,1,24,2,3,"Nonmatching",1,779.649464088834,2,22,"f","R"
1,1,1,25,1,3,"Nonmatching",1,869.695492705432,2,22,"f","R"
1,1,1,26,3,2,"Nonmatching",3,1043.71559992796,2,22,"f","R"
1,1,1,27,2,1,"Nonmatching",1,843.798547425649,2,22,"f","R"
1,1,1,28,3,1,"Nonmatching",1,618.295451835365,2,22,"f","R"
1,1,1,29,3,1,"Nonmatching",1,530.305603546367,2,22,"f","R"
1,1,1,30,2,2,"Matching",1,726.460135821071,1,22,"f","R"
1,1,1,31,1,1,"Matching",0,609.655993034721,2,22,"f","R"
1,1,1,32,1,1,"Matching",1,538.34770755202,1,22,"f","R"
1,1,1,33,2,2,"Matching",1,781.1321355166,1,22,"f","R"
1,1,1,34,3,1,"Nonmatching",1,557.668316835588,2,22,"f","R"
1,1,1,35,1,1,"Matching",1,768.392088084511,1,22,"f","R"
1,1,1,36,1,2,"Nonmatching",3,1001.69460286179,2,22,"f","R"
1,1,1,37,2,3,"Nonmatching",1,762.409484722411,2,22,"f","R"
1,1,1,38,2,3,"Nonmatching",1,587.667359980514,2,22,"f","R"
1,1,1,39,1,1,"Matching",0,981.700875237038,2,22,"f","R"
1,1,1,40,1,1,"Matching",1,415.850734320884,1,22,"f","R"
1,1,1,41,2,2,"Matching",1,503.645287736617,1,22,"f","R"
1,1,1,42,3,3,"Matching",1,715.71288089217,1,22,"f","R"
1,1,1,43,3,1,"Nonmatching",1,751.640194977881,2,22,"f","R"
1,1,1,44,3,3,"Matching",1,778.299303400672,1,22,"f","R"
1,1,1,45,2,1,"Nonmatching",1,714.978487653752,2,22,"f","R"
1,1,1,46,1,2,"Nonmatching",0,536.418302875063,1,22,"f","R"
1,1,1,47,1,1,"Matching",1,500.360289130185,1,22,"f","R"
1,1,1,48,1,3,"Nonmatching",1,761.743308858968,2,22,"f","R"
1,1,1,49,2,2,"Matching",1,939.87456934974,1,22,"f","R"
1,1,1,50,3,3,"Matching",0,550.985428923013,2,22,"f","R"
1,1,1,51,1,3,"Nonmatching",0,449.747223207851,1,22,"f","R"
1,1,1,52,3,2,"Nonmatching",1,753.045291781746,2,22,"f","R"
1,1,1,53,3,2,"Nonmatching",1,940.323415526109,2,22,"f","R"
1,1,1,54,2,2,"Matching",1,592.348098141883,1,22,"f","R"
1,1,1,55,3,3,"Matching",1,528.383443192979,1,22,"f","R"
1,1,1,56,1,2,"Nonmatching",0,634.958903833649,1,22,"f","R"
1,1,1,57,1,3,"Nonmatching",1,730.380521919869,2,22,"f","R"
1,1,1,58,1,2,"Nonmatching",1,982.392406231156,2,22,"f","R"
1,1,1,59,1,1,"Matching",1,463.083719896531,1,22,"f","R"
1,1,1,60,2,3,"Nonmatching",1,709.630366241981,2,22,"f","R"
1,1,2,1,2,1,"Nonmatching",1,565.053602227636,2,22,"f","R"
1,1,2,2,2,2,"Matching",1,728.320115737006,1,22,"f","R"
1,1,2,3,1,1,"Matching",1,634.372113675454,1,22,"f","R"
1,1,2,4,1,1,"Matching",1,634.437010735383,1,22,"f","R"
1,1,2,5,1,1,"Matching",1,537.742806585811,1,22,"f","R"
1,1,2,6,1,2,"Nonmatching",1,612.471318037933,2,22,"f","R"
1,1,2,7,2,2,"Matching",1,620.422868006244,1,22,"f","R"
1,1,2,8,1,3,"Nonmatching",1,555.736195537065,2,22,"f","R"
1,1,2,9,1,1,"Matching",1,582.599654237129,1,22,"f","R"
1,1,2,10,2,2,"Matching",1,551.760571476734,1,22,"f","R"
1,1,2,11,2,2,"Matching",1,578.304676273547,1,22,"f","R"
1,1,2,12,1,2,"Nonmatching",1,619.083573802527,2,22,"f","R"
1,1,2,13,1,2,"Nonmatching",1,682.973974440756,2,22,"f","R"
1,1,2,14,3,2,"Nonmatching",1,696.973628523665,2,22,"f","R"
1,1,2,15,3,3,"Matching",1,590.327233888274,1,22,"f","R"
1,1,2,16,1,1,"Matching",1,639.665600818262,1,22,"f","R"
1,1,2,17,1,1,"Matching",1,966.483873053221,1,22,"f","R"
1,1,2,18,3,2,"Nonmatching",1,560.416933697525,2,22,"f","R"
1,1,2,19,3,3,"Matching",1,505.658303974087,1,22,"f","R"
1,1,2,20,2,3,"Nonmatching",1,822.492389961553,2,22,"f","R"
1,1,2,21,3,3,"Matching",1,702.984303638004,1,22,"f","R"
1,1,2,22,1,1,"Matching",0,763.032194648986,2,22,"f","R"
1,1,2,23,2,3,"Nonmatching",1,653.651973642809,2,22,"f","R"
1,1,2,24,3,3,"Matching",1,564.307135116906,1,22,"f","R"
1,1,2,25,3,1,"Nonmatching",1,629.67326470789,2,22,"f","R"
1,1,2,26,2,2,"Matching",1,478.744436860325,1,22,"f","R"
1,1,2,27,1,1,"Matching",1,587.73406812179,1,22,"f","R"
1,1,2,28,2,2,"Matching",1,708.310390233237,1,22,"f","R"
1,1,2,29,3,3,"Matching",1,752.271960307553,1,22,"f","R"
1,1,2,30,3,3,"Matching",1,441.637505522522,1,22,"f","R"
1,1,2,31,3,1,"Nonmatching",1,633.094999910099,2,22,"f","R"
1,1,2,32,3,1,"Nonmatching",1,592.367416335946,2,22,"f","R"
1,1,2,33,3,3,"Matching",1,465.618327384618,1,22,"f","R"
1,1,2,34,2,1,"Nonmatching",1,814.959199643454,2,22,"f","R"
1,1,2,35,3,2,"Nonmatching",1,799.051572005737,2,22,"f","R"
1,1,2,36,2,3,"Nonmatching",1,751.628724799048,2,22,"f","R"
1,1,2,37,1,3,"Nonmatching",1,722.36407489163,2,22,"f","R"
1,1,2,38,2,1,"Nonmatching",1,709.334858235707,2,22,"f","R"
1,1,2,39,3,2,"Nonmatching",1,610.276288186469,2,22,"f","R"
1,1,2,40,1,3,"Nonmatching",1,587.759121404815,2,22,"f","R"
1,1,2,41,3,1,"Nonmatching",1,677.042986879314,2,22,"f","R"
1,1,2,42,3,3,"Matching",0,603.62479234027,2,22,"f","R"
1,1,2,43,2,1,"Nonmatching",1,716.405015579767,2,22,"f","R"
1,1,2,44,2,3,"Nonmatching",1,841.670225714552,2,22,"f","R"
1,1,2,45,2,3,"Nonmatching",1,520.407745481862,2,22,"f","R"
1,1,2,46,3,2,"Nonmatching",0,764.433669291975,1,22,"f","R"
1,1,2,47,2,1,"Nonmatching",1,677.583896325814,2,22,"f","R"
1,1,2,48,1,1,"Matching",1,667.641063088922,1,22,"f","R"
1,1,2,49,2,2,"Matching",0,689.107501197213,2,22,"f","R"
1,1,2,50,3,3,"Matching",1,518.411028971059,1,22,"f","R"
1,1,2,51,1,3,"Nonmatching",1,497.647592034809,2,22,"f","R"
1,1,2,52,2,2,"Matching",1,695.073502985906,1,22,"f","R"
1,1,2,53,1,3,"Nonmatching",1,579.094307474406,2,22,"f","R"
1,1,2,54,3,3,"Matching",1,540.413848823846,1,22,"f","R"
1,1,2,55,1,2,"Nonmatching",0,631.597537989364,1,22,"f","R"
1,1,2,56,3,1,"Nonmatching",1,582.514835289658,2,22,"f","R"
1,1,2,57,1,1,"Matching",1,617.819137602964,1,22,"f","R"
1,1,2,58,2,2,"Matching",1,417.622574973393,1,22,"f","R"
1,1,2,59,1,2,"Nonmatching",1,897.634733361883,2,22,"f","R"
1,1,2,60,2,2,"Matching",1,886.417502981203,1,22,"f","R"
1,1,3,1,2,2,"Matching",1,589.716597833103,1,22,"f","R"
1,1,3,2,2,3,"Nonmatching",1,591.030235059407,2,22,"f","R"
1,1,3,3,2,2,"Matching",1,641.038701862271,1,22,"f","R"
1,1,3,4,3,1,"Nonmatching",1,711.802455737597,2,22,"f","R"
1,1,3,5,3,3,"Matching",1,548.956414804707,1,22,"f","R"
1,1,3,6,3,1,"Nonmatching",1,631.581841956177,2,22,"f","R"
1,1,3,7,2,3,"Nonmatching",1,535.057577549196,2,22,"f","R"
1,1,3,8,3,2,"Nonmatching",1,729.717364523822,2,22,"f","R"
1,1,3,9,3,3,"Matching",1,629.639457868507,1,22,"f","R"
1,1,3,10,3,2,"Nonmatching",1,564.415196267873,2,22,"f","R"
1,1,3,11,2,3,"Nonmatching",1,599.056341185133,2,22,"f","R"
1,1,3,12,3,3,"Matching",1,687.689424981727,1,22,"f","R"
1,1,3,13,2,2,"Matching",1,588.301238238273,1,22,"f","R"
1,1,3,14,2,2,"Matching",1,773.657201629248,1,22,"f","R"
1,1,3,15,1,1,"Matching",1,575.010924108938,1,22,"f","R"
1,1,3,16,2,2,"Matching",1,624.364987073022,1,22,"f","R"
1,1,3,17,1,2,"Nonmatching",1,791.764386820432,2,22,"f","R"
1,1,3,18,1,1,"Matching",1,665.633781940414,1,22,"f","R"
1,1,3,19,3,1,"Nonmatching",1,614.295076338749,2,22,"f","R"
1,1,3,20,3,3,"Matching",1,502.423110086966,1,22,"f","R"
1,1,3,21,2,3,"Nonmatching",1,538.344689083715,2,22,"f","R"
1,1,3,22,3,3,"Matching",1,598.316514704493,1,22,"f","R"
1,1,3,23,2,1,"Nonmatching",1,598.974540705058,2,22,"f","R"
1,1,3,24,2,2,"Matching",1,633.008068035451,1,22,"f","R"
1,1,3,25,3,3,"Matching",1,552.278540567386,1,22,"f","R"
1,1,3,26,2,1,"Nonmatching",1,626.996185534153,2,22,"f","R"
1,1,3,27,1,2,"Nonmatching",1,635.005690086473,2,22,"f","R"
1,1,3,28,2,1,"Nonmatching",1,610.422985725563,2,22,"f","R"
1,1,3,29,2,1,"Nonmatching",1,539.010864947159,2,22,"f","R"
1,1,3,30,3,1,"Nonmatching",1,669.657097793788,2,22,"f","R"
1,1,3,31,1,1,"Matching",1,628.365966264028,1,22,"f","R"
1,1,3,32,2,2,"Matching",1,691.740510739692,1,22,"f","R"
1,1,3,33,1,3,"Nonmatching",1,609.876944883581,2,22,"f","R"
1,1,3,34,1,1,"Matching",3,1041.68175626182,1,22,"f","R"
1,1,3,35,1,2,"Nonmatching",0,800.431011832188,1,22,"f","R"
1,1,3,36,3,3,"Matching",1,746.408284579957,1,22,"f","R"
1,1,3,37,3,2,"Nonmatching",1,668.985186841383,2,22,"f","R"
1,1,3,38,1,1,"Matching",1,515.646716075935,1,22,"f","R"
1,1,3,39,3,3,"Matching",1,695.647917425049,1,22,"f","R"
1,1,3,40,2,2,"Matching",1,563.808786067966,1,22,"f","R"
1,1,3,41,1,1,"Matching",1,549.677224938023,1,22,"f","R"
1,1,3,42,3,2,"Nonmatching",1,712.373248015865,2,22,"f","R"
1,1,3,43,1,3,"Nonmatching",1,604.322662115919,2,22,"f","R"
1,1,3,44,1,1,"Matching",1,652.26408210583,1,22,"f","R"
1,1,3,45,1,1,"Matching",1,611.077389565253,1,22,"f","R"
1,1,3,46,1,3,"Nonmatching",1,554.265597980702,2,22,"f","R"
1,1,3,47,1,2,"Nonmatching",1,732.37180518845,2,22,"f","R"
1,1,3,48,3,2,"Nonmatching",1,863.660669849196,2,22,"f","R"
1,1,3,49,1,1,"Matching",1,501.07566601946,1,22,"f","R"
1,1,3,50,2,2,"Matching",1,400.998363057624,1,22,"f","R"
1,1,3,51,2,2,"Matching",0,584.965227523753,2,22,"f","R"
1,1,3,52,3,3,"Matching",1,554.398108721216,1,22,"f","R"
1,1,3,53,1,1,"Matching",1,571.710833162797,1,22,"f","R"
1,1,3,54,1,3,"Nonmatching",1,683.759983478922,2,22,"f","R"
1,1,3,55,3,1,"Nonmatching",1,705.112323501453,2,22,"f","R"
1,1,3,56,2,3,"Nonmatching",1,747.085628775494,2,22,"f","R"
1,1,3,57,1,3,"Nonmatching",1,501.776554264325,2,22,"f","R"
1,1,3,58,1,2,"Nonmatching",0,682.30206348835,1,22,"f","R"
1,1,3,59,3,3,"Matching",1,614.30171696793,1,22,"f","R"
1,1,3,60,2,1,"Nonmatching",1,639.082130974202,2,22,"f","R"
1,1,4,1,3,3,"Matching",1,554.956525281341,1,22,"f","R"
1,1,4,2,3,3,"Matching",1,461.647231026291,1,22,"f","R"
1,1,4,3,2,3,"Nonmatching",1,475.770038599876,2,22,"f","R"
1,1,4,4,3,3,"Matching",1,705.614294712177,1,22,"f","R"
1,1,4,5,3,1,"Nonmatching",1,509.700636175694,2,22,"f","R"
1,1,4,6,1,3,"Nonmatching",1,609.623997274866,2,22,"f","R"
1,1,4,7,1,3,"Nonmatching",1,602.411971940455,2,22,"f","R"
1,1,4,8,2,2,"Matching",1,539.679153738689,1,22,"f","R"
1,1,4,9,2,2,"Matching",1,581.650346085553,1,22,"f","R"
1,1,4,10,2,2,"Matching",1,494.993151370181,1,22,"f","R"
1,1,4,11,3,2,"Nonmatching",1,595.623135804999,2,22,"f","R"
1,1,4,12,2,2,"Matching",1,589.052233050097,1,22,"f","R"
1,1,4,13,2,2,"Matching",1,565.750868309806,1,22,"f","R"
1,1,4,14,1,1,"Matching",1,583.666078943679,1,22,"f","R"
1,1,4,15,1,1,"Matching",1,433.007705819364,1,22,"f","R"
1,1,4,16,3,3,"Matching",1,536.405625310181,1,22,"f","R"
1,1,4,17,2,1,"Nonmatching",1,682.954052553214,2,22,"f","R"
1,1,4,18,3,3,"Matching",1,761.679921032737,1,22,"f","R"
1,1,4,19,2,2,"Matching",1,555.004217074384,1,22,"f","R"
1,1,4,20,1,1,"Matching",0,485.075975111613,2,22,"f","R"
1,1,4,21,3,3,"Matching",1,571.100197108535,1,22,"f","R"
1,1,4,22,1,2,"Nonmatching",1,772.361977056789,2,22,"f","R"
1,1,4,23,1,2,"Nonmatching",1,581.708904362131,2,22,"f","R"
1,1,4,24,1,2,"Nonmatching",1,551.057268458862,2,22,"f","R"
1,1,4,25,2,1,"Nonmatching",1,817.60066089646,2,22,"f","R"
1,1,4,26,2,2,"Matching",1,857.051734398738,1,22,"f","R"
1,1,4,27,2,1,"Nonmatching",1,526.368314028332,2,22,"f","R"
1,1,4,28,1,1,"Matching",1,618.317486650994,1,22,"f","R"
1,1,4,29,3,1,"Nonmatching",1,867.00845258747,2,22,"f","R"
1,1,4,30,1,1,"Matching",0,816.283401508372,2,22,"f","R"
1,1,4,31,1,2,"Nonmatching",1,760.976014321386,2,22,"f","R"
1,1,4,32,2,2,"Matching",1,596.429368578356,1,22,"f","R"
1,1,4,33,1,3,"Nonmatching",1,725.675032322215,2,22,"f","R"
1,1,4,34,2,3,"Nonmatching",1,824.35810496554,2,22,"f","R"
1,1,4,35,1,1,"Matching",1,632.341892171098,1,22,"f","R"
1,1,4,36,2,1,"Nonmatching",1,656.437113966604,2,22,"f","R"
1,1,4,37,1,1,"Matching",3,1023.57849507825,1,22,"f","R"
1,1,4,38,1,3,"Nonmatching",1,558.989500232201,2,22,"f","R"
1,1,4,39,3,2,"Nonmatching",0,778.280588899179,1,22,"f","R"
1,1,4,40,3,3,"Matching",1,452.399550945302,1,22,"f","R"
1,1,4,41,3,1,"Nonmatching",1,755.689771501238,2,22,"f","R"
1,1,4,42,3,2,"Nonmatching",1,661.668118824309,2,22,"f","R"
1,1,4,43,2,1,"Nonmatching",1,708.566960003736,2,22,"f","R"
1,1,4,44,3,3,"Matching",1,630.426674293631,1,22,"f","R"
1,1,4,45,2,3,"Nonmatching",1,733.71592894091,2,22,"f","R"
1,1,4,46,3,1,"Nonmatching",1,817.05280897404,2,22,"f","R"
1,1,4,47,3,2,"Nonmatching",0,871.632141705049,1,22,"f","R"
1,1,4,48,3,3,"Matching",1,375.066101702032,1,22,"f","R"
1,1,4,49,3,1,"Nonmatching",1,600.944392851488,2,22,"f","R"
1,1,4,50,2,3,"Nonmatching",3,1002.34870485383,1,22,"f","R"
1,1,4,51,2,3,"Nonmatching",1,754.938474843584,2,22,"f","R"
1,1,4,52,1,1,"Matching",1,638.282236983287,1,22,"f","R"
1,1,4,53,1,3,"Nonmatching",1,781.631691954317,2,22,"f","R"
1,1,4,54,1,2,"Nonmatching",1,919.720259234964,2,22,"f","R"
1,1,4,55,3,3,"Matching",1,588.320556433246,1,22,"f","R"
1,1,4,56,1,1,"Matching",1,573.08816006207,1,22,"f","R"
1,1,4,57,2,2,"Matching",1,471.111637101785,1,22,"f","R"
1,1,4,58,1,1,"Matching",1,668.985186841383,1,22,"f","R"
1,1,4,59,2,2,"Matching",1,538.293978823276,1,22,"f","R"
1,1,4,60,3,2,"Nonmatching",1,757.066796554682,2,22,"f","R"
1,2,1,1,2,2,"Matching",1,511.476099531137,1,22,"f","R"
1,2,1,2,3,2,"Nonmatching",1,475.427744882836,2,22,"f","R"
1,2,1,3,1,3,"Nonmatching",1,697.398629345116,2,22,"f","R"
1,2,1,4,2,3,"Nonmatching",1,630.130261289196,2,22,"f","R"
1,2,1,5,1,1,"Matching",1,485.390801854919,1,22,"f","R"
1,2,1,6,3,3,"Matching",1,642.092449545089,1,22,"f","R"
1,2,1,7,3,3,"Matching",1,465.361758156178,1,22,"f","R"
1,2,1,8,2,3,"Nonmatching",1,543.365005423766,2,22,"f","R"
1,2,1,9,3,1,"Nonmatching",1,698.954347696599,2,22,"f","R"
1,2,1,10,1,1,"Matching",1,583.414037416333,1,22,"f","R"
1,2,1,11,1,2,"Nonmatching",1,648.787109483237,2,22,"f","R"
1,2,1,12,3,1,"Nonmatching",1,702.892240909023,2,22,"f","R"
1,2,1,13,1,1,"Matching",1,570.074824106996,1,22,"f","R"
1,2,1,14,2,2,"Matching",1,563.39918051799,1,22,"f","R"
1,2,1,15,1,3,"Nonmatching",1,637.47509921086,2,22,"f","R"
