Subject_ID,Exp_id,Age,Gender,Handedness,Ethnicity,Country,First_Language
1,Exp1,24,Male,/,/,/,/
2,Exp1,24,Female,/,/,/,/
3,Exp1,20,Female,/,/,/,/
4,Exp1,20,Female,/,/,/,/
5,Exp1,22,Female,/,/,/,/
6,Exp1,20,Male,/,/,/,/
8,Exp1,23,Female,/,/,/,/
9,Exp1,28,Male,/,/,/,/
10,Exp1,24,Female,/,/,/,/
11,Exp1,21,Female,/,/,/,/
12,Exp1,23,Male,/,/,/,/
13,Exp1,23,Female,/,/,/,/
14,Exp1,22,Female,/,/,/,/
15,Exp1,24,Female,/,/,/,/
16,Exp1,23,Female,/,/,/,/
17,Exp1,21,Female,/,/,/,/
18,Exp1,22,Female,/,/,/,/
19,Exp1,23,Male,/,/,/,/
20,Exp1,22,Female,/,/,/,/
21,Exp1,23,Female,/,/,/,/
22,Exp1,21,Female,/,/,/,/
23,Exp1,21,Female,/,/,/,/
24,Exp1,23,Male,/,/,/,/
25,Exp1,22,Male,/,/,/,/
26,Exp1,18,Female,/,/,/,/
27,Exp1,24,Female,/,/,/,/
28,Exp1,22,Female,/,/,/,/
29,Exp1,18,Female,/,/,/,/
30,Exp1,23,Female,/,/,/,/
31,Exp1,28,Male,/,/,/,/
32,Exp1,23,Male,/,/,/,/
33,Exp1,24,Female,/,/,/,/
34,Exp1,23,Female,/,/,/,/
35,Exp1,23,Female,/,/,/,/
36,Exp1,20,Male,/,/,/,/
37,Exp1,26,Male,/,/,/,/
38,Exp1,25,Female,/,/,/,/
39,Exp1,27,Female,/,/,/,/
40,Exp1,22,Female,/,/,/,/
41,Exp1,24,Female,/,/,/,/
42,Exp1,23,Male,/,/,/,/
43,Exp1,23,Female,/,/,/,/
44,Exp1,26,Female,/,/,/,/
45,Exp1,23,Female,/,/,/,/
47,Exp1,24,Female,/,/,/,/
