Subject,Task,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,Label,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,Response,RT_ms,RT_sec,ACC
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,463.071100035449,0.463071100035449,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,709.159400023054,0.709159400023054,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,516.009100014344,0.516009100014344,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,683.319600007962,0.683319600007962,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,411.599900020519,0.411599900020519,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,807.691500027431,0.807691500027431,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,351.892100006808,0.351892100006808,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,509.66770001105,0.50966770001105,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,785.588000027929,0.785588000027929,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,423.145000007935,0.423145000007935,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,771.912700030953,0.771912700030953,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,400.365200010128,0.400365200010128,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,400.173600006383,0.400173600006383,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,461.044200026663,0.461044200026663,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,661.034200020367,0.661034200020367,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,551.236700033769,0.551236700033769,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,415.534500032663,0.415534500032663,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,417.332600045484,0.417332600045484,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,485.709400032647,0.485709400032647,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,977.461900009075,0.977461900009075,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,531.990000017686,0.531990000017686,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,857.0858000312,0.8570858000312,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,544.771100045182,0.544771100045182,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,569.197200034978,0.569197200034978,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,699.944700027118,0.699944700027118,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,393.038200039882,0.393038200039882,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,499.69019999844,0.49969019999844,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,275.924700021278,0.275924700021278,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,756.175500020618,0.756175500020618,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,379.582100023981,0.379582100023981,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,350.622500031022,0.350622500031022,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,423.137200006749,0.423137200006749,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,766.121000022395,0.766121000022395,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,1051.59980000462,1.05159980000462,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,550.748300011037,0.550748300011037,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,507.950900035212,0.507950900035212,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,555.594600038603,0.555594600038603,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,761.787700030254,0.761787700030254,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,382.990700018127,0.382990700018127,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,684.80540002929,0.68480540002929,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,366.13270000089,0.36613270000089,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,680.170100007672,0.680170100007672,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,583.257100021001,0.583257100021001,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,420.76080001425,0.42076080001425,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,404.548300022725,0.404548300022725,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,481.361700018169,0.481361700018169,0
