Subject,Task,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,Label,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,Response,RT_ms,RT_sec,ACC
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,519.951100024628,0.519951100024628,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,329.827000037767,0.329827000037767,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,765.293200005544,0.765293200005544,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,626.288800005568,0.626288800005568,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,550.912400009111,0.550912400009111,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,0,755.345100042177,0.755345100042177,0
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,542.991900030756,0.542991900030756,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,675.288900034502,0.675288900034502,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,409.525700029917,0.409525700029917,0
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,704.198900028132,0.704198900028132,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,608.179700036999,0.608179700036999,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,594.905400037533,0.594905400037533,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,537.268300016876,0.537268300016876,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,0,530.030900030397,0.530030900030397,0
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,481.721800024388,0.481721800024388,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,819.735600030981,0.819735600030981,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,1066.41260001925,1.06641260001925,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,396.617900027195,0.396617900027195,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,719.492200034438,0.719492200034438,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,552.928900026018,0.552928900026018,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,453.090800030623,0.453090800030623,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,394.132400047965,0.394132400047965,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,278.040700039128,0.278040700039128,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,282.230300043011,0.282230300043011,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,731.602500018198,0.731602500018198,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,676.880400045775,0.676880400045775,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,572.398500022246,0.572398500022246,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,245.103600027505,0.245103600027505,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,425.178900011815,0.425178900011815,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,801.892200019211,0.801892200019211,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,767.664800019702,0.767664800019702,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,397.161200002301,0.397161200002301,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,0,685.885800019605,0.685885800019605,0
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,0,771.880600019358,0.771880600019358,0
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,937.683900032425,0.937683900032425,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,504.958600038663,0.504958600038663,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,406.161700026132,0.406161700026132,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,749.921600043308,0.749921600043308,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,856.560200016247,0.856560200016247,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,479.603100015083,0.479603100015083,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,388.062700018054,0.388062700018054,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,681.378400011454,0.681378400011454,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,460.405900026672,0.460405900026672,0
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,514.613400038797,0.514613400038797,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,633.55720002437,0.63355720002437,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,711.092000012286,0.711092000012286,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,717.576200026087,0.717576200026087,0
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,418.319900025381,0.418319900025381,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,514.644200040493,0.514644200040493,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,515.643700025976,0.515643700025976,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,690.016400010791,0.690016400010791,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,660.684800037416,0.660684800037416,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,474.603000009665,0.474603000009665,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,590.328100020997,0.590328100020997,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,0,343.90269999858,0.34390269999858,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,643.448600021657,0.643448600021657,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,459.540100040613,0.459540100040613,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,552.72600002354,0.55272600002354,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,492.733000050066,0.492733000050066,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,0,260.830500046723,0.260830500046723,0
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,596.422300033737,0.596422300033737,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,645.126300019911,0.645126300019911,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,703.084200038575,0.703084200038575,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,0,599.727200024063,0.599727200024063,0
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,612.908500042977,0.612908500042977,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,1012.05340001616,1.01205340001616,0
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,770.590900006937,0.770590900006937,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,1021.95240001311,1.02195240001311,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,745.362000045134,0.745362000045134,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,484.84840002493,0.48484840002493,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,554.331900028046,0.554331900028046,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,441.581600025529,0.441581600025529,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,0,629.764500015881,0.629764500015881,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,717.901000025449,0.717901000025449,0
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,0,873.508500022581,0.873508500022581,0
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,599.71350003616,0.59971350003616,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,418.785300018499,0.418785300018499,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,863.201100029983,0.863201100029983,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,648.042300017551,0.648042300017551,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,479.929800028913,0.479929800028913,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,345.435400027782,0.345435400027782,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,401.980900031049,0.401980900031049,0
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,210.669100022642,0.210669100022642,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,328.524000011384,0.328524000011384,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,644.333200034453,0.644333200034453,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,678.102800040506,0.678102800040506,1
1,self-matching,Matching,missing,true self,true self,Self,missing,true self,true self,Self,1,717.211900016991,0.717211900016991,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,612.33970001922,0.61233970001922,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,551.983700017445,0.551983700017445,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,715.011300024344,0.715011300024344,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,563.224900048226,0.563224900048226,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,870.820200041635,0.870820200041635,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,877.593500015792,0.877593500015792,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,852.071700035594,0.852071700035594,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,404.880900023272,0.404880900023272,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,1063.51610002457,1.06351610002457,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,721.18560000672,0.72118560000672,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,497.887300036382,0.497887300036382,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,859.25380003755,0.85925380003755,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,690.443300030893,0.690443300030893,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,1022.00190001167,1.02200190001167,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,947.338200028753,0.947338200028753,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,516.172500036191,0.516172500036191,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,969.950800033985,0.969950800033985,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,988.632300024619,0.988632300024619,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,844.497800047975,0.844497800047975,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,835.173400031636,0.835173400031636,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,971.545100037474,0.971545100037474,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,558.20730002597,0.55820730002597,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,744.089900021208,0.744089900021208,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,733.204600022873,0.733204600022873,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,912.16110001551,0.91216110001551,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,321.397500025341,0.321397500025341,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,929.706700029783,0.929706700029783,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,885.033500031568,0.885033500031568,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,760.735800053226,0.760735800053226,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,884.514800010948,0.884514800010948,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,1050.42750001303,1.05042750001303,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,591.808299999684,0.591808299999684,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,620.220100012375,0.620220100012375,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,632.155300030718,0.632155300030718,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,605.255700036651,0.605255700036651,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,569.860600022366,0.569860600022366,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,418.520200008061,0.418520200008061,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,955.869200028246,0.955869200028246,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,506.744700018317,0.506744700018317,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,661.300100036897,0.661300100036897,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,647.203400003491,0.647203400003491,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,479.005400004098,0.479005400004098,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,499.362900009146,0.499362900009146,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,455.714200012153,0.455714200012153,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,242.440800037002,0.242440800037002,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,601.866100041661,0.601866100041661,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,974.82260002289,0.97482260002289,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,420.749900018563,0.420749900018563,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,304.882400028873,0.304882400028873,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,574.590300006093,0.574590300006093,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,296.039400011068,0.296039400011068,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,363.671100029023,0.363671100029023,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,569.090700038942,0.569090700038942,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,488.070300023537,0.488070300023537,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,719.328300037887,0.719328300037887,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,644.209600024624,0.644209600024624,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,504.280800028937,0.504280800028937,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,620.485800027382,0.620485800027382,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,385.638100036886,0.385638100036886,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,340.538700023899,0.340538700023899,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,767.414600035409,0.767414600035409,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,748.983100027544,0.748983100027544,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,703.787500038743,0.703787500038743,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,514.605200005462,0.514605200005462,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,453.639500017744,0.453639500017744,1
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,557.884200010449,0.557884200010449,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,446.674300008453,0.446674300008453,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,387.976100028027,0.387976100028027,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,518.4089000104,0.5184089000104,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,594.210800016299,0.594210800016299,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,1,434.382600040408,0.434382600040408,0
1,self-matching,Nonmatching,missing,true self,true self,Self,missing,missing,missing,missing,0,297.95990002458,0.29795990002458,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,769.549100019503,0.769549100019503,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,611.35760002071,0.61135760002071,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,746.880900027463,0.746880900027463,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,484.01360004209,0.48401360004209,0
