"ExperimentName","Subject","Age","Handedness","Sex","Identity","Shape","Target.ACC","Target.RESP","Target.RT","Session","Group","Label","Phase"
"SelfAssociate",10,19,NA,"male","Self","S.bmp",1,"n",1563,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",1,"n",1503,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Stranger","T.bmp",1,"b",958,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",1,"n",2453,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Self","S.bmp",1,"m",976,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Stranger","T.bmp",1,"b",890,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",1,"m",1717,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",1,"n",929,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Self","S.bmp",1,"b",844,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Stranger","T.bmp",1,"b",1337,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Self","S.bmp",1,"b",1210,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Stranger","T.bmp",1,"b",1436,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",0,"n",1545,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Self","S.bmp",1,"b",1089,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Stranger","T.bmp",1,"m",1018,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Self","S.bmp",1,"b",1155,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Stranger","T.bmp",1,"b",1769,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",1,"b",1427,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",1,"m",2849,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",1,"b",1076,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",1,"m",841,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",1,"m",1390,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",1,"n",868,NA,NA,NA,"Association"
"SelfAssociate",10,19,NA,"male","Friend","C.bmp",1,"n",676,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Stranger","S.bmp",1,"m",1499,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,"n",1121,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Stranger","S.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",0,"b",851,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Stranger","S.bmp",1,"n",940,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,"n",679,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Stranger","S.bmp",1,"b",1156,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",938,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Stranger","S.bmp",1,"m",1059,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",0,"n",1202,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Stranger","S.bmp",1,"m",1093,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,"n",782,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Stranger","S.bmp",1,"m",794,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",871,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,"m",886,NA,NA,NA,"Association"
