"Subject","Task","Phase","Block","Trial","Practice","Matching","Shape","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","CorrResponse","Response","RT_ms","RT_sec","ACC"
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",1085,1.085,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","b",NA,NA,NA,NA
3,"self-matching","Association",NA,NA,0,"Matching","S.bmp","Self","Self","Self","Self","Self","Self","Self","b","b",974,0.974,1
3,"self-matching","Association",NA,NA,0,"Matching","S.bmp","Self","Self","Self","Self","Self","Self","Self","b","b",823,0.823,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","n","n",1336,1.336,1
3,"self-matching","Association",NA,NA,0,"Matching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",1354,1.354,1
3,"self-matching","Association",NA,NA,0,"Matching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","n","n",911,0.911,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",910,0.91,1
3,"self-matching","Association",NA,NA,0,"Matching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","n","n",949,0.949,1
3,"self-matching","Association",NA,NA,0,"Matching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",884,0.884,1
3,"self-matching","Association",NA,NA,0,"Matching","S.bmp","Self","Self","Self","Self","Self","Self","Self","b","b",847,0.847,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","n","m",915,0.915,0
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",1258,1.258,1
3,"self-matching","Association",NA,NA,0,"Matching","S.bmp","Self","Self","Self","Self","Self","Self","Self","n","n",826,0.826,1
3,"self-matching","Association",NA,NA,0,"Matching","S.bmp","Self","Self","Self","Self","Self","Self","Self","n","n",1138,1.138,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","n","n",1818,1.818,1
3,"self-matching","Association",NA,NA,0,"Matching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","n","n",1226,1.226,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",1081,1.081,1
3,"self-matching","Association",NA,NA,0,"Matching","S.bmp","Self","Self","Self","Self","Self","Self","Self","b","b",732,0.732,1
3,"self-matching","Association",NA,NA,0,"Matching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","b","b",943,0.943,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","n","n",1048,1.048,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",1107,1.107,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","n","m",1771,1.771,0
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",1348,1.348,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","n","n",1042,1.042,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","b","b",957,0.957,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","n","n",962,0.962,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","b","b",846,0.846,1
3,"self-matching","Association",NA,NA,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","n","n",1153,1.153,1
3,"self-matching","Breaking",NA,1,1,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","n",941,0.941,0
3,"self-matching","Breaking",NA,2,1,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m",NA,NA,NA,NA
3,"self-matching","Breaking",NA,3,1,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m",NA,NA,NA,NA
3,"self-matching","Breaking",NA,4,1,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n",NA,NA,NA,NA
3,"self-matching","Breaking",NA,5,1,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m",NA,NA,NA,NA
3,"self-matching","Breaking",NA,6,1,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m",NA,NA,NA,NA
3,"self-matching","Breaking",NA,7,1,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n",NA,NA,NA,NA
3,"self-matching","Breaking",NA,8,1,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n",NA,NA,NA,NA
3,"self-matching","Breaking",NA,9,1,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m",NA,NA,NA,NA
3,"self-matching","Breaking",1,1,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",818,0.818,1
3,"self-matching","Breaking",1,2,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","m",872,0.872,1
3,"self-matching","Breaking",1,3,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",854,0.854,1
3,"self-matching","Breaking",1,4,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",908,0.908,1
3,"self-matching","Breaking",1,5,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","m",1090,1.09,1
3,"self-matching","Breaking",1,6,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","n",1056,1.056,1
3,"self-matching","Breaking",1,7,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",814,0.814,1
3,"self-matching","Breaking",1,8,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",476,0.476,1
3,"self-matching","Breaking",1,9,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",610,0.61,1
3,"self-matching","Breaking",1,10,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m",NA,NA,NA,NA
3,"self-matching","Breaking",1,11,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","m",694,0.694,0
3,"self-matching","Breaking",1,12,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","m",574,0.574,0
3,"self-matching","Breaking",1,13,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",868,0.868,1
3,"self-matching","Breaking",1,14,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",578,0.578,1
3,"self-matching","Breaking",1,15,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",496,0.496,1
3,"self-matching","Breaking",1,16,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",366,0.366,1
3,"self-matching","Breaking",1,17,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m",NA,NA,NA,NA
3,"self-matching","Breaking",1,18,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","m",618,0.618,0
3,"self-matching","Breaking",1,19,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",522,0.522,1
3,"self-matching","Breaking",1,20,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",730,0.73,1
3,"self-matching","Breaking",1,21,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",1050,1.05,1
3,"self-matching","Breaking",1,22,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","n",506,0.506,1
3,"self-matching","Breaking",1,23,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",498,0.498,1
3,"self-matching","Breaking",1,24,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n",NA,NA,NA,NA
3,"self-matching","Breaking",1,25,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",826,0.826,1
3,"self-matching","Breaking",1,26,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",618,0.618,1
3,"self-matching","Breaking",1,27,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",594,0.594,1
3,"self-matching","Breaking",1,28,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",602,0.602,1
3,"self-matching","Breaking",1,29,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",632,0.632,1
3,"self-matching","Breaking",1,30,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",514,0.514,1
3,"self-matching","Breaking",1,31,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",636,0.636,1
3,"self-matching","Breaking",1,32,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",466,0.466,1
3,"self-matching","Breaking",1,33,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",592,0.592,1
3,"self-matching","Breaking",1,34,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",742,0.742,1
3,"self-matching","Breaking",1,35,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",428,0.428,1
3,"self-matching","Breaking",1,36,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",458,0.458,1
3,"self-matching","Breaking",1,37,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",511,0.511,1
3,"self-matching","Breaking",1,38,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","n",654,0.654,0
3,"self-matching","Breaking",1,39,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n",NA,NA,NA,NA
3,"self-matching","Breaking",1,40,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","m",809,0.809,1
3,"self-matching","Breaking",1,41,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n",NA,NA,NA,NA
3,"self-matching","Breaking",1,42,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","m",749,0.749,1
3,"self-matching","Breaking",1,43,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","n",963,0.963,1
3,"self-matching","Breaking",1,44,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","n",393,0.393,1
3,"self-matching","Breaking",1,45,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","m",616,0.616,1
3,"self-matching","Breaking",1,46,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","m",630,0.63,0
3,"self-matching","Breaking",1,47,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","n",868,0.868,1
3,"self-matching","Breaking",1,48,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",602,0.602,1
3,"self-matching","Breaking",1,49,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",632,0.632,1
3,"self-matching","Breaking",1,50,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",542,0.542,1
3,"self-matching","Breaking",1,51,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",532,0.532,1
3,"self-matching","Breaking",1,52,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",642,0.642,1
3,"self-matching","Breaking",1,53,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",520,0.52,1
3,"self-matching","Breaking",1,54,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",568,0.568,1
3,"self-matching","Breaking",1,55,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",672,0.672,1
3,"self-matching","Breaking",1,56,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",576,0.576,1
3,"self-matching","Breaking",1,57,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","n",584,0.584,1
3,"self-matching","Breaking",1,58,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","m",622,0.622,1
3,"self-matching","Breaking",1,59,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",500,0.5,1
3,"self-matching","Breaking",1,60,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","n",746,0.746,1
3,"self-matching","Breaking",1,61,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","m",488,0.488,0
3,"self-matching","Breaking",1,62,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","n",646,0.646,1
3,"self-matching","Breaking",1,63,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",499,0.499,1
3,"self-matching","Breaking",1,64,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",985,0.985,1
3,"self-matching","Breaking",1,65,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","n",903,0.903,0
3,"self-matching","Breaking",1,66,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",461,0.461,1
3,"self-matching","Breaking",1,67,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",419,0.419,1
3,"self-matching","Breaking",1,68,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m",NA,NA,NA,NA
3,"self-matching","Breaking",1,69,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",775,0.775,1
3,"self-matching","Breaking",1,70,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n",NA,NA,NA,NA
3,"self-matching","Breaking",1,71,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","m",827,0.827,1
3,"self-matching","Breaking",1,72,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","m",407,0.407,0
3,"self-matching","Breaking",1,73,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",381,0.381,1
3,"self-matching","Breaking",1,74,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","m",923,0.923,0
3,"self-matching","Breaking",1,75,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",665,0.665,1
3,"self-matching","Breaking",1,76,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",567,0.567,1
3,"self-matching","Breaking",1,77,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",501,0.501,1
