"Subject","Task","Phase","Block","Trial","Matching","Shape","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","extraIV1","Response","RT_ms","RT_sec","ACC"
1,"self-matching",1,1,1,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,623.053465255452,0.623,1
1,"self-matching",1,1,2,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,574.301888483205,0.574,1
1,"self-matching",1,1,3,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,464.385587579727,0.464,1
1,"self-matching",1,1,4,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,599.031894076688,0.599,1
1,"self-matching",1,1,5,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,1,543.604975560811,0.544,0
1,"self-matching",1,1,6,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,875.614408876572,0.876,1
1,"self-matching",1,1,7,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,841.801229702924,0.842,1
1,"self-matching",1,1,8,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,641.71604853891,0.642,1
1,"self-matching",1,1,9,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,2,457.069425102418,0.457,0
1,"self-matching",1,1,10,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,1,904.350525056088,0.904,0
1,"self-matching",1,1,11,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,885.081531573633,0.885,1
1,"self-matching",1,1,12,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,2,834.532759018657,0.835,0
1,"self-matching",1,1,13,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,689.699123385253,0.69,1
1,"self-matching",1,1,14,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,598.230490851165,0.598,1
1,"self-matching",1,1,15,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,816.428290448584,0.816,1
1,"self-matching",1,1,16,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,1,601.026497659859,0.601,0
1,"self-matching",1,1,17,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,570.398405805463,0.57,1
1,"self-matching",1,1,18,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,797.065422614196,0.797,1
1,"self-matching",1,1,19,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,1,526.265084908118,0.526,0
1,"self-matching",1,1,20,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,530.301983867048,0.53,1
