"Subject","Phase","Task","extraIV1","Block","Trial","Shape","Label","Matching","Reward","ACC","RT_ms","Response","Age","Sex","Hand","StartTime","EndTime"
1,1,"self-matching",0,1,1,1,3,"Nonmatching",0,1,623.053465255452,2,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,2,2,3,"Nonmatching",0,1,574.301888483205,2,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,3,3,3,"Matching",0,1,464.385587579727,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,4,2,2,"Matching",0,1,599.031894076688,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,5,3,2,"Nonmatching",0,0,543.604975560811,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,6,3,1,"Nonmatching",0,1,875.614408876572,2,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,7,3,3,"Matching",0,1,841.801229702924,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,8,2,3,"Nonmatching",0,1,641.71604853891,2,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,9,2,2,"Matching",0,0,457.069425102418,2,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,10,2,1,"Nonmatching",0,0,904.350525056088,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,11,2,2,"Matching",0,1,885.081531573633,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,12,3,3,"Matching",0,0,834.532759018657,2,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,13,1,2,"Nonmatching",0,1,689.699123385253,2,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,14,2,2,"Matching",0,1,598.230490851165,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,15,1,3,"Nonmatching",0,1,816.428290448584,2,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,16,2,1,"Nonmatching",0,0,601.026497659859,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,17,1,1,"Matching",0,1,570.398405805463,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,18,3,3,"Matching",0,1,797.065422614196,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,19,2,1,"Nonmatching",0,0,526.265084908118,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,20,1,1,"Matching",0,1,530.301983867048,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,21,1,2,"Nonmatching",0,1,637.747065107305,2,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,22,2,3,"Nonmatching",0,0,781.665501275256,1,22,"f","R",3279.42923579335,3824.58365996955
1,1,"self-matching",0,1,23,3,2,"Nonmatching",0,3,1008.35032704481,1,22,"f","R",3279.42923579335,3824.58365996955
