"Subject","Shape","Task","Matching","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","Response","RT_ms","RT_sec","ACC"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1260.025","1.260025","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","a","1209.255","1.209255","0"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1070.185","1.070185","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","missed","NA","NA","NA"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","894.7","0.8947","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","974.285","0.974285","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","855.315","0.855315","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1227.115","1.227115","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","960.685","0.960685","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1306.825","1.306825","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","856.77","0.85677","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1034.63","1.03463","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","975.115","0.975115","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1108.31","1.10831","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","missed","NA","NA","NA"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","827.47","0.82747","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1102.74","1.10274","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1008.8","1.0088","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","829.42","0.82942","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","627.335","0.627335","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","808.025","0.808025","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","975.035","0.975035","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","893.715","0.893715","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","missed","NA","NA","NA"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1004.05","1.00405","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1061.54","1.06154","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","748.215","0.748215","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1027.34","1.02734","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","a","930.71","0.93071","0"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","l","1118.745","1.118745","0"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1144.15","1.14415","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","a","949.735","0.949735","0"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1267.2","1.2672","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","1368.97","1.36897","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","913.34","0.91334","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1008.105","1.008105","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","774.75","0.77475","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","785.42","0.78542","1"
