"moderator","measure","analysis","n_datasets","excluded_x","spearman_rho","spearman_p","caption"
"trial_number_max","RT_ms","exclude_top3",60,"[np.float64(1620.0), np.float64(960.0), np.float64(960.0)]",0.07678522326176,0.559808453689705,"n = 60; Spearman ρ = 0.077, p = 0.560"
"trial_number_max","ACC","exclude_top3",61,"[np.float64(1620.0), np.float64(960.0), np.float64(960.0)]",0.195147944197045,0.13177105854193,"n = 61; Spearman ρ = 0.195, p = 0.132"
