"moderator","measure","n_datasets","x_min","x_max","y_min","y_max","spearman_rho","spearman_p","ci_lower","ci_upper","p_boot"
"stimulus_duration_ms_first","RT_ms",40,100,1500,-0.060389248,2.50457163654783,-0.49348659988176,0.00121322962115953,-0.732397032502264,-0.191992011846581,0.0016
"stimulus_duration_ms_first","ACC",40,100,1500,-0.141493313,1.88647561455603,-0.4667409936127,0.00239742436911837,-0.688109528583648,-0.181813896585377,0.0022
"trial_number_max","RT_ms",44,64,960,-0.060389248,2.50457163654783,0.373987283834959,0.0123905719979106,0.10252268138512,0.604524695937144,0.0086
"trial_number_max","ACC",44,64,960,-0.377680228,1.88647561455603,0.389249132568936,0.00901333601312902,0.0928274881282106,0.631968519834353,0.0136
