"Identity_A","Identity_B","diff_mean","diff_sd","diff_median","ci95_lower","ci95_upper","p_value_bootstrap","significant"
"Acquaintance","Close",-0.0617873220771621,0.0323997603443577,-0.0617678713862114,-0.125922622592511,0.00120396503198955,0.0554,FALSE
"Stranger","Celebrity",4.70890748971476e-05,0.0313629327141923,0.000411230589479249,-0.061300371507808,0.0612910966790037,0.9908,FALSE
"Celebrity","Close",0.0189799141053553,0.031271613617363,0.0189961998042358,-0.0414647284239708,0.0804668916573543,0.5496,FALSE
"Stranger","Close",0.0190270031802525,0.00872451677072929,0.0189671522107081,0.00192284062412463,0.0364028515545687,0.0312,TRUE
"NonPerson","Stranger",0.0569676243840446,0.0245745898175971,0.0567724768020726,0.00831195400224596,0.104861571563467,0.0232,TRUE
"NonPerson","Celebrity",0.0570147134589418,0.0351670880033095,0.0571162284586494,-0.0121618622491301,0.125606793582252,0.1082,FALSE
"NonPerson","Close",0.0759946275642971,0.0244007662250211,0.0755576531715337,0.0286615863453952,0.123309143505618,0.0018,TRUE
"Celebrity","Acquaintance",0.0807672361825174,0.039356544247877,0.0807180951576768,0.00368486183865924,0.157824867195099,0.0392,TRUE
"Stranger","Acquaintance",0.0808143252574146,0.0324078762095663,0.0806459378533907,0.0171531181679861,0.144548658036281,0.011,TRUE
"NonPerson","Acquaintance",0.137781949641459,0.0359884237725841,0.13772984776917,0.0670468918307846,0.208582220241467,0,TRUE
