"dataset_id","measure","comparison_identity","cohens_dz","stimulus_duration_ms_first","moderator_name","moderator_value","moderator_type","trial_number_max"
"Mcivor_2020_EJN_Exp1","RT_ms","Stranger",1.28695588691902,NA,"trial_number_max",960,"numeric",960
"Navon_2021_Exp1","RT_ms","Stranger",1.40726069101645,NA,"trial_number_max",360,"numeric",360
"Navon_2021_Exp3","RT_ms","Stranger",0.613832948828217,NA,"trial_number_max",360,"numeric",360
"Navon_2021_Exp4","RT_ms","Stranger",0.603843835971544,NA,"trial_number_max",360,"numeric",360
"Orellana-Corrales_2021_APP_Exp1","RT_ms","Stranger",-0.024805948,NA,"trial_number_max",128,"numeric",128
"Orellana-Corrales_2021_EP_Exp1","RT_ms","Stranger",-0.060389248,NA,"trial_number_max",128,"numeric",128
"Orellana-Corrales_2021_EP_Exp2","RT_ms","Stranger",0.209261589765767,NA,"trial_number_max",128,"numeric",128
"Orellana-Corrales_2021_EP_Exp3","RT_ms","Stranger",0.30708310692266,NA,"trial_number_max",240,"numeric",240
"Perrykkad_2022_BMC_Exp1","RT_ms","Stranger",0.984608587130465,NA,"trial_number_max",360,"numeric",360
"Qian_2019_QJEP_Exp1","RT_ms","Stranger",2.19719905490145,NA,"trial_number_max",144,"numeric",144
"Smith_2024_Cortex_Exp1","RT_ms","Stranger",0.792182061927692,NA,"trial_number_max",360,"numeric",360
"Sui_2014_APP_Exp1","RT_ms","Stranger",1.45844578307229,NA,"trial_number_max",360,"numeric",360
"Sui_2014_APP_Exp2","RT_ms","Stranger",1.17673802357036,NA,"trial_number_max",360,"numeric",360
"Sui_2014_APP_Exp3","RT_ms","Stranger",2.50457163654783,NA,"trial_number_max",360,"numeric",360
"Sui_2014_APP_Exp4","RT_ms","Stranger",2.26225325088691,NA,"trial_number_max",360,"numeric",360
"Sui_2023_CC_Exp1","RT_ms","Stranger",2.23574463910725,NA,"trial_number_max",960,"numeric",960
"Vicovaro_2022_EPHPP_Exp1","RT_ms","Stranger",1.02840746446419,NA,"trial_number_max",240,"numeric",240
"Vicovaro_2022_EPHPP_Exp2","RT_ms","Stranger",1.23788738012564,NA,"trial_number_max",240,"numeric",240
"Wang_2016_EPHPP_Exp1","RT_ms","Stranger",1.13136800669651,NA,"trial_number_max",81,"numeric",81
"Wozniak_2018_PLOS_Exp1","RT_ms","Stranger",0.807598043903489,NA,"trial_number_max",84,"numeric",84
"Wozniak_2018_PLOS_Exp2","RT_ms","Stranger",0.71126444632829,NA,"trial_number_max",84,"numeric",84
"Xu_2021_CP_Exp1","RT_ms","Stranger",0.660282555177138,NA,"trial_number_max",360,"numeric",360
"Zhang_2023_NI_Exp1","RT_ms","Stranger",1.29242079852448,NA,"trial_number_max",96,"numeric",96
"Amodeo_2024_CABN_Exp1","ACC","Stranger",0.758816552477541,NA,"trial_number_max",360,"numeric",360
"Constable_2019_EPHPP_Exp1","ACC","Stranger",0.766454260477246,NA,"trial_number_max",288,"numeric",288
"Constable_2019_EPHPP_Exp2","ACC","Stranger",0.845637973916444,NA,"trial_number_max",288,"numeric",288
"Constable_2019_EPHPP_Exp3","ACC","Stranger",0.765056752695217,NA,"trial_number_max",288,"numeric",288
"Constable_2019_EPHPP_Exp4","ACC","Stranger",0.665404516349253,NA,"trial_number_max",640,"numeric",640
"Constable_2020_CE_Exp1","ACC","Stranger",0.728641284773687,NA,"trial_number_max",384,"numeric",384
