"moderator","measure","comparison_identity","n_datasets","x_min","x_max","y_min","y_max","spearman_rho","spearman_p","spearman_rho_boot_ci_lower","spearman_rho_boot_ci_upper","spearman_rho_boot_p","n_bootstrap","panel","n_excl","spearman_rho_excl","spearman_p_excl","ci_lower_excl","ci_upper_excl","p_boot_excl","before","after","caption"
"stimulus_duration_ms_first","RT_ms","Stranger",49,100,3000,-0.791773877550329,2.50457163654783,-0.204305573494794,0.159094900493587,-0.460206105576257,0.0773935083224865,0.1598,10000,"A",NA,NA,NA,NA,NA,NA,"n = 49; Spearman ρ = -0.204, p = 0.159; 95% CI [-0.460, 0.077]; p_boot = 0.1598","","n = 49; Spearman ρ = -0.204, p = 0.159; 95% CI [-0.460, 0.077]; p_boot = 0.1598"
"stimulus_duration_ms_first","ACC","Stranger",49,100,3000,-0.570360512393317,1.88647561455603,-0.224668814345593,0.12066271338751,-0.466131581555756,0.041976558268807,0.096,10000,"B",NA,NA,NA,NA,NA,NA,"n = 49; Spearman ρ = -0.225, p = 0.121; 95% CI [-0.466, 0.042]; p_boot = 0.0960","","n = 49; Spearman ρ = -0.225, p = 0.121; 95% CI [-0.466, 0.042]; p_boot = 0.0960"
"trial_number_max","RT_ms","Stranger",58,64,28037,-0.791773877550329,2.50457163654783,0.0253239875125104,0.850332976731291,-0.24769863915409,0.293064891038356,0.8558,10000,"C",57,0.0218668751600179,0.871736626395308,-0.259605387387227,0.298651298435731,0.8706,"n = 58; Spearman ρ = 0.025, p = 0.850; 95% CI [-0.248, 0.293]; p_boot = 0.8558"," | excl. 28037-trial outlier (n = 57): ρ = 0.022, p = 0.872; 95% CI [-0.260, 0.299]; p_boot = 0.8706","n = 58; Spearman ρ = 0.025, p = 0.850; 95% CI [-0.248, 0.293]; p_boot = 0.8558 | excl. 28037-trial outlier (n = 57): ρ = 0.022, p = 0.872; 95% CI [-0.260, 0.299]; p_boot = 0.8706"
"trial_number_max","ACC","Stranger",58,64,28037,-0.613798376385883,1.88647561455603,0.165728657193941,0.21375909537033,-0.122193243912883,0.435634686116862,0.261,10000,"D",57,0.168785970220108,0.209441749335697,-0.130184954649186,0.445669419869425,0.2646,"n = 58; Spearman ρ = 0.166, p = 0.214; 95% CI [-0.122, 0.436]; p_boot = 0.2610"," | excl. 28037-trial outlier (n = 57): ρ = 0.169, p = 0.209; 95% CI [-0.130, 0.446]; p_boot = 0.2646","n = 58; Spearman ρ = 0.166, p = 0.214; 95% CI [-0.122, 0.436]; p_boot = 0.2610 | excl. 28037-trial outlier (n = 57): ρ = 0.169, p = 0.209; 95% CI [-0.130, 0.446]; p_boot = 0.2646"
