"Identity_A","Identity_B","diff_mean","diff_sd","diff_median","ci95_lower","ci95_upper","p_value_bootstrap","significant"
"Stranger","Celebrity",-0.0162760610905939,0.0189040823459521,-0.0162822996179519,-0.0534575689802739,0.0211338924862401,0.3864,FALSE
"Stranger","Acquaintance",0.00589987399062972,0.0271936013610047,0.0058546035794417,-0.0469028763052018,0.0588277730007725,0.8272,FALSE
"Celebrity","Acquaintance",0.0221759350812236,0.0326057893577417,0.0221088185576375,-0.0423460382120828,0.0848285062425334,0.4944,FALSE
"Acquaintance","Close",0.0446790772763864,0.0268175310518612,0.0447852152085816,-0.00838152717506857,0.0968677517642913,0.0964,FALSE
"Stranger","Close",0.0505789512670161,0.00533398328602813,0.050516916434755,0.0401939917660483,0.0611343747260733,0,TRUE
"NonPerson","Celebrity",0.0549942087583627,0.0221878530575375,0.0550096512497283,0.0112912048200099,0.0987814068610587,0.0136,TRUE
"Celebrity","Close",0.06685501235761,0.0183719516339505,0.0669372283646069,0.0309079932495059,0.103229882239141,2e-04,TRUE
"NonPerson","Stranger",0.0712702698489566,0.0128269804180082,0.0710519315443782,0.0461603074900479,0.0967010713877805,0,TRUE
"NonPerson","Acquaintance",0.0771701438395863,0.0283332122685604,0.0774109792121247,0.0220600487680805,0.132510272043736,0.0062,TRUE
"NonPerson","Close",0.121849221115973,0.0124217093527932,0.121570212118936,0.0976774031289758,0.146348892873928,0,TRUE
