"moderator","measure","comparison_identity","n_datasets","x_min","x_max","y_min","y_max","spearman_rho","spearman_p","spearman_rho_boot_ci_lower","spearman_rho_boot_ci_upper","spearman_rho_boot_p","n_bootstrap","panel","caption","note"
"stimulus_duration_ms_first","RT_ms","Stranger",47,100,3000,-0.0248059475887104,2.50457163654783,-0.284963013337951,0.052201807344083,-0.533293786094827,-0.00780002515358475,0.0442,10000,"A","n = 47; Spearman ρ = -0.285, p = 0.052; bootstrap 95% CI [-0.533, -0.008]; p_boot = 0.0442","Excluded Pan_2025_unpub and Wang_2016_JEPHPP; |z|>3 outliers removed from Stranger Cohen's dz."
"stimulus_duration_ms_first","ACC","Stranger",47,100,3000,-0.283084316307614,1.88647561455603,-0.309580896284292,0.0342125570813064,-0.53261833651182,-0.0531465925377454,0.02,10000,"B","n = 47; Spearman ρ = -0.310, p = 0.034; bootstrap 95% CI [-0.533, -0.053]; p_boot = 0.0200","Excluded Pan_2025_unpub and Wang_2016_JEPHPP; |z|>3 outliers removed from Stranger Cohen's dz."
"trial_number_max","RT_ms","Stranger",55,64,2026,-0.745315800772946,2.50457163654783,0.122236807687819,0.373975784877946,-0.161030087209562,0.383510548511655,0.4066,10000,"C","n = 55; Spearman ρ = 0.122, p = 0.374; bootstrap 95% CI [-0.161, 0.384]; p_boot = 0.4066","Excluded Pan_2025_unpub and Wang_2016_JEPHPP; |z|>3 outliers removed from Stranger Cohen's dz."
"trial_number_max","ACC","Stranger",55,64,2026,-0.613798376385883,1.88647561455603,0.281687280583537,0.0372092853992818,-0.00265929742952884,0.529806709450366,0.0526,10000,"D","n = 55; Spearman ρ = 0.282, p = 0.037; bootstrap 95% CI [-0.003, 0.530]; p_boot = 0.0526","Excluded Pan_2025_unpub and Wang_2016_JEPHPP; |z|>3 outliers removed from Stranger Cohen's dz."
