"Identity_A","Identity_B","diff_mean","diff_sd","diff_median","ci95_lower","ci95_upper","p_value_bootstrap","significant"
"Celebrity","Close",-0.322956600968713,0.0480838440382163,-0.323100710159049,-0.416542736274465,-0.227924375460667,0,TRUE
"Acquaintance","Close",-0.176331855524906,0.0508877811469839,-0.175803252271745,-0.276172618952551,-0.0774128419751978,4e-04,TRUE
"Celebrity","Acquaintance",-0.146624745443807,0.0615159592664019,-0.146183262553146,-0.268314371659121,-0.026987471344302,0.0176,TRUE
"Stranger","Close",0.133148417520538,0.013350946503416,0.133232156244004,0.107302038521296,0.159266336665378,0,TRUE
"NonPerson","Stranger",0.243179542762769,0.0375112231386808,0.24355766130138,0.168983714202089,0.317059692476272,0,TRUE
"Stranger","Acquaintance",0.309480273045444,0.0506663096300303,0.3089987152025,0.211575942892773,0.410731587507398,0,TRUE
"NonPerson","Close",0.376327960283307,0.03750780181604,0.376612641174377,0.302363007112185,0.449827428388935,0,TRUE
"Stranger","Celebrity",0.456105018489251,0.0480053949593514,0.456057717423169,0.360872954344761,0.54863541796069,0,TRUE
"NonPerson","Acquaintance",0.552659815808213,0.0564260422643,0.553040064728964,0.44223139471235,0.662156797366648,0,TRUE
"NonPerson","Celebrity",0.69928456125202,0.0537124291781875,0.700071708723162,0.594497641798932,0.804330856057969,0,TRUE
