"Identity_A","Identity_B","diff_mean","diff_sd","diff_median","ci95_lower","ci95_upper","p_value_bootstrap","significant"
"Stranger","Celebrity",-0.0061855789038849,0.0292147734922159,-0.00603622258618121,-0.0633879204335538,0.0504939385076345,0.848,FALSE
"Acquaintance","Close",0.00484230837245349,0.0417106489354858,0.00501413195702725,-0.0754814778755622,0.0867804641119588,0.9098,FALSE
"NonPerson","Celebrity",0.0110237506727146,0.034038818422082,0.0114318906486275,-0.0549002780847867,0.0779222023059491,0.7378,FALSE
"NonPerson","Stranger",0.0172093295765995,0.0194822072004199,0.0172423920827246,-0.0212985343968989,0.0552976656883442,0.3716,FALSE
"Stranger","Acquaintance",0.0665812041555644,0.0422168079062777,0.066335576315912,-0.0151330602726433,0.148225673014398,0.1144,FALSE
"Stranger","Close",0.0714235125280179,0.00817968562499399,0.071448313494172,0.0554295274952958,0.0875956559065272,0,TRUE
"Celebrity","Acquaintance",0.0727667830594493,0.0504019757541274,0.072974432945023,-0.0285976355435231,0.171145500797341,0.1508,FALSE
"Celebrity","Close",0.0776090914319028,0.0285206673997398,0.0772449995961105,0.0219187959920816,0.1337275047562,0.007,TRUE
"NonPerson","Acquaintance",0.0837905337321639,0.0435502050756408,0.0842630315800754,-0.00262749339605375,0.167894998458869,0.0566,FALSE
"NonPerson","Close",0.0886328421046174,0.019083532329641,0.0888205351498093,0.0512161227440725,0.12573848428807,0,TRUE
