"Identity_A","Identity_B","diff_mean","diff_sd","diff_median","ci95_lower","ci95_upper","p_value_bootstrap","significant"
"Celebrity","Close",-0.130029680659917,0.0168055420470561,-0.130144250716493,-0.162670155387284,-0.0970494497598278,0,TRUE
"Acquaintance","Close",-0.0991566150364288,0.0351902903775609,-0.0992181253823,-0.167140680150045,-0.0302878793585088,0.0054,TRUE
"Celebrity","Acquaintance",-0.0308730656234879,0.0368058045185538,-0.0310720649161821,-0.102904813839176,0.0418008934419982,0.4084,FALSE
"Stranger","Close",0.0426706697698205,0.00917990321047609,0.0426560033336607,0.0247427682153878,0.0609596514816283,0,TRUE
"NonPerson","Stranger",0.12867465098832,0.0166807636551309,0.128552477475263,0.0960802281847391,0.161408534351025,0,TRUE
"Stranger","Acquaintance",0.141827284806249,0.0353042567809599,0.142257956478371,0.0733364427786866,0.210801293640022,0,TRUE
"NonPerson","Close",0.17134532075814,0.0164200199139745,0.171203498711432,0.139344153595549,0.203672529242621,0,TRUE
"Stranger","Celebrity",0.172700350429737,0.0168603246998561,0.172622512843514,0.139880233869277,0.206065505915832,0,TRUE
"NonPerson","Acquaintance",0.270501935794569,0.0365371161573164,0.270876559925183,0.198591135249447,0.341548683189791,0,TRUE
"NonPerson","Celebrity",0.301375001418057,0.0209716483859279,0.301267827259459,0.260359578201617,0.34170181122522,0,TRUE
