"Subject","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","ShapeLoc","Colour","ShapeColour","textColour","Stimuli_Type","RT_ms","RT_sec","ACC"
1,1,1,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Bottom","Strong","SelfStrong","black","Self = Positive",316.843519,0.316843519,0
1,1,2,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Light","SelfLight","black","Self = Positive",550.180063,0.550180063,1
1,1,3,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","black","Self = Positive",350.509949,0.350509949,1
1,1,4,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Top","Light","OtherLight","black","Self = Positive",383.504448,0.383504448,0
1,1,5,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Strong","SelfStrong","white","Self = Positive",317.091052,0.317091052,1
1,1,6,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Top","Light","SelfLight","black","Self = Positive",467.121964,0.467121964,0
1,1,7,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","black","Self = Positive",900.178366,0.900178366,1
1,1,8,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Strong","SelfStrong","white","Self = Positive",283.516213,0.283516213,1
1,1,9,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Bottom","Strong","SelfStrong","black","Self = Positive",466.827056,0.466827056,0
1,1,10,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Bottom","Light","OtherLight","white","Self = Positive",400.445243,0.400445243,1
1,1,11,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Strong","SelfStrong","black","Self = Positive",350.20912,0.35020912,1
1,1,12,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Light","SelfLight","white","Self = Positive",416.832939,0.416832939,1
1,1,13,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","white","Self = Positive",450.195776,0.450195776,1
1,1,14,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Light","SelfLight","black","Self = Positive",366.854218,0.366854218,1
