Shape,Colour,ShapeColour,textColour,ShapeLoc,Condition,Label,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,Exclude,rt,corr,nCorr,trialinBlock,BlankFrames,Block,4. Handedness,3. Age,2. Gender (M/F),6. Stimuli Type(Self = Positive/Self = Negative),1. Participant Number,5. First Lanugage
Self,Strong,SelfStrong,black,Bottom,Mismatch,Stranger,0,0,0,22,l,0,0.316843519,0,0,1,56,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Match,Self,0,1,1,19,l,0,0.550180063,1,1,2,65,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Mismatch,Self,0,2,2,28,k,0,0.350509949,1,2,3,54,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Match,Stranger,0,3,3,25,k,0,0.383504448,0,2,4,66,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Match,Self,0,4,4,2,l,0,0.317091052,1,3,5,56,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Mismatch,Stranger,0,5,5,21,l,0,0.467121964,0,3,6,70,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Mismatch,Self,0,6,6,28,k,0,0.900178366,1,4,7,54,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Match,Self,0,7,7,2,l,0,0.283516213,1,5,8,63,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Mismatch,Stranger,0,8,8,22,l,0,0.466827056,0,5,9,77,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Match,Stranger,0,9,9,11,l,0,0.400445243,1,6,10,63,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Match,Self,0,10,10,18,l,0,0.35020912,1,7,11,57,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Match,Self,0,11,11,3,l,0,0.416832939,1,8,12,70,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Mismatch,Self,0,12,12,12,k,0,0.450195776,1,9,13,59,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Match,Self,0,13,13,19,l,0,0.366854218,1,10,14,60,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Match,Self,0,14,14,3,l,0,0.466837321,1,11,15,49,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Mismatch,Stranger,0,15,15,7,k,0,0.36685027,1,12,16,50,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Mismatch,Stranger,0,16,16,5,l,0,0.366850665,0,12,17,55,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Mismatch,Stranger,0,17,17,23,l,0,0.350162929,0,12,18,67,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Match,Self,0,18,18,2,l,0,0.416847151,1,13,19,76,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Mismatch,Stranger,0,19,19,4,l,0,0.350198855,0,13,20,49,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Match,Self,0,20,20,0,l,0,0.316836808,1,14,21,75,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Mismatch,Self,0,21,21,28,k,0,0.283518187,1,15,22,61,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Mismatch,Self,0,22,22,31,l,0,0.38379146,0,15,23,55,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Match,Stranger,0,23,23,8,k,0,0.350173194,0,15,24,62,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Match,Stranger,0,24,24,27,k,0,0.566832268,0,15,25,74,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Mismatch,Self,0,25,25,29,l,0,0.500455981,0,15,26,54,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Match,Stranger,0,26,26,26,None,1,,3,15,27,55,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Mismatch,Stranger,0,27,27,7,l,0,0.516851573,0,15,28,63,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Mismatch,Self,0,28,28,15,l,0,0.300184603,0,15,29,66,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Match,Self,0,29,29,0,l,0,0.366845927,1,16,30,73,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Mismatch,Self,0,30,30,13,l,0,0.466834952,0,16,31,51,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Match,Self,0,31,31,19,l,0,0.350191749,1,17,32,64,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Mismatch,Stranger,1,0,32,4,k,0,0.433511989,1,18,33,59,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Mismatch,Stranger,1,1,33,21,k,0,0.633510173,1,19,34,52,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Mismatch,Self,1,2,34,30,l,0,0.433523043,0,19,35,77,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Match,Stranger,1,3,35,10,k,0,0.466849954,0,19,36,69,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Match,Self,1,4,36,17,l,0,0.766822951,1,20,37,60,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Mismatch,Self,1,5,37,12,k,0,0.516841308,1,21,38,73,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Mismatch,Self,1,6,38,14,l,0,0.433511594,0,21,39,52,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Match,Self,1,7,39,17,l,0,0.483529399,1,22,40,65,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Mismatch,Stranger,1,8,40,7,k,0,0.283530425,1,23,41,48,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Mismatch,Self,1,9,41,30,l,0,0.650177774,0,23,42,65,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Mismatch,Stranger,1,10,42,6,k,0,0.766836768,1,24,43,61,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Match,Stranger,1,11,43,9,k,0,0.550174931,0,24,44,54,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Mismatch,Stranger,1,12,44,4,l,0,0.333505988,0,24,45,63,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Mismatch,Stranger,1,13,45,5,k,0,0.650480577,1,25,46,48,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Mismatch,Self,1,14,46,15,l,0,0.500181208,0,25,47,63,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Match,Self,1,15,47,3,l,0,0.633483722,1,26,48,70,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Mismatch,Stranger,1,16,48,22,k,0,0.26715102,1,27,49,70,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Mismatch,Self,1,17,49,31,k,0,0.566872536,1,28,50,56,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Mismatch,Self,1,18,50,13,k,0,0.483790749,1,29,51,58,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Match,Self,1,19,51,0,l,0,0.38351945,1,30,52,69,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Match,Stranger,1,20,52,10,k,0,0.283518582,0,30,53,63,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Mismatch,Self,1,21,53,28,l,0,0.500464272,0,30,54,58,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Mismatch,Self,1,22,54,29,k,0,0.416846756,1,31,55,60,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Mismatch,Self,1,23,55,31,k,0,0.516847625,1,32,56,58,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Match,Stranger,1,24,56,26,k,0,0.583509343,0,32,57,55,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Match,Stranger,1,25,57,11,l,0,0.683479418,1,33,58,76,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Match,Stranger,1,26,58,8,l,0,0.666830373,1,34,59,74,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Match,Stranger,1,27,59,10,l,0,0.366855797,1,35,60,50,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Match,Stranger,1,28,60,25,l,0,0.400185472,1,36,61,55,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Mismatch,Stranger,1,29,61,20,l,0,0.516823148,0,36,62,51,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Match,Stranger,1,30,62,26,k,0,0.633497539,0,36,63,77,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Match,Stranger,1,31,63,9,l,0,0.700177418,1,37,64,76,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Match,Self,2,0,64,19,k,0,0.500213186,0,37,65,56,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Match,Stranger,2,1,65,8,l,0,0.383518266,1,38,66,77,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Mismatch,Stranger,2,2,66,6,l,0,0.550184801,0,38,67,75,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Match,Self,2,3,67,1,l,0,0.350487446,1,39,68,57,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Mismatch,Self,2,4,68,14,k,0,0.600182866,1,40,69,72,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Mismatch,Stranger,2,5,69,6,l,0,0.450177616,0,40,70,53,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Mismatch,Stranger,2,6,70,4,l,0,0.583771089,0,40,71,66,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Mismatch,Self,2,7,71,12,l,0,0.70020229,0,40,72,63,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Match,Self,2,8,72,1,l,0,0.783626754,1,41,73,66,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Mismatch,Stranger,2,9,73,20,k,0,0.233563153,1,42,74,67,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Mismatch,Stranger,2,10,74,20,l,0,0.383485103,0,42,75,58,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Mismatch,Self,2,11,75,15,k,0,0.383509975,1,43,76,70,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Mismatch,Stranger,2,12,76,22,k,0,0.333465324,1,44,77,53,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Match,Self,2,13,77,3,l,0,0.700154126,1,45,78,64,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Match,Stranger,2,14,78,10,k,0,0.383534452,0,45,79,70,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Mismatch,Self,2,15,79,28,l,0,0.833507567,0,45,80,77,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Mismatch,Self,2,16,80,14,None,1,,3,45,81,56,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Match,Stranger,2,17,81,26,k,0,0.750161271,0,45,82,62,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Mismatch,Stranger,2,18,82,7,l,0,0.650227517,0,45,83,65,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Match,Stranger,2,19,83,24,k,0,0.433599237,0,45,84,68,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Match,Stranger,2,20,84,10,None,1,,3,45,85,52,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Mismatch,Self,2,21,85,15,k,0,0.933469351,1,46,86,61,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Mismatch,Self,2,22,86,13,l,0,0.316858126,0,46,87,59,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Mismatch,Self,2,23,87,30,l,0,0.21679646,0,46,88,65,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Match,Self,2,24,88,17,l,0,0.366891723,1,47,89,73,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Match,Self,2,25,89,2,l,0,0.417161008,1,48,90,70,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Match,Self,2,26,90,19,l,0,0.350132531,1,49,91,63,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Match,Stranger,2,27,91,26,l,0,0.733512225,1,50,92,56,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Mismatch,Stranger,2,28,92,5,k,0,0.600411054,1,51,93,70,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Mismatch,Stranger,2,29,93,6,l,0,0.666823661,0,51,94,62,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Mismatch,Self,2,30,94,15,l,0,0.350163324,0,51,95,51,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Mismatch,Self,2,31,95,14,k,0,0.81680483,1,52,96,66,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Mismatch,Stranger,3,0,96,21,l,0,0.50018634,0,52,97,74,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Mismatch,Self,3,1,97,31,k,0,0.800128543,1,53,98,57,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Match,Self,3,2,98,18,l,0,0.53348838,1,54,99,64,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Match,Self,3,3,99,1,l,0,0.500170549,1,55,100,58,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Mismatch,Self,3,4,100,29,k,0,0.550128741,1,56,101,49,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Match,Stranger,3,5,101,9,k,0,0.900387999,0,56,102,67,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Match,Stranger,3,6,102,27,l,0,0.816988801,1,57,103,52,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Match,Self,3,7,103,1,l,0,0.500165811,1,58,104,69,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Mismatch,Self,3,8,104,29,l,0,0.40019771,0,58,105,60,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Mismatch,Self,3,9,105,12,k,0,0.533478905,1,59,106,72,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Mismatch,Stranger,3,10,106,22,l,0,0.550163482,0,59,107,69,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Match,Self,3,11,107,3,l,0,0.383508001,1,60,108,72,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Match,Stranger,3,12,108,25,k,0,0.483743769,0,60,109,68,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Mismatch,Stranger,3,13,109,21,l,0,0.733499987,0,60,110,67,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Mismatch,Stranger,3,14,110,23,l,0,0.417048099,0,60,111,57,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Mismatch,Stranger,3,15,111,21,k,0,0.366874747,1,61,112,67,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Mismatch,Stranger,3,16,112,6,k,0,0.367065035,1,62,113,70,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Mismatch,Stranger,3,17,113,21,k,0,0.516849204,1,63,114,62,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Match,Stranger,3,18,114,9,l,0,0.450129451,1,64,115,51,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Mismatch,Self,3,19,115,12,k,0,0.733425372,1,65,116,62,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Mismatch,Stranger,3,20,116,20,k,0,0.900153099,1,66,117,54,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Match,Self,3,21,117,18,l,0,0.516789986,1,67,118,53,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Mismatch,Stranger,3,22,118,20,k,0,0.716776326,1,68,119,68,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Match,Stranger,3,23,119,8,k,0,0.666893539,0,68,120,64,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Mismatch,Stranger,3,24,120,7,k,0,0.733899514,1,69,121,71,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Match,Stranger,3,25,121,11,l,0,0.533515226,1,70,122,54,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Mismatch,Self,3,26,122,31,k,0,0.766820582,1,71,123,56,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Match,Self,3,27,123,16,l,0,0.566830294,1,72,124,61,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Mismatch,Self,3,28,124,29,k,0,0.516802224,1,73,125,72,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Mismatch,Stranger,3,29,125,23,k,0,0.950145638,1,74,126,73,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Match,Self,3,30,126,16,l,0,0.516828675,1,75,127,63,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Mismatch,Self,3,31,127,13,k,0,0.683465206,1,76,128,54,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Mismatch,Self,4,0,128,14,k,0,0.733450244,1,77,129,56,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Match,Self,4,1,129,2,l,0,0.350408488,1,78,130,74,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Match,Stranger,4,2,130,9,k,0,0.917062311,0,78,131,56,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Mismatch,Stranger,4,3,131,22,k,0,0.383425885,1,79,132,72,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Match,Stranger,4,4,132,11,l,0,0.300170391,1,80,133,50,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Mismatch,Stranger,4,5,133,5,k,0,0.533506146,1,81,134,51,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Mismatch,Self,4,6,134,30,k,0,0.750384722,1,82,135,56,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Match,Stranger,4,7,135,25,l,0,0.883652889,1,83,136,70,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Match,Stranger,4,8,136,24,l,0,0.850074102,1,84,137,56,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Match,Stranger,4,9,137,24,l,0,0.46704498,1,85,138,70,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Match,Stranger,4,10,138,25,l,0,0.633470299,1,86,139,66,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Mismatch,Self,4,11,139,14,k,0,0.583388538,1,87,140,73,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Match,Self,4,12,140,1,l,0,0.517140953,1,88,141,67,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Match,Self,4,13,141,16,l,0,0.46679271,1,89,142,53,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Mismatch,Stranger,4,14,142,23,k,0,0.767030215,1,90,143,64,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Match,Self,4,15,143,16,l,0,0.650164745,1,91,144,67,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Match,Self,4,16,144,0,l,0,0.366762627,1,92,145,70,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Match,Self,4,17,145,18,l,0,0.383498526,1,93,146,70,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Match,Stranger,4,18,146,8,l,0,0.816770878,1,94,147,58,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Match,Stranger,4,19,147,9,l,0,0.400157442,1,95,148,71,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Mismatch,Stranger,4,20,148,5,k,0,0.450133004,1,96,149,73,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Match,Self,4,21,149,18,l,0,0.417061522,1,97,150,77,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Match,Self,4,22,150,17,l,0,0.367061087,1,98,151,74,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Match,Self,4,23,151,0,l,0,0.317064206,1,99,152,49,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Match,Stranger,4,24,152,25,l,0,0.533740256,1,100,153,62,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Match,Self,4,25,153,18,l,0,0.400146388,1,101,154,64,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Mismatch,Self,4,26,154,29,l,0,0.333484274,0,101,155,60,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Match,Stranger,4,27,155,11,l,0,0.983453994,1,102,156,61,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Mismatch,Self,4,28,156,30,l,0,0.716719871,0,102,157,62,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Mismatch,Stranger,4,29,157,20,l,0,0.533467456,0,102,158,55,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Mismatch,Self,4,30,158,12,k,0,0.800113147,1,103,159,62,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Mismatch,Stranger,4,31,159,5,l,0,0.416803329,0,103,160,75,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Mismatch,Self,5,0,160,13,k,0,0.766794526,1,104,161,76,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Match,Stranger,5,1,161,24,k,0,0.333571128,0,104,162,58,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Match,Stranger,5,2,162,24,l,0,0.750122977,1,105,163,65,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Match,Self,5,3,163,17,l,0,0.566790815,1,106,164,77,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Mismatch,Self,5,4,164,13,l,0,0.467082485,0,106,165,54,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Match,Self,5,5,165,16,l,0,0.383714081,1,107,166,62,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Mismatch,Stranger,5,6,166,4,k,0,0.617018647,1,108,167,71,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Match,Self,5,7,167,1,l,0,0.533441795,1,109,168,48,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Mismatch,Stranger,5,8,168,7,k,0,0.433439347,1,110,169,70,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Mismatch,Stranger,5,9,169,23,k,0,0.53378842,1,111,170,53,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Mismatch,Stranger,5,10,170,4,k,0,0.483473339,1,112,171,59,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Match,Self,5,11,171,19,l,0,0.500123964,1,113,172,61,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Mismatch,Self,5,12,172,31,l,0,0.48344215,0,113,173,71,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Mismatch,Stranger,5,13,173,23,k,0,0.516807751,1,114,174,70,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Match,Self,5,14,174,0,l,0,0.550176115,1,115,175,62,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Match,Self,5,15,175,3,l,0,0.433466588,1,116,176,66,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Mismatch,Self,5,16,176,28,k,0,0.783462916,1,117,177,65,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Mismatch,Self,5,17,177,30,k,0,0.500127122,1,118,178,56,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Match,Stranger,5,18,178,27,l,0,0.383732636,1,119,179,76,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Top,Match,Self,5,19,179,16,k,0,0.416812015,0,119,180,57,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Match,Stranger,5,20,180,27,l,0,0.466823898,1,120,181,71,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Match,Self,5,21,181,2,l,0,0.433469351,1,121,182,73,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Mismatch,Self,5,22,182,15,l,0,0.36678513,0,121,183,59,1,R,24,F,Self = Positive,1,Russian
