Subject,Condition,Matching,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,RT_ms,RT_sec,ACC
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,20.0,0.02,1
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,230.0,0.23,1
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,262.0,0.262,1
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,186.0,0.186,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,144.0,0.144,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,153.0,0.153,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,255.0,0.255,1
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,189.0,0.189,1
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,104.0,0.104,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,188.0,0.188,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,126.0,0.126,0
1,bm,Matching,Bekannter,Acquaintance,Acquaintance,184.0,0.184,1
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,135.0,0.135,1
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,142.0,0.142,1
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,264.0,0.264,1
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,102.0,0.102,1
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,137.0,0.137,1
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,173.0,0.173,0
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,118.0,0.118,1
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,158.0,0.158,1
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,384.0,0.384,0
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,0.0,0.0,0
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,160.0,0.16,0
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,149.0,0.149,0
1,bn,Nonmatching,Bekannter,Acquaintance,Acquaintance,2.0,0.002,1
1,im,Matching,Ich,Self,Self,160.0,0.16,0
1,im,Matching,Ich,Self,Self,0.0,0.0,0
1,im,Matching,Ich,Self,Self,78.0,0.078,0
1,im,Matching,Ich,Self,Self,0.0,0.0,0
1,im,Matching,Ich,Self,Self,206.0,0.206,0
1,im,Matching,Ich,Self,Self,0.0,0.0,0
1,im,Matching,Ich,Self,Self,0.0,0.0,0
1,im,Matching,Ich,Self,Self,238.0,0.238,1
1,im,Matching,Ich,Self,Self,174.0,0.174,1
1,im,Matching,Ich,Self,Self,222.0,0.222,1
1,im,Matching,Ich,Self,Self,357.0,0.357,0
1,im,Matching,Ich,Self,Self,0.0,0.0,0
1,im,Matching,Ich,Self,Self,0.0,0.0,0
1,im,Matching,Ich,Self,Self,177.0,0.177,0
1,im,Matching,Ich,Self,Self,52.0,0.052,1
1,im,Matching,Ich,Self,Self,765.0,0.765,1
1,im,Matching,Ich,Self,Self,0.0,0.0,0
1,im,Matching,Ich,Self,Self,0.0,0.0,0
1,in,Nonmatching,Ich,Self,Self,223.0,0.223,0
1,in,Nonmatching,Ich,Self,Self,186.0,0.186,0
1,in,Nonmatching,Ich,Self,Self,238.0,0.238,0
1,in,Nonmatching,Ich,Self,Self,143.0,0.143,1
1,in,Nonmatching,Ich,Self,Self,319.0,0.319,0
1,in,Nonmatching,Ich,Self,Self,0.0,0.0,0
1,in,Nonmatching,Ich,Self,Self,175.0,0.175,0
1,in,Nonmatching,Ich,Self,Self,151.0,0.151,0
1,in,Nonmatching,Ich,Self,Self,163.0,0.163,1
1,in,Nonmatching,Ich,Self,Self,1057.0,1.057,0
1,in,Nonmatching,Ich,Self,Self,17.0,0.017,0
1,in,Nonmatching,Ich,Self,Self,0.0,0.0,0
1,in,Nonmatching,Ich,Self,Self,0.0,0.0,0
1,in,Nonmatching,Ich,Self,Self,326.0,0.326,1
1,in,Nonmatching,Ich,Self,Self,156.0,0.156,0
1,in,Nonmatching,Ich,Self,Self,594.0,0.594,0
1,in,Nonmatching,Ich,Self,Self,188.0,0.188,1
1,in,Nonmatching,Ich,Self,Self,188.0,0.188,1
1,mm,Matching,Mutter,Mother,Close,0.0,0.0,0
1,mm,Matching,Mutter,Mother,Close,240.0,0.24,0
1,mm,Matching,Mutter,Mother,Close,144.0,0.144,1
1,mm,Matching,Mutter,Mother,Close,181.0,0.181,1
1,mm,Matching,Mutter,Mother,Close,0.0,0.0,0
1,mm,Matching,Mutter,Mother,Close,0.0,0.0,0
1,mm,Matching,Mutter,Mother,Close,338.0,0.338,1
1,mm,Matching,Mutter,Mother,Close,227.0,0.227,1
1,mm,Matching,Mutter,Mother,Close,331.0,0.331,1
1,mm,Matching,Mutter,Mother,Close,164.0,0.164,1
1,mm,Matching,Mutter,Mother,Close,429.0,0.429,1
1,mm,Matching,Mutter,Mother,Close,0.0,0.0,0
1,mm,Matching,Mutter,Mother,Close,619.0,0.619,1
1,mm,Matching,Mutter,Mother,Close,256.0,0.256,1
1,mm,Matching,Mutter,Mother,Close,258.0,0.258,0
1,mm,Matching,Mutter,Mother,Close,270.0,0.27,0
1,mm,Matching,Mutter,Mother,Close,511.0,0.511,1
1,mm,Matching,Mutter,Mother,Close,164.0,0.164,0
1,mn,Nonmatching,Mutter,Mother,Close,0.0,0.0,0
1,mn,Nonmatching,Mutter,Mother,Close,54.0,0.054,1
1,mn,Nonmatching,Mutter,Mother,Close,60.0,0.06,0
1,mn,Nonmatching,Mutter,Mother,Close,221.0,0.221,1
1,mn,Nonmatching,Mutter,Mother,Close,0.0,0.0,0
1,mn,Nonmatching,Mutter,Mother,Close,69.0,0.069,0
1,mn,Nonmatching,Mutter,Mother,Close,187.0,0.187,1
1,mn,Nonmatching,Mutter,Mother,Close,115.0,0.115,0
1,mn,Nonmatching,Mutter,Mother,Close,3.0,0.003,0
1,mn,Nonmatching,Mutter,Mother,Close,187.0,0.187,0
1,mn,Nonmatching,Mutter,Mother,Close,95.0,0.095,1
1,mn,Nonmatching,Mutter,Mother,Close,188.0,0.188,0
1,mn,Nonmatching,Mutter,Mother,Close,1057.0,1.057,1
1,mn,Nonmatching,Mutter,Mother,Close,301.0,0.301,0
1,mn,Nonmatching,Mutter,Mother,Close,209.0,0.209,1
1,mn,Nonmatching,Mutter,Mother,Close,219.0,0.219,0
1,mn,Nonmatching,Mutter,Mother,Close,174.0,0.174,0
1,mn,Nonmatching,Mutter,Mother,Close,0.0,0.0,0
1,nm,Matching,Nichts,none,NonPerson,157.0,0.157,0
