Subject Tukey_MT Age Sex Handedness imRTmean imACC imRTsum fmRTmean fmACC fmRTsum inRTmean inACC inRTsum fnRTmean fnACC fnRTsum imER fmER inER fnER
1 2363 21 male right 746 32 23857 1121 28 31394 873 32 27925 1110 27 29980 0 4 0 4 
2 1937 21 male left 666 31 20635 972 22 21379 988 31 30613 946 28 26480 1 9 0 3 
3 2194 23 female left 820 30 24591 1010 24 24236 940 26 24433 1005 26 26120 2 6 6 6 
4 3447 24 male right 959 32 30680 1486 27 40129 1204 31 37329 1137 32 36374 0 4 1 0 
5 4446 28 male right 1022 30 30648 1480 28 41438 1486 29 43080 1573 29 45611 0 3 0 1 
6 3737 23 female right 1044 27 28198 1687 8 13499 1376 16 22013 1507 25 37672 5 24 16 7 
7 1572 20 female right 603 32 19306 813 31 25209 796 32 25480 796 31 24665 0 1 0 1 
8 2164 20 female right 863 31 26738 1146 30 34370 1004 32 32139 1017 32 32548 0 1 0 0 
9 1382 20 male right 543 32 17371 695 27 18758 718 31 22245 783 30 23498 0 5 1 2 
10 2112 21 female right 698 32 22343 1106 31 34277 1076 30 32290 940 32 30070 0 0 2 0 
11 2488 24 female right 838 32 26802 1174 24 28180 1043 30 31286 1155 27 31178 0 8 2 5 
12 1128 23 female right 566 30 16969 654 27 17664 671 32 21476 641 29 18585 2 4 0 2 
13 1190 23 female left 566 29 16412 698 28 19543 615 29 17839 675 29 19570 3 4 2 2 
14 1981 20 female right 786 32 25138 960 30 28811 833 32 26648 913 31 28291 0 2 0 1 
15 1393 21 female right 509 32 16303 657 28 18394 725 30 21742 670 31 20768 0 4 2 1 
16 1841 22 female right 677 32 21675 928 20 18570 802 28 22442 961 30 28825 0 12 4 2 
17 1968 22 male right 691 31 21426 999 28 27964 882 32 28212 915 32 29286 1 4 0 0 
18 1730 24 female right 545 32 17432 938 26 24382 827 32 26473 817 32 26135 0 6 0 0 
19 1591 22 female right 715 30 21455 853 29 24747 796 29 23070 761 30 22836 2 2 3 0 
20 2397 25 female left 823 32 26351 1135 30 34061 1157 32 37013 957 32 30611 0 2 0 0 
21 1691 25 female right 584 32 18691 870 28 24370 830 30 24907 798 31 24737 0 4 2 1 
22 2721 25 female right 811 30 24328 1171 28 32800 921 30 27622 1198 26 31152 2 4 2 6 
23 1475 39 female right 601 32 19220 825 30 24760 770 30 23092 863 31 26761 0 2 1 0 
24 3039 23 male right 566 23 13010 739 15 11078 870 20 17398 821 24 19715 7 17 11 7 
25 1617 24 female right 571 32 18278 816 31 25292 687 32 21972 798 30 23934 0 1 0 1 
26 2462 21 male right 805 31 24948 1222 22 26882 981 30 29422 1021 27 27569 1 9 2 4 
27 2102 26 female left 799 32 25577 1115 30 33464 1007 28 28206 984 31 30493 0 2 1 1 
28 1766 19 male right 929 31 28784 933 30 27997 848 31 26294 982 30 29460 1 2 1 2 
29 1474 19 female right 546 32 17483 635 27 17155 684 30 20531 694 29 20126 0 3 2 2 
30 1396 23 female right 513 30 15391 710 26 18454 727 27 19619 743 29 21536 2 6 3 3 
31 1607 21 female right 591 32 18923 774 30 23222 828 30 24853 875 31 27136 0 2 2 1 
32 2329 19 female left 589 32 18834 940 21 19744 907 25 22667 1017 27 27463 0 10 7 3 
33 1482 20 female right 698 29 20243 847 27 22858 854 25 21362 771 29 22348 3 5 7 2 
34 1951 22 female right 714 32 22837 952 31 29505 874 30 26222 994 30 29810 0 1 1 1 
