Subject Tukey_DIS liRTmean_DIS liACC_DIS liRTsum_DIS lfRTmean_DIS lfACC_DIS lfRTsum_DIS piRTmean_DIS piACC_DIS piRTsum_DIS pfRTmean_DIS pfACC_DIS pfRTsum_DIS siRTmean_DIS siACC_DIS siRTsum_DIS sfRTmean_DIS sfACC_DIS sfRTsum_DIS liER_DIS lfER_DIS piER_DIS pfER_DIS siER_DIS sfER_DIS
1 995 528 40 21139 542 38 20601 477 38 18132 534 40 21374 474 40 18966 519 39 20239 0 1 2 0 0 1 
2 1055 562 36 20231 597 35 20886 548 35 19193 544 38 20657 576 37 21329 558 36 20088 3 5 5 2 2 3 
3 945 549 37 20306 601 38 22843 552 38 20976 541 38 20542 549 38 20873 570 35 19939 2 1 1 0 2 4 
4 842 494 39 19257 528 38 20051 478 39 18636 505 40 20216 508 40 20336 495 39 19300 1 2 1 0 0 1 
5 995 569 37 21066 606 37 22415 581 36 20899 616 38 23394 604 38 22956 613 40 24518 2 1 4 2 2 0 
6 821 499 37 18455 553 33 18233 476 37 17609 484 36 17419 504 38 19167 507 39 19767 3 5 3 3 2 1 
7 739 472 38 17950 493 33 16257 427 39 16656 466 40 18651 444 37 16426 440 38 16739 2 7 1 0 3 2 
8 838 506 37 18728 529 37 19559 489 39 19084 501 40 20036 509 40 20361 525 40 21006 1 1 1 0 0 0 
9 736 489 37 18088 470 32 15040 459 36 16533 464 37 17155 450 36 16214 455 40 18182 3 8 4 3 4 0 
10 1006 551 38 20946 600 38 22789 541 40 21634 527 39 20563 545 39 21239 548 39 21368 1 2 0 1 0 1 
11 762 452 39 17642 487 40 19491 461 36 16592 442 39 17235 485 37 17958 467 39 18210 1 0 4 1 3 1 
12 849 500 32 15986 521 33 17192 481 40 19230 494 35 17283 499 40 19958 497 38 18874 8 6 0 5 0 2 
13 854 515 35 18016 543 38 20634 475 38 18066 471 40 18852 478 40 19105 493 40 19725 3 2 2 0 0 0 
14 985 509 39 19852 587 40 23473 504 36 18156 534 39 20843 537 37 19855 546 38 20751 1 0 3 0 3 1 
15 946 503 37 18599 568 33 18756 453 36 16317 456 36 16410 473 36 17015 468 37 17304 3 6 4 4 4 3 
16 993 526 37 19478 553 35 19340 490 37 18117 526 33 17365 542 36 19513 538 38 20454 3 5 3 7 4 2 
17 984 517 38 19631 594 35 20780 510 40 20418 538 40 21521 566 37 20924 518 37 19157 2 5 0 0 2 3 
18 914 502 33 16553 523 36 18819 476 39 18579 505 39 19714 510 36 18368 504 38 19134 7 3 1 1 4 1 
19 981 590 38 22410 611 37 22615 574 38 21797 578 37 21403 582 38 22101 584 38 22190 1 2 1 1 1 1 
20 1318 674 38 25606 698 39 27234 679 40 27144 696 39 27138 659 37 24392 625 37 23141 1 0 0 0 1 1 
21 921 562 39 21904 564 37 20858 540 40 21598 551 40 22049 540 39 21078 574 38 21816 1 2 0 0 1 2 
22 993 545 33 17980 551 34 18722 481 38 18275 512 37 18956 509 34 17321 515 35 18041 6 5 2 2 6 4 
23 1158 672 40 26864 737 40 29493 645 40 25783 683 38 25963 671 39 26172 679 40 27154 0 0 0 2 1 0 
24 998 539 39 21004 601 37 22252 509 40 20370 543 35 18998 533 37 19720 540 38 20520 1 3 0 5 3 2 
25 879 466 34 15853 495 37 18302 463 38 17592 480 38 18244 495 39 19304 502 34 17055 6 2 2 2 1 6 
26 896 509 36 18322 552 32 17659 485 35 16963 494 40 19769 520 37 19252 498 33 16441 4 8 5 0 2 6 
27 1220 655 39 25537 703 38 26715 666 40 26636 653 40 26104 669 40 26770 658 39 25680 1 2 0 0 0 1 
28 884 540 38 20513 556 36 20007 503 38 19104 528 37 19549 544 39 21208 540 39 21075 2 4 2 3 1 0 
29 1007 531 37 19645 585 37 21650 485 36 17447 501 38 19032 511 36 18406 511 37 18924 2 2 4 1 4 3 
30 802 442 34 15023 466 37 17224 391 33 12917 458 35 16017 440 38 16714 439 37 16232 6 3 7 5 2 3 
31 924 523 39 20413 571 40 22839 493 39 19241 519 37 19197 502 37 18569 511 40 20445 1 0 1 3 3 0 
32 1017 515 35 18037 581 36 20912 548 35 19163 511 34 17390 502 34 17077 520 36 18734 4 2 4 6 4 1 
33 922 487 39 18990 509 32 16296 469 37 17340 486 37 17978 460 38 17494 500 39 19490 1 8 3 3 2 1 
34 909 513 39 19997 597 36 21476 515 37 19061 516 35 18052 522 38 19837 519 38 19704 1 4 3 4 1 2 
