"subNo","hand","phaselabel","trial","resp","objnumber","objname","permutation","slot_identity1","slot_identity2","slot_identity3","version","self_pseudoword","objtype","ac","rt_ms"
"1002","2","test","1","z","5","shape2.jpg","2","You","<none>","Masha","1","Nenu","2","1","1037"
"1002","2","test","2","m","3","shape3.jpg","2","You","<none>","Masha","1","Nenu","1","1","519"
"1002","2","test","3","m","2","shape2.jpg","2","You","<none>","Masha","1","Nenu","1","1","1221"
"1002","2","test","4","m","2","shape2.jpg","2","You","<none>","Masha","1","Nenu","1","1","455"
"1002","2","test","5","z","9","shape3.jpg","2","You","<none>","Masha","1","Nenu","2","1","921"
"1002","2","test","6","m","8","shape2.jpg","2","You","<none>","Masha","1","Nenu","2","0","678"
"1002","2","test","7","m","1","shape1.jpg","2","You","<none>","Masha","1","Nenu","1","1","807"
"1002","2","test","8","m","2","shape2.jpg","2","You","<none>","Masha","1","Nenu","1","1","739"
"1002","2","test","9","z","4","shape1.jpg","2","You","<none>","Masha","1","Nenu","2","1","712"
"1002","2","test","10","m","1","shape1.jpg","2","You","<none>","Masha","1","Nenu","1","1","734"
"1002","2","test","11","m","3","shape3.jpg","2","You","<none>","Masha","1","Nenu","1","1","797"
"1002","2","test","12","z","6","shape3.jpg","2","You","<none>","Masha","1","Nenu","2","1","760"
"1002","2","test","13","z","6","shape3.jpg","2","You","<none>","Masha","1","Nenu","2","1","574"
"1002","2","test","14","m","1","shape1.jpg","2","You","<none>","Masha","1","Nenu","1","1","643"
"1002","2","test","15","m","3","shape3.jpg","2","You","<none>","Masha","1","Nenu","1","1","668"
"1002","2","test","16","m","2","shape2.jpg","2","You","<none>","Masha","1","Nenu","1","1","486"
"1002","2","test","17","z","7","shape1.jpg","2","You","<none>","Masha","1","Nenu","2","1","669"
"1002","2","test","18","m","3","shape3.jpg","2","You","<none>","Masha","1","Nenu","1","1","639"
"1002","2","test","19","m","1","shape1.jpg","2","You","<none>","Masha","1","Nenu","1","1","625"
"1002","2","test","20","z","1","shape1.jpg","2","You","<none>","Masha","1","Nenu","1","0","643"
"1002","2","test","21","m","1","shape1.jpg","2","You","<none>","Masha","1","Nenu","1","1","653"
"1002","2","test","22","m","3","shape3.jpg","2","You","<none>","Masha","1","Nenu","1","1","504"
"1002","2","test","23","m","1","shape1.jpg","2","You","<none>","Masha","1","Nenu","1","1","926"
"1002","2","test","24","m","8","shape2.jpg","2","You","<none>","Masha","1","Nenu","2","0","461"
"1002","2","test","25","z","9","shape3.jpg","2","You","<none>","Masha","1","Nenu","2","1","814"
"1002","2","test","26","m","3","shape3.jpg","2","You","<none>","Masha","1","Nenu","1","1","777"
"1002","2","test","27","m","2","shape2.jpg","2","You","<none>","Masha","1","Nenu","1","1","645"
"1002","2","test","28","m","3","shape3.jpg","2","You","<none>","Masha","1","Nenu","1","1","752"
"1002","2","test","29","m","1","shape1.jpg","2","You","<none>","Masha","1","Nenu","1","1","629"
"1002","2","test","30","z","7","shape1.jpg","2","You","<none>","Masha","1","Nenu","2","1","1297"
"1002","2","test","31","m","1","shape1.jpg","2","You","<none>","Masha","1","Nenu","1","1","647"
"1002","2","test","32","z","5","shape2.jpg","2","You","<none>","Masha","1","Nenu","2","1","689"
"1002","2","test","33","z","8","shape2.jpg","2","You","<none>","Masha","1","Nenu","2","1","663"
"1002","2","test","34","m","2","shape2.jpg","2","You","<none>","Masha","1","Nenu","1","1","961"
"1002","2","test","35","m","2","shape2.jpg","2","You","<none>","Masha","1","Nenu","1","1","639"
