"Pair_ID","Exp_id","P1_Age","P2_Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
1,"P5E4",24,21,"/","/","/","/","/","Hungarian","/"
10,"P5E4",26,36,"/","/","/","/","/","Hungarian","/"
11,"P5E4",21,22,"/","/","/","/","/","Hungarian","/"
12,"P5E4",21,24,"/","/","/","/","/","Hungarian","/"
13,"P5E4",24,26,"/","/","/","/","/","Hungarian","/"
14,"P5E4",26,27,"/","/","/","/","/","Hungarian","/"
15,"P5E4",24,22,"/","/","/","/","/","Hungarian","/"
16,"P5E4",22,25,"/","/","/","/","/","Hungarian","/"
17,"P5E4",36,25,"/","/","/","/","/","Hungarian","/"
18,"P5E4",24,29,"/","/","/","/","/","Hungarian","/"
19,"P5E4",23,26,"/","/","/","/","/","Hungarian","/"
2,"P5E4",24,23,"/","/","/","/","/","Hungarian","/"
3,"P5E4",30,26,"/","/","/","/","/","Hungarian","/"
4,"P5E4",21,25,"/","/","/","/","/","Hungarian","/"
5,"P5E4",21,20,"/","/","/","/","/","Hungarian","/"
6,"P5E4",31,29,"/","/","/","/","/","Hungarian","/"
7,"P5E4",27,29,"/","/","/","/","/","Hungarian","/"
8,"P5E4",23,25,"/","/","/","/","/","Hungarian","/"
9,"P5E4",27,27,"/","/","/","/","/","Hungarian","/"
20,"P5E4",31,24,"/","/","/","/","/","Hungarian","/"
