Subject,Task,Block,Trial,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,Label,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,CorrResponse,Response,RT_ms,RT_sec,ACC
2,self-matching,1,1,Matching,T.bmp,Stranger,Stranger,Stranger,Vreemde,Vreemde,Stranger,Stranger,m,n,791,0.791,0
2,self-matching,1,2,Matching,S.bmp,Self,Self,Self,Ikzelf,Ikzelf,Self,Self,n,m,1009,1.009,1
2,self-matching,1,3,Matching,C.bmp,Friend,Friend,Close,Bekende,Bekende,Friend,Close,n,m,876,0.876,1
2,self-matching,1,4,Nonmatching,S.bmp,Self,Self,Self,Bekende,Bekende,Friend,Close,m,n,1046,1.046,1
2,self-matching,1,5,Nonmatching,T.bmp,Stranger,Stranger,Stranger,Ikzelf,Ikzelf,Self,Self,m,n,912,0.912,1
2,self-matching,1,6,Nonmatching,T.bmp,Stranger,Stranger,Stranger,Bekende,Bekende,Friend,Close,m,n,1434,1.434,1
2,self-matching,1,7,Matching,T.bmp,Stranger,Stranger,Stranger,Vreemde,Vreemde,Stranger,Stranger,n,m,820,0.82,1
2,self-matching,1,8,Matching,C.bmp,Friend,Friend,Close,Bekende,Bekende,Friend,Close,n,m,958,0.958,1
2,self-matching,1,9,Nonmatching,S.bmp,Self,Self,Self,Vreemde,Vreemde,Stranger,Stranger,m,n,872,0.872,1
2,self-matching,1,10,Nonmatching,C.bmp,Friend,Friend,Close,Ikzelf,Ikzelf,Self,Self,n,n,914,0.914,1
2,self-matching,1,11,Matching,S.bmp,Self,Self,Self,Ikzelf,Ikzelf,Self,Self,n,m,1229,1.229,1
2,self-matching,1,12,Nonmatching,C.bmp,Friend,Friend,Close,Vreemde,Vreemde,Stranger,Stranger,m,n,1079,1.079,1
2,self-matching,1,13,Nonmatching,S.bmp,Self,Self,Self,Vreemde,Vreemde,Stranger,Stranger,n,n,1184,1.184,1
2,self-matching,1,14,Matching,S.bmp,Self,Self,Self,Ikzelf,Ikzelf,Self,Self,n,m,810,0.81,1
2,self-matching,1,15,Matching,T.bmp,Stranger,Stranger,Stranger,Vreemde,Vreemde,Stranger,Stranger,n,n,1044,1.044,0
2,self-matching,1,16,Nonmatching,C.bmp,Friend,Friend,Close,Vreemde,Vreemde,Stranger,Stranger,n,n,1214,1.214,1
2,self-matching,1,17,Matching,C.bmp,Friend,Friend,Close,Bekende,Bekende,Friend,Close,m,m,968,0.968,1
2,self-matching,1,18,Matching,T.bmp,Stranger,Stranger,Stranger,Vreemde,Vreemde,Stranger,Stranger,m,m,946,0.946,1
2,self-matching,1,19,Nonmatching,T.bmp,Stranger,Stranger,Stranger,Ikzelf,Ikzelf,Self,Self,m,n,861,0.861,1
2,self-matching,1,20,Nonmatching,T.bmp,Stranger,Stranger,Stranger,Bekende,Bekende,Friend,Close,m,n,1399,1.399,1
2,self-matching,1,21,Nonmatching,C.bmp,Friend,Friend,Close,Ikzelf,Ikzelf,Self,Self,n,n,1089,1.089,1
2,self-matching,1,22,Matching,C.bmp,Friend,Friend,Close,Bekende,Bekende,Friend,Close,n,m,843,0.843,1
2,self-matching,1,23,Matching,S.bmp,Self,Self,Self,Ikzelf,Ikzelf,Self,Self,m,m,933,0.933,1
2,self-matching,1,24,Nonmatching,S.bmp,Self,Self,Self,Bekende,Bekende,Friend,Close,m,n,910,0.91,1
2,self-matching,1,25,Matching,T.bmp,Stranger,Stranger,Stranger,Vreemde,Vreemde,Stranger,Stranger,n,m,1432,1.432,1
2,self-matching,1,26,Nonmatching,S.bmp,Self,Self,Self,Vreemde,Vreemde,Stranger,Stranger,n,n,930,0.93,1
2,self-matching,1,27,Matching,C.bmp,Friend,Friend,Close,Bekende,Bekende,Friend,Close,n,m,829,0.829,1
2,self-matching,1,28,Nonmatching,T.bmp,Stranger,Stranger,Stranger,Ikzelf,Ikzelf,Self,Self,n,n,775,0.775,1
2,self-matching,1,29,Nonmatching,S.bmp,Self,Self,Self,Bekende,Bekende,Friend,Close,m,m,1041,1.041,0
2,self-matching,1,30,Matching,C.bmp,Friend,Friend,Close,Bekende,Bekende,Friend,Close,m,m,1243,1.243,1
2,self-matching,1,31,Matching,S.bmp,Self,Self,Self,Ikzelf,Ikzelf,Self,Self,m,m,853,0.853,1
2,self-matching,1,32,Matching,T.bmp,Stranger,Stranger,Stranger,Vreemde,Vreemde,Stranger,Stranger,m,m,927,0.927,1
2,self-matching,1,33,Nonmatching,C.bmp,Friend,Friend,Close,Ikzelf,Ikzelf,Self,Self,n,n,1289,1.289,1
2,self-matching,1,34,Nonmatching,T.bmp,Stranger,Stranger,Stranger,Bekende,Bekende,Friend,Close,n,n,1011,1.011,1
2,self-matching,1,35,Nonmatching,C.bmp,Friend,Friend,Close,Vreemde,Vreemde,Stranger,Stranger,m,m,878,0.878,0
2,self-matching,1,36,Matching,S.bmp,Self,Self,Self,Ikzelf,Ikzelf,Self,Self,m,m,711,0.711,1
2,self-matching,1,37,Nonmatching,T.bmp,Stranger,Stranger,Stranger,Bekende,Bekende,Friend,Close,m,n,1089,1.089,1
2,self-matching,1,38,Nonmatching,T.bmp,Stranger,Stranger,Stranger,Ikzelf,Ikzelf,Self,Self,n,n,923,0.923,1
2,self-matching,1,39,Matching,S.bmp,Self,Self,Self,Ikzelf,Ikzelf,Self,Self,m,m,853,0.853,1
2,self-matching,1,40,Nonmatching,S.bmp,Self,Self,Self,Bekende,Bekende,Friend,Close,n,n,831,0.831,1
2,self-matching,1,41,Nonmatching,C.bmp,Friend,Friend,Close,Vreemde,Vreemde,Stranger,Stranger,n,n,969,0.969,1
2,self-matching,1,42,Matching,S.bmp,Self,Self,Self,Ikzelf,Ikzelf,Self,Self,n,m,691,0.691,1
2,self-matching,1,43,Matching,C.bmp,Friend,Friend,Close,Bekende,Bekende,Friend,Close,m,m,990,0.99,1
2,self-matching,1,44,Matching,C.bmp,Friend,Friend,Close,Bekende,Bekende,Friend,Close,m,m,600,0.6,1
2,self-matching,1,45,Matching,T.bmp,Stranger,Stranger,Stranger,Vreemde,Vreemde,Stranger,Stranger,n,m,834,0.834,1
2,self-matching,1,46,Nonmatching,C.bmp,Friend,Friend,Close,Ikzelf,Ikzelf,Self,Self,n,m,540,0.54,0
2,self-matching,1,47,Matching,T.bmp,Stranger,Stranger,Stranger,Vreemde,Vreemde,Stranger,Stranger,m,m,1045,1.045,1
