"Subject_ID","Exp_id","T2","T3","Age","Gender"
"AAPA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"ABSI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"ABSU","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"AFMI","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"AGSO","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"AJAN","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"AJMA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"AMAL","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"ARPA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"ASCR","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"asel","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"ASEL","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"ATFR","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"AVCL","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"AZLU","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"AZPA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"AZPC","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"BBBA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"BBST","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"BDCR","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"BGSI","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"BTAL","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"ccim","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"CLOR","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"CMDO","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"CMOA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"CNBA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"CPPA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"CRCA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"CSLI","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"CTNA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"DBGI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"DBOL","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"DCSA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"DCSI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"DPCI","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"EAGI","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"EBGA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"ECDA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"ECLA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"ECRO","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"EFMA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"EFNE","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"EMAD","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"EMMA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"EONA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"EPCR","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"EPMI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"ESAD","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"ESFL","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"ESPA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"FAMI","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"FLMA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"FMLU","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"FMMA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"FORO","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"FPMA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"GBEB","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"GBEM","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"GCBA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"GCMA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"GDEN","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"GDFB","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"GDFR","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"GFMO","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"ggma","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"GGMA","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"GLCA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"GLCR","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"GLDO","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"glli","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"GMCI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"GMMA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"GMPA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"GMRO","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"GMS0","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"GNLI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"GPCR","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"GRCH","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"GSMA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"IAIR","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"IIVMI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"JRHA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"JZSA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"kmfu","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"KMMA","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"LCMA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"LCRO","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"LFFI","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"LFVI","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"LMEL","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"LMOM","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"LSMM","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"LTEL","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"LTGI","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"MAPI","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"MBCA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"MBMI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"MBST","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"MFCM","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"mfma","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"MFTI","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"MMLA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"MNCH","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"MPMA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"MRMI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"MSSI","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"mtcr","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"MTLU","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"mtma","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"MTPI","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"NBMA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"NCAN","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"NCCL","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"NRGI","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"NRGS","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"NTCR","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"RCJE","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"RMRO","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"RVTC","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"sclu","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"SCLU","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"SDBR","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"SFDE","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"SGEL","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"SPSA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"SRMA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"SSDA","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"STAN","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"STGI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"STRO","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"SZRO","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"TBAN","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"TBFE","Atzeni_2026_PsychRes_Exp1",0,1,"/","/"
"TCMI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"TRMA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"TRSA","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"VBAR","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
"VCSI","Atzeni_2026_PsychRes_Exp1",1,1,"/","/"
"VMEL","Atzeni_2026_PsychRes_Exp1",1,0,"/","/"
