"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education","FaceRace"
"1001","Wozniak_2020_PLOS_Exp1","18","Female","Right","/","/","/","/","/","Asian"
"1002","Wozniak_2020_PLOS_Exp1","18","Female","Right","/","/","/","/","/","Asian"
"1003","Wozniak_2020_PLOS_Exp1","22","Female","Left","/","/","/","/","/","Asian"
"1004","Wozniak_2020_PLOS_Exp1","21","Female","Right","/","/","/","/","/","Caucasian"
"1005","Wozniak_2020_PLOS_Exp1","23","Female","Left","/","/","/","/","/","Caucasian"
"1006","Wozniak_2020_PLOS_Exp1","21","Female","Right","/","/","/","/","/","Asian"
"1007","Wozniak_2020_PLOS_Exp1","19","Female","Right","/","/","/","/","/","Asian"
"1008","Wozniak_2020_PLOS_Exp1","23","Female","Right","/","/","/","/","/","Asian"
"1009","Wozniak_2020_PLOS_Exp1","19","Female","Right","/","/","/","/","/","Caucasian"
"1010","Wozniak_2020_PLOS_Exp1","18","Female","Right","/","/","/","/","/","Asian"
"1011","Wozniak_2020_PLOS_Exp1","20","Female","Right","/","/","/","/","/","Asian"
"1012","Wozniak_2020_PLOS_Exp1","22","Female","A","/","/","/","/","/","Asian"
"1101","Wozniak_2020_PLOS_Exp1","21","Male","Right","/","/","/","/","/","Asian"
"1102","Wozniak_2020_PLOS_Exp1","41","Male","Right","/","/","/","/","/","Caucasian"
"1103","Wozniak_2020_PLOS_Exp1","21","Male","Right","/","/","/","/","/","Caucasian"
"1104","Wozniak_2020_PLOS_Exp1","22","Male","Left","/","/","/","/","/","Asian"
"1105","Wozniak_2020_PLOS_Exp1","21","Male","Right","/","/","/","/","/","Asian"
"1106","Wozniak_2020_PLOS_Exp1","22","Male","Right","/","/","/","/","/","Asian"
"1107","Wozniak_2020_PLOS_Exp1","26","Male","Right","/","/","/","/","/","Caucasian"
"1108","Wozniak_2020_PLOS_Exp1","21","Male","Right","/","/","/","/","/","Asian"
"1109","Wozniak_2020_PLOS_Exp1","21","Male","Right","/","/","/","/","/","Asian"
"1110","Wozniak_2020_PLOS_Exp1","24","Male","Right","/","/","/","/","/","Caucasian"
"1111","Wozniak_2020_PLOS_Exp1","21","Male","Right","/","/","/","/","/","Asian"
"1112","Wozniak_2020_PLOS_Exp1","21","Male","Right","/","/","/","/","/","Asian"
