Subject Tukey_DET liRTmean_DET liACC_DET liRTsum_DET lfRTmean_DET lfACC_DET lfRTsum_DET piRTmean_DET piACC_DET piRTsum_DET pfRTmean_DET pfACC_DET pfRTsum_DET siRTmean_DET siACC_DET siRTsum_DET sfRTmean_DET sfACC_DET sfRTsum_DET liER_DET lfER_DET piER_DET pfER_DET siER_DET sfER_DET
1 1220 348 19 6614 324 20 6473 297 20 5934 288 20 5754 292 20 5835 295 20 5903 1 1 2 0 0 0 
2 1348 392 17 6658 368 17 6251 331 17 5628 308 17 5240 330 17 5617 350 17 5947 2 5 4 5 4 6 
3 1364 378 17 6420 371 18 6685 330 20 6598 307 18 5521 352 19 6679 349 18 6289 2 1 4 0 1 3 
4 1396 367 17 6237 356 20 7112 336 20 6713 335 19 6369 349 20 6983 362 20 7246 3 0 0 1 0 0 
5 1452 414 16 6623 395 18 7109 341 20 6827 340 16 5445 367 17 6242 362 17 6157 4 4 2 4 3 2 
6 1008 353 18 6355 319 19 6064 306 17 5205 313 16 5013 294 19 5583 322 19 6121 17 18 12 12 4 2 
7 1368 362 20 7230 361 19 6855 350 20 6999 330 20 6606 339 19 6449 345 20 6897 0 2 1 0 1 0 
8 1448 378 19 7182 361 19 6858 352 20 7043 342 20 6833 369 20 7375 379 20 7572 2 4 1 2 1 1 
9 1276 326 20 6526 326 19 6186 296 20 5916 296 18 5326 328 20 6555 313 20 6256 8 5 2 1 0 0 
10 1472 386 19 7336 388 19 7373 355 20 7103 360 20 7197 352 20 7031 349 20 6987 1 1 0 1 1 0 
11 1356 339 20 6777 338 20 6765 322 20 6437 311 20 6224 343 20 6852 338 20 6762 2 2 0 1 0 0 
12 1284 341 20 6814 338 18 6079 283 20 5653 283 20 5662 328 20 6551 326 20 6510 1 6 3 3 0 0 
13 1364 365 19 6937 360 17 6124 334 18 6020 311 19 5915 354 19 6723 353 19 6703 1 3 2 1 1 1 
14 1376 384 20 7675 356 20 7124 314 19 5959 322 19 6126 350 19 6658 345 20 6898 2 0 2 1 1 0 
15 1268 322 20 6434 353 18 6355 290 19 5511 295 20 5907 319 20 6388 337 20 6732 1 5 0 0 0 0 
16 1260 374 17 6362 346 17 5874 307 19 5824 296 19 5630 334 18 6009 316 19 6005 5 6 2 2 3 2 
17 1296 362 19 6884 359 20 7181 301 20 6029 308 19 5849 318 20 6352 322 19 6125 1 1 0 2 0 1 
18 1252 373 20 7456 330 19 6273 284 19 5404 292 20 5843 305 20 6091 306 20 6124 4 2 3 3 1 1 
19 1216 340 20 6802 331 18 5959 293 20 5868 282 20 5635 323 20 6453 292 20 5835 2 0 3 2 0 0 
20 1276 337 20 6739 360 20 7200 304 20 6085 304 20 6075 313 20 6267 300 20 5997 1 3 4 1 0 1 
21 1392 373 19 7082 348 20 6970 302 19 5746 283 20 5663 356 20 7122 340 20 6791 3 0 5 5 0 3 
22 1492 370 18 6662 379 17 6448 348 20 6957 347 19 6599 375 18 6755 391 17 6648 3 3 1 2 2 4 
23 1540 401 17 6819 387 19 7347 369 20 7383 381 19 7244 383 17 6510 413 20 8262 4 1 0 2 3 0 
24 1268 321 20 6422 315 19 5990 326 20 6511 316 20 6321 304 19 5776 309 18 5565 5 5 6 2 2 0 
25 1296 364 19 6918 356 20 7111 288 19 5481 290 18 5220 351 20 7012 315 20 6305 3 2 0 1 1 0 
26 1184 332 19 6317 319 20 6373 282 19 5356 289 20 5782 304 18 5476 327 18 5879 4 1 2 1 3 2 
27 1732 452 14 6326 453 16 7244 419 18 7543 406 16 6495 462 12 5547 455 19 8649 6 5 2 4 8 2 
28 1360 346 20 6919 354 20 7088 335 20 6696 337 19 6405 342 19 6499 324 20 6474 3 1 1 0 1 0 
29 1376 394 17 6694 373 20 7467 322 18 5790 336 18 6049 355 20 7107 331 18 5964 3 1 1 1 0 2 
30 1360 370 20 7407 358 20 7152 321 20 6425 328 20 6558 354 19 6720 345 19 6562 0 1 0 0 1 1 
31 1348 374 20 7475 362 20 7234 327 20 6545 312 20 6246 334 19 6338 332 20 6648 0 0 0 0 1 0 
32 1228 314 18 5649 328 17 5574 293 20 5855 302 16 4838 322 18 5798 319 19 6056 6 11 2 2 3 3 
33 1276 360 17 6121 337 18 6060 312 19 5929 292 20 5839 332 18 5971 335 20 6708 4 3 1 5 2 1 
34 1316 343 19 6512 351 20 7023 315 19 5990 299 19 5688 336 20 6724 352 20 7035 4 2 1 0 0 0 
