"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education","group"
18154,"Pt13E1",21,"Female","R",6,"/","/","/","/",1
18238,"Pt13E1",20,"Female","R",6,"/","/","/","/",1
18240,"Pt13E1",19,"Female","R",6,"/","/","/","/",2
18080,"Pt13E1",22,"Female","R",6,"/","/","/","/",2
18158,"Pt13E1",19,"Female","R",6,"/","/","/","/",2
18088,"Pt13E1",18,"Female","R",6,"/","/","/","/",1
18326,"Pt13E1",18,"Female","R",6,"/","/","/","/",1
18262,"Pt13E1",18,"Female","R",6,"/","/","/","/",2
18442,"Pt13E1",18,"Female","R",6,"/","/","/","/",2
18360,"Pt13E1",23,"Female","R",6,"/","/","/","/",2
18376,"Pt13E1",20,"Female","R",1,"/","/","/","/",1
18114,"Pt13E1",24,"Female","R",6,"/","/","/","/",2
18380,"Pt13E1",20,"Female","R",6,"/","/","/","/",2
18302,"Pt13E1",18,"Female","R",2,"/","/","/","/",1
18508,"Pt13E1",22,"Female","R",6,"/","/","/","/",1
18504,"Pt13E1",19,"Female","R",6,"/","/","/","/",1
18198,"Pt13E1",21,"Male","R",6,"/","/","/","/",1
18358,"Pt13E1",21,"Female","R",6,"/","/","/","/",2
18482,"Pt13E1",31,"Female","R",6,"/","/","/","/",2
18284,"Pt13E1",21,"Female","R",2,"/","/","/","/",1
18410,"Pt13E1",21,"Female","R",6,"/","/","/","/",1
18536,"Pt13E1",22,"Female","R",6,"/","/","/","/",1
18540,"Pt13E1",20,"Female","R",6,"/","/","/","/",1
18701,"Pt13E1",20,"Female","R",6,"/","/","/","/",1
18576,"Pt13E1",18,"Female","R",6,"/","/","/","/",2
18574,"Pt13E1",20,"Female","R",4,"/","/","/","/",1
18570,"Pt13E1",18,"Female","R",6,"/","/","/","/",2
18496,"Pt13E1",21,"Female","R",6,"/","/","/","/",2
18588,"Pt13E1",20,"Female","R",6,"/","/","/","/",1
18592,"Pt13E1",51,"Female","R",6,"/","/","/","/",2
18700,"Pt13E1",22,"Male","R",4,"/","/","/","/",1
18436,"Pt13E1",23,"Female","R",6,"/","/","/","/",2
18568,"Pt13E1",21,"Female","R",4,"/","/","/","/",2
18468,"Pt13E1",26,"Male","L",6,"/","/","/","/",2
