"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
"12","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"1","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"16","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"19","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"17","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"11","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"9","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"18","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"6","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"8","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"3","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"5","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"15","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"20","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"7","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"2","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"13","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"4","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"10","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
"14","Sui_2023_ConsciousCog_Exp1","/","/","/","/","/","/","/","/"
