"Subject","Group","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","RT_sec","ACC"
"1","OA",1,1,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1665,1.665,1
"1","OA",1,2,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1360,1.36,1
"1","OA",1,3,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1370,1.37,1
"1","OA",1,4,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",1214,1.214,1
"1","OA",1,5,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1359,1.359,1
"1","OA",1,6,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1878,1.878,1
"1","OA",1,7,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1997,1.997,1
"1","OA",1,8,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",2233,2.233,1
"1","OA",1,9,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1328,1.328,1
"1","OA",1,10,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",2433,2.433,1
"1","OA",1,11,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1729,1.729,1
"1","OA",1,12,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",1025,1.025,1
"1","OA",1,13,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1414,1.414,1
"1","OA",1,14,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1800,1.8,1
"1","OA",1,15,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1906,1.906,1
"1","OA",1,16,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",2202,2.202,0
"1","OA",1,17,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1512,1.512,1
"1","OA",1,18,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",2338,2.338,1
"1","OA",1,19,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",2568,2.568,1
"1","OA",1,20,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1448,1.448,1
"1","OA",1,21,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",959,0.959,1
"1","OA",1,22,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1504,1.504,1
"1","OA",1,23,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",2438,2.438,1
"1","OA",1,24,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1514,1.514,1
"1","OA",1,25,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",2341,2.341,0
"1","OA",1,26,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1678,1.678,1
"1","OA",1,27,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1755,1.755,1
"1","OA",1,28,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1276,1.276,1
"1","OA",1,29,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1625,1.625,1
"1","OA",1,30,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",899,0.899,1
"1","OA",1,31,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1349,1.349,1
"1","OA",1,32,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1661,1.661,1
"1","OA",1,33,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",2776,2.776,1
"1","OA",1,34,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1763,1.763,1
"1","OA",1,35,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1103,1.103,1
"1","OA",1,36,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1318,1.318,1
"1","OA",1,37,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1411,1.411,1
"1","OA",1,38,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",1286,1.286,1
"1","OA",1,39,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1345,1.345,1
"1","OA",1,40,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1375,1.375,1
"1","OA",1,41,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",2506,2.506,1
"1","OA",1,42,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1181,1.181,1
"1","OA",1,43,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1602,1.602,1
"1","OA",1,44,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",1185,1.185,1
"1","OA",1,45,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1209,1.209,1
"1","OA",1,46,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",2525,2.525,1
"1","OA",1,47,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1236,1.236,1
"1","OA",1,48,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1919,1.919,1
"1","OA",1,49,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",2484,2.484,1
"1","OA",1,50,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1596,1.596,1
