"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education","group","Yes"
"2","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","j"
"3","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","f"
"5","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","f"
"6","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","j"
"7","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"8","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"9","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","f"
"10","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","j"
"100","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"101","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","f"
"102","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","j"
"103","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"104","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"105","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"106","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"107","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"108","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"109","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"11","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","f"
"110","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"112","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","j"
"113","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"115","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"116","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","j"
