"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education","group","Yes"
2,"Pn23E1","/","Female","/","/","/","/","/","/",2,"j"
3,"Pn23E1","/","Female","/","/","/","/","/","/",1,"f"
5,"Pn23E1","/","Female","/","/","/","/","/","/",1,"f"
6,"Pn23E1","/","Male","/","/","/","/","/","/",1,"j"
7,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
8,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
9,"Pn23E1","/","Male","/","/","/","/","/","/",2,"f"
10,"Pn23E1","/","Male","/","/","/","/","/","/",1,"j"
100,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
101,"Pn23E1","/","Female","/","/","/","/","/","/",1,"f"
102,"Pn23E1","/","Female","/","/","/","/","/","/",2,"j"
103,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
104,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
105,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
106,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
107,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
108,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
109,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
11,"Pn23E1","/","Male","/","/","/","/","/","/",2,"f"
110,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
112,"Pn23E1","/","Male","/","/","/","/","/","/",1,"j"
113,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
115,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
116,"Pn23E1","/","Male","/","/","/","/","/","/",1,"j"
12,"Pn23E1","/","Male","/","/","/","/","/","/",1,"j"
13,"Pn23E1","/","Male","/","/","/","/","/","/",2,"f"
14,"Pn23E1","/","Female","/","/","/","/","/","/",2,"j"
15,"Pn23E1","/","Female","/","/","/","/","/","/",1,"f"
16,"Pn23E1","/","Male","/","/","/","/","/","/",1,"j"
17,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
18,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
19,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
20,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
22,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
23,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
24,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
25,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
26,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
27,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
28,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
29,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
30,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
31,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
