"Subject","Group","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","RT_sec","ACC"
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",NA,NA,NA
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",NA,NA,NA
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",NA,NA,NA
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",NA,NA,NA
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",NA,NA,NA
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",NA,NA,NA
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",NA,NA,NA
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",NA,NA,NA
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",NA,NA,NA
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",NA,NA,NA
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",NA,NA,NA
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",NA,NA,NA
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",631,0.631,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",604,0.604,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",0,0,0
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",569,0.569,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",575,0.575,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",574,0.574,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",416,0.416,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",328,0.328,0
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",568,0.568,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",437,0.437,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",452,0.452,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",480,0.48,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",626,0.626,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",311,0.311,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",574,0.574,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",484,0.484,0
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",560,0.56,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",511,0.511,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",459,0.459,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",669,0.669,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",448,0.448,1
