prolific,build,computer.platform,date,time,subject,group,SubGender,SubAge,SubEthnicity,SubHand,FriendYear,FriendFamiliar,FriendMeetfreq,FriendMeetTime,Con_match,Cue,Con_shape,Con_label,Con_emotion,Stim_Content,tasktype,nblock,TrialID,response,latency,correct,cres
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,friend,self,,3.tif,SAT,1,1,0,1500,0,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,happy,stranger,stranger,,1.tif,SAT,1,2,48,1393,0,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,neutral,friend,friend,,3.tif,SAT,1,3,47,973,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,neutral,friend,friend,,3.tif,SAT,1,4,47,796,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,neutral,friend,self,,3.tif,SAT,1,5,48,1147,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,neutral,self,self,,2.tif,SAT,1,6,48,1068,0,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,stranger,self,,1.tif,SAT,1,7,0,1500,0,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,neutral,self,friend,,2.tif,SAT,1,8,48,1386,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,neutral,friend,friend,,3.tif,SAT,1,9,47,1067,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,neutral,stranger,friend,,1.tif,SAT,1,10,48,937,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,stranger,self,,1.tif,SAT,1,11,48,970,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,neutral,stranger,self,,1.tif,SAT,1,12,48,1028,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,happy,self,self,,2.tif,SAT,1,13,47,786,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,neutral,self,friend,,2.tif,SAT,1,14,48,760,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,stranger,friend,,1.tif,SAT,1,15,48,883,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,neutral,stranger,stranger,,1.tif,SAT,1,16,48,1084,0,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,neutral,self,self,,2.tif,SAT,1,17,48,718,0,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,neutral,self,self,,2.tif,SAT,1,18,47,700,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,self,friend,,2.tif,SAT,1,19,48,1125,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,happy,stranger,stranger,,1.tif,SAT,1,20,47,1369,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,neutral,self,self,,2.tif,SAT,1,21,48,838,0,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,friend,stranger,,3.tif,SAT,1,22,48,1028,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,self,stranger,,2.tif,SAT,1,23,48,969,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,happy,friend,friend,,3.tif,SAT,1,24,47,667,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,neutral,self,stranger,,2.tif,SAT,1,25,48,1116,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,happy,stranger,stranger,,1.tif,SAT,1,26,48,879,0,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,happy,friend,friend,,3.tif,SAT,1,27,47,953,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,self,friend,,2.tif,SAT,1,28,48,839,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,happy,friend,friend,,3.tif,SAT,1,29,47,850,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,self,stranger,,2.tif,SAT,1,30,48,1253,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,happy,self,self,,2.tif,SAT,1,31,48,1040,0,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,self,stranger,,2.tif,SAT,1,32,48,1071,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,friend,stranger,,3.tif,SAT,1,33,48,831,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,stranger,friend,,1.tif,SAT,1,34,48,749,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,happy,stranger,stranger,,1.tif,SAT,1,35,47,1343,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,happy,stranger,stranger,,1.tif,SAT,1,36,47,737,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,friend,self,,3.tif,SAT,1,37,48,937,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,neutral,stranger,self,,1.tif,SAT,1,38,0,1500,0,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,neutral,friend,stranger,,3.tif,SAT,1,39,48,848,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,neutral,friend,friend,,3.tif,SAT,1,40,47,787,1,v
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,unmatch,happy,stranger,self,,1.tif,SAT,1,41,48,850,1,b
,6.3.4,mac,2021-02-10,22:29:52,18171,1,Female,20,1,Right,2,7,7,daily,match,neutral,stranger,stranger,,1.tif,SAT,1,42,48,1406,0,v
