Subject_ID,Exp_id,Date,Age,Gender,Handedness,Ethnicity,Platform
461127316,1a,2023-06-29,24,Female,Right,White,Prolific
513354920,1a,2023-06-29,32,Female,Right,White,Prolific
29498939,1a,2023-06-29,40,Female,Right,White,Prolific
53624693,1a,2023-06-29,34,Female,Right,White,Prolific
620667597,1a,2023-06-29,32,Female,Left,White,Prolific
791114452,1a,2023-06-29,64,Female,Right,Black or African American,Prolific
251144243,1a,2023-06-29,46,Female,Right,White,Prolific
333474477,1a,2023-06-29,48,Male,Right,White,Prolific
709357866,1a,2023-06-29,46,Female,Right,White,Prolific
363347442,1a,2023-06-29,32,Female,Right,White,Prolific
738805664,1a,2023-06-29,34,Male,Right,Mixed race,Prolific
977581060,1a,2023-06-29,44,Female,Right,White,Prolific
18171,1a,2021-02-10,20,Female,Right,Asian or Pacific Islander,Other
18187,1a,2020-12-04,18,Male,Right,White,Other
18421,1a,2020-11-14,18,Male,Right,White,Other
18525,1a,2021-01-12,20,Female,Right,White,Other
637623037,1a,2020-11-14,21,Male,Right,White,Other
230797902,1a,2021-02-19,24,Female,Right,White,Prolific
520351462,1a,2021-02-19,18,Male,Right,White,Prolific
222442606,1a,2021-02-19,20,Male,Right,White,Prolific
574457670,1a,2021-02-19,22,Male,Left,White,Prolific
376116861,1a,2021-02-19,36,Female,Right,White,Prolific
961540589,1a,2021-02-19,24,Female,Left,White,Prolific
925865878,1a,2021-02-19,21,Male,Right,White,Prolific
686063772,1a,2021-02-19,33,Male,Right,White,Prolific
224519343,1a,2021-02-19,21,Male,Right,White,Prolific
721377677,1a,2021-02-19,18,Male,Right,White,Prolific
750403421,1a,2021-02-19,23,Female,Right,White,Prolific
215604306,1a,2021-02-19,24,Male,Right,White,Prolific
605611677,1a,2021-02-19,22,Female,Right,White,Prolific
575657350,1a,2021-02-19,51,Female,Right,White,Prolific
40932682,1a,2021-02-19,25,Male,Right,White,Prolific
403111741,1a,2021-02-19,22,Female,Right,White,Prolific
341596032,1a,2021-02-19,18,Male,Right,White,Prolific
791098901,1a,2021-02-19,29,Female,Right,White,Prolific
290041643,1a,2021-02-19,23,Male,Left,Other,Prolific
455480753,1a,2021-02-19,22,Female,Right,White,Prolific
380098247,1a,2021-02-19,26,Male,Right,White,Prolific
636272128,1a,2021-02-19,31,Female,Right,White,Prolific
779744600,1a,2021-02-19,21,Male,Left,White,Prolific
410727822,1a,2021-02-19,49,Male,Right,White,Prolific
557940631,1a,2021-02-19,20,Male,Right,White,Prolific
16163382,1a,2021-02-19,18,Male,Right,White,Prolific
828038153,1a,2021-02-22,32,Male,Right,White,Prolific
247850320,1a,2021-02-22,20,Male,Ambidextrous,White,Prolific
824333539,1a,2021-02-22,20,Male,Right,White,Prolific
637554190,1a,2021-02-22,24,Male,Right,NA,Prolific
362133593,1a,2021-02-22,20,Female,Right,White,Prolific
421724755,1a,2021-02-22,21,Male,Right,White,Prolific
352817107,1a,2021-02-22,19,Male,Right,White,Prolific
