Subject,Task,Block,Trial,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,Label,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,extraIV1,RT_ms,ACC
18171,self-matching,1,1,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,happy,1500,
18171,self-matching,1,2,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,1393,0
18171,self-matching,1,3,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,973,1
18171,self-matching,1,4,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,796,1
18171,self-matching,1,5,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,neutral,1147,1
18171,self-matching,1,6,Matching,diamond,self,self,Self,self,self,self,Self,neutral,1068,0
18171,self-matching,1,7,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,happy,1500,
18171,self-matching,1,8,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,neutral,1386,1
18171,self-matching,1,9,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,1067,1
18171,self-matching,1,10,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,937,1
18171,self-matching,1,11,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,happy,970,1
18171,self-matching,1,12,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,1028,1
18171,self-matching,1,13,Matching,diamond,self,self,Self,self,self,self,Self,happy,786,1
18171,self-matching,1,14,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,neutral,760,1
18171,self-matching,1,15,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,happy,883,1
18171,self-matching,1,16,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,1084,0
18171,self-matching,1,17,Matching,diamond,self,self,Self,self,self,self,Self,neutral,718,0
18171,self-matching,1,18,Matching,diamond,self,self,Self,self,self,self,Self,neutral,700,1
18171,self-matching,1,19,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,1125,1
18171,self-matching,1,20,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,1369,1
18171,self-matching,1,21,Matching,diamond,self,self,Self,self,self,self,Self,neutral,838,0
18171,self-matching,1,22,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,happy,1028,1
18171,self-matching,1,23,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,happy,969,1
18171,self-matching,1,24,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,667,1
18171,self-matching,1,25,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,neutral,1116,1
18171,self-matching,1,26,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,879,0
18171,self-matching,1,27,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,953,1
18171,self-matching,1,28,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,839,1
18171,self-matching,1,29,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,850,1
18171,self-matching,1,30,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,happy,1253,1
18171,self-matching,1,31,Matching,diamond,self,self,Self,self,self,self,Self,happy,1040,0
18171,self-matching,1,32,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,happy,1071,1
18171,self-matching,1,33,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,happy,831,1
18171,self-matching,1,34,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,happy,749,1
18171,self-matching,1,35,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,1343,1
18171,self-matching,1,36,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,737,1
18171,self-matching,1,37,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,happy,937,1
18171,self-matching,1,38,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,1500,
18171,self-matching,1,39,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,848,1
18171,self-matching,1,40,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,787,1
18171,self-matching,1,41,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,happy,850,1
18171,self-matching,1,42,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,1406,0
18171,self-matching,1,43,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,820,1
18171,self-matching,1,44,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,1124,1
18171,self-matching,1,45,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,750,1
18171,self-matching,1,46,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,happy,1113,1
18171,self-matching,1,47,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,886,0
18171,self-matching,1,48,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,1419,1
18171,self-matching,1,49,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,happy,889,1
18171,self-matching,1,50,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,1483,1
18171,self-matching,1,51,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,898,0
18171,self-matching,1,52,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,1116,0
18171,self-matching,1,53,Matching,diamond,self,self,Self,self,self,self,Self,neutral,1230,1
18171,self-matching,1,54,Matching,diamond,self,self,Self,self,self,self,Self,happy,1060,1
18171,self-matching,1,55,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,1500,
18171,self-matching,1,56,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,1012,1
18171,self-matching,1,57,Matching,diamond,self,self,Self,self,self,self,Self,happy,943,1
18171,self-matching,1,58,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,817,1
18171,self-matching,1,59,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,neutral,845,1
18171,self-matching,1,60,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,neutral,933,0
18171,self-matching,1,61,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,1269,0
18171,self-matching,1,62,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,824,1
18171,self-matching,1,63,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,500,0
18171,self-matching,1,64,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,neutral,930,0
18171,self-matching,1,65,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,652,0
18171,self-matching,1,66,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,neutral,1128,0
18171,self-matching,1,67,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,1500,
18171,self-matching,1,68,Matching,diamond,self,self,Self,self,self,self,Self,neutral,812,0
18171,self-matching,1,69,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,happy,867,1
18171,self-matching,1,70,Matching,diamond,self,self,Self,self,self,self,Self,happy,741,1
18171,self-matching,1,71,Matching,diamond,self,self,Self,self,self,self,Self,happy,867,1
