prolific,build,computer.platform,date,time,subject,group,SubGender,SubAge,SubEthnicity,SubHand,FriendYear,FriendFamiliar,FriendMeetfreq,FriendMeetTime,Con_match,Cue,Con_shape,Con_label,Con_emotion,Stim_Content,tasktype,nblock,TrialID,response,latency,correct,cres
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,unmatch,self,happy,,sad.tif,2.tif,SAT,1,1,47,943,1,v
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,match,self,happy,,happy.tif,2.tif,SAT,1,2,48,883,1,b
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,match,self,sad,,sad.tif,1.tif,SAT,1,3,48,1173,1,b
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,match,self,sad,,sad.tif,1.tif,SAT,1,4,48,948,1,b
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,match,stranger,sad,,sad.tif,1.tif,SAT,1,5,48,793,1,b
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,unmatch,self,neutral,,sad.tif,3.tif,SAT,1,6,47,1042,1,v
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,unmatch,self,happy,,neutral.tif,2.tif,SAT,1,7,47,1350,1,v
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,unmatch,self,neutral,,sad.tif,3.tif,SAT,1,8,0,1500,0,v
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,match,self,sad,,sad.tif,1.tif,SAT,1,9,47,945,0,b
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,unmatch,stranger,neutral,,sad.tif,3.tif,SAT,1,10,48,1118,0,v
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,unmatch,self,neutral,,happy.tif,3.tif,SAT,1,11,48,1236,0,v
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,unmatch,stranger,happy,,sad.tif,2.tif,SAT,1,12,47,956,1,v
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,match,self,sad,,sad.tif,1.tif,SAT,1,13,47,930,0,b
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,match,self,happy,,happy.tif,2.tif,SAT,1,14,48,1105,1,b
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,unmatch,stranger,sad,,happy.tif,1.tif,SAT,1,15,48,1058,0,v
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,match,stranger,sad,,sad.tif,1.tif,SAT,1,16,48,1002,1,b
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,match,stranger,sad,,sad.tif,1.tif,SAT,1,17,48,760,1,b
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,unmatch,stranger,sad,,neutral.tif,1.tif,SAT,1,18,47,998,1,v
,6.2.2,win,2020-10-27,16:19:00,18081,2,Female,25,6,Ambidextrous,,,,,unmatch,self,happy,,sad.tif,2.tif,SAT,1,19,47,1043,1,v
