Subject,Task,Block,Trial,Matching,Shape,Label,extraIV1,RT_ms,ACC
18081,facialExpression-matching,1,1,Nonmatching,diamond,sad.tif,self,943,1
18081,facialExpression-matching,1,2,Matching,diamond,happy.tif,self,883,1
18081,facialExpression-matching,1,3,Matching,triangle,sad.tif,self,1173,1
18081,facialExpression-matching,1,4,Matching,triangle,sad.tif,self,948,1
18081,facialExpression-matching,1,5,Matching,triangle,sad.tif,stranger,793,1
18081,facialExpression-matching,1,6,Nonmatching,pentagon,sad.tif,self,1042,1
18081,facialExpression-matching,1,7,Nonmatching,diamond,neutral.tif,self,1350,1
18081,facialExpression-matching,1,8,Nonmatching,pentagon,sad.tif,self,1500,
18081,facialExpression-matching,1,9,Matching,triangle,sad.tif,self,945,0
18081,facialExpression-matching,1,10,Nonmatching,pentagon,sad.tif,stranger,1118,0
18081,facialExpression-matching,1,11,Nonmatching,pentagon,happy.tif,self,1236,0
18081,facialExpression-matching,1,12,Nonmatching,diamond,sad.tif,stranger,956,1
18081,facialExpression-matching,1,13,Matching,triangle,sad.tif,self,930,0
18081,facialExpression-matching,1,14,Matching,diamond,happy.tif,self,1105,1
18081,facialExpression-matching,1,15,Nonmatching,triangle,happy.tif,stranger,1058,0
18081,facialExpression-matching,1,16,Matching,triangle,sad.tif,stranger,1002,1
18081,facialExpression-matching,1,17,Matching,triangle,sad.tif,stranger,760,1
18081,facialExpression-matching,1,18,Nonmatching,triangle,neutral.tif,stranger,998,1
18081,facialExpression-matching,1,19,Nonmatching,diamond,sad.tif,self,1043,1
18081,facialExpression-matching,1,20,Matching,diamond,happy.tif,stranger,813,1
18081,facialExpression-matching,1,21,Matching,triangle,sad.tif,self,956,0
18081,facialExpression-matching,1,22,Matching,pentagon,neutral.tif,stranger,1105,0
18081,facialExpression-matching,1,23,Nonmatching,diamond,neutral.tif,self,1041,0
18081,facialExpression-matching,1,24,Nonmatching,pentagon,sad.tif,self,692,0
18081,facialExpression-matching,1,25,Matching,diamond,happy.tif,self,925,1
18081,facialExpression-matching,1,26,Nonmatching,pentagon,happy.tif,self,852,1
18081,facialExpression-matching,1,27,Matching,diamond,happy.tif,self,841,1
18081,facialExpression-matching,1,28,Nonmatching,pentagon,happy.tif,stranger,1012,1
18081,facialExpression-matching,1,29,Matching,pentagon,neutral.tif,stranger,974,1
18081,facialExpression-matching,1,30,Nonmatching,pentagon,happy.tif,self,821,0
18081,facialExpression-matching,1,31,Nonmatching,triangle,happy.tif,stranger,1071,0
18081,facialExpression-matching,1,32,Nonmatching,pentagon,happy.tif,stranger,802,0
18081,facialExpression-matching,1,33,Nonmatching,diamond,sad.tif,stranger,419,1
18081,facialExpression-matching,1,34,Matching,triangle,sad.tif,stranger,332,0
18081,facialExpression-matching,1,35,Matching,diamond,happy.tif,stranger,185,1
18081,facialExpression-matching,1,36,Nonmatching,triangle,neutral.tif,stranger,221,0
18081,facialExpression-matching,1,37,Nonmatching,diamond,neutral.tif,stranger,305,1
18081,facialExpression-matching,1,38,Nonmatching,diamond,sad.tif,self,479,1
18081,facialExpression-matching,1,39,Nonmatching,triangle,neutral.tif,stranger,365,1
18081,facialExpression-matching,1,40,Nonmatching,triangle,happy.tif,self,627,1
18081,facialExpression-matching,1,41,Matching,pentagon,neutral.tif,stranger,680,1
18081,facialExpression-matching,1,42,Nonmatching,diamond,neutral.tif,stranger,571,1
18081,facialExpression-matching,1,43,Nonmatching,triangle,happy.tif,self,416,0
18081,facialExpression-matching,1,44,Nonmatching,pentagon,sad.tif,stranger,472,1
18081,facialExpression-matching,1,45,Nonmatching,triangle,neutral.tif,self,381,1
18081,facialExpression-matching,1,46,Nonmatching,triangle,neutral.tif,self,246,1
18081,facialExpression-matching,1,47,Matching,pentagon,neutral.tif,stranger,208,0
18081,facialExpression-matching,1,48,Nonmatching,diamond,neutral.tif,self,591,0
18081,facialExpression-matching,1,49,Matching,diamond,happy.tif,stranger,709,1
18081,facialExpression-matching,1,50,Matching,diamond,happy.tif,stranger,459,1
18081,facialExpression-matching,1,51,Matching,diamond,happy.tif,self,446,1
18081,facialExpression-matching,1,52,Matching,triangle,sad.tif,stranger,228,1
18081,facialExpression-matching,1,53,Nonmatching,triangle,happy.tif,self,839,1
18081,facialExpression-matching,1,54,Matching,triangle,sad.tif,self,707,1
18081,facialExpression-matching,1,55,Nonmatching,triangle,happy.tif,stranger,780,1
