"Subject","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
201,1,2,2,1,"Nonmatching","Self","Self","Self",3,"Stranger","Stranger",1,700,0.7,1
201,1,3,2,1,"Nonmatching","Self","Self","Self",3,"Stranger","Stranger",1,1285,1.285,1
201,1,4,3,2,"Nonmatching","Friend","Friend","Friend",2,"Friend","Close",1,1199,1.199,1
201,1,5,1,1,"Matching","Self","Self","Self",1,"Self","Self",1,877,0.877,1
201,1,6,2,1,"Nonmatching","Self","Self","Self",3,"Stranger","Stranger",1,633,0.633,1
201,1,7,1,1,"Matching","Self","Self","Self",1,"Self","Self",1,670,0.67,1
201,1,8,1,3,"Nonmatching","Stranger","Stranger","Stranger",1,"Self","Self",1,861,0.861,1
201,1,9,1,3,"Nonmatching","Stranger","Stranger","Stranger",1,"Self","Self",1,750,0.75,1
201,1,11,1,1,"Matching","Self","Self","Self",1,"Self","Self",1,638,0.638,1
201,1,12,1,3,"Nonmatching","Stranger","Stranger","Stranger",1,"Self","Self",1,647,0.647,1
201,1,13,1,2,"Nonmatching","Friend","Friend","Friend",1,"Self","Self",1,1175,1.175,1
201,1,14,1,2,"Nonmatching","Friend","Friend","Friend",1,"Self","Self",1,982,0.982,1
201,1,15,3,3,"Matching","Stranger","Stranger","Stranger",2,"Friend","Close",1,634,0.634,1
201,1,16,2,3,"Nonmatching","Stranger","Stranger","Stranger",3,"Stranger","Stranger",1,708,0.708,1
201,1,17,2,1,"Nonmatching","Self","Self","Self",3,"Stranger","Stranger",1,616,0.616,1
201,1,18,3,1,"Nonmatching","Self","Self","Self",2,"Friend","Close",1,785,0.785,1
201,1,19,3,3,"Matching","Stranger","Stranger","Stranger",2,"Friend","Close",1,1020,1.02,1
201,1,20,2,2,"Matching","Friend","Friend","Friend",3,"Stranger","Stranger",1,582,0.582,1
201,1,21,3,1,"Nonmatching","Self","Self","Self",2,"Friend","Close",1,542,0.542,1
201,1,22,2,3,"Nonmatching","Stranger","Stranger","Stranger",3,"Stranger","Stranger",1,621,0.621,1
201,1,23,3,3,"Matching","Stranger","Stranger","Stranger",2,"Friend","Close",1,605,0.605,1
201,1,24,3,2,"Nonmatching","Friend","Friend","Friend",2,"Friend","Close",1,689,0.689,0
201,1,25,1,3,"Nonmatching","Stranger","Stranger","Stranger",1,"Self","Self",1,704,0.704,1
201,1,26,3,1,"Nonmatching","Self","Self","Self",2,"Friend","Close",1,754,0.754,1
201,1,27,3,2,"Nonmatching","Friend","Friend","Friend",2,"Friend","Close",1,1082,1.082,1
201,1,28,1,1,"Matching","Self","Self","Self",1,"Self","Self",1,604,0.604,1
201,1,29,2,3,"Nonmatching","Stranger","Stranger","Stranger",3,"Stranger","Stranger",1,762,0.762,0
201,1,31,3,1,"Nonmatching","Self","Self","Self",2,"Friend","Close",1,706,0.706,1
201,1,33,1,3,"Nonmatching","Stranger","Stranger","Stranger",1,"Self","Self",1,794,0.794,1
201,1,34,3,2,"Nonmatching","Friend","Friend","Friend",2,"Friend","Close",1,1113,1.113,1
201,1,35,1,2,"Nonmatching","Friend","Friend","Friend",1,"Self","Self",1,595,0.595,1
201,1,36,1,1,"Matching","Self","Self","Self",1,"Self","Self",1,818,0.818,1
