Sample_Size,Mean_Cohens_d,SD_Cohens_d,CI_lower,CI_upper,n_bootstrap,Filtering,Baseline
10,0.1272904706708433,0.11481893006537529,-0.07338056835166182,0.3691095681586632,1000,Strict,Shape
20,0.12442133520497403,0.07792341497457696,-0.01904756533564998,0.28213307864194176,1000,Strict,Shape
30,0.12668080762664366,0.06571346539602821,-0.001479963885101461,0.2498843570423675,1000,Strict,Shape
40,0.12397478798471256,0.056216015622653076,0.021915313571518942,0.23754548249944438,1000,Strict,Shape
50,0.12511275782198938,0.04803939770650834,0.03759783647968474,0.22809287666280403,1000,Strict,Shape
60,0.12342771869811203,0.047723435029502895,0.028535583946959434,0.2133228563247657,1000,Strict,Shape
70,0.12714979550695527,0.04337089889879689,0.042388331717462674,0.21176809508194203,1000,Strict,Shape
80,0.12494172760884723,0.041397615996626655,0.04636785888886472,0.20510217937872732,1000,Strict,Shape
90,0.12608782265151042,0.03806541731016239,0.05417115806057486,0.20034085416909278,1000,Strict,Shape
100,0.12328152647558968,0.038173525044367294,0.04810391933639959,0.19623603753891283,1000,Strict,Shape
110,0.12458903443788447,0.033759371260575544,0.05704255751113305,0.19268997219834696,1000,Strict,Shape
120,0.1267039533758288,0.031040338608782612,0.0692582102792247,0.1904823691692257,1000,Strict,Shape
130,0.1250502094520383,0.0316172237303862,0.06319498072176938,0.18748397547969234,1000,Strict,Shape
140,0.12472037677796424,0.029958338529121,0.06277824255330904,0.18225937123161992,1000,Strict,Shape
150,0.12486223166037728,0.029964842441676118,0.06665523914725564,0.1830146776466034,1000,Strict,Shape
160,0.12726127259881284,0.028060707955021538,0.07285522470228772,0.18506089798642406,1000,Strict,Shape
170,0.12554420571147373,0.02728034844561948,0.0728136206762528,0.17789633585358217,1000,Strict,Shape
180,0.12507589988478077,0.026248569170898912,0.07473390239560823,0.17855495646856862,1000,Strict,Shape
190,0.12429839427795944,0.026401659254555548,0.07291851226664485,0.17774446129999766,1000,Strict,Shape
200,0.12480084725371028,0.025286488688551944,0.07333872437914671,0.17625418737395324,1000,Strict,Shape
210,0.1257982538928833,0.02530886664703512,0.0770628797785489,0.1753585050737244,1000,Strict,Shape
220,0.12511345170832283,0.024112497310565275,0.07965211632967178,0.17446700842683763,1000,Strict,Shape
230,0.12515894815582984,0.02240638349737981,0.08186406141099317,0.16699840337421643,1000,Strict,Shape
240,0.12459602110529405,0.02308993730947426,0.07851673549298814,0.1690779395766426,1000,Strict,Shape
250,0.12703849815288656,0.023572826242320488,0.08227627770054924,0.17245091296035736,1000,Strict,Shape
260,0.12430990385295777,0.02261992679543481,0.07979477803161059,0.16785567324508394,1000,Strict,Shape
270,0.12562575717431115,0.021304994471169354,0.08301979197028021,0.16678434089851457,1000,Strict,Shape
280,0.12594984680670845,0.022711946276132156,0.08239563612003807,0.1710412486240287,1000,Strict,Shape
290,0.12628640951679618,0.02068724668042095,0.0846240123103454,0.1663068809338608,1000,Strict,Shape
300,0.12546297398149664,0.020789103352661164,0.08566125548571478,0.16625098842934183,1000,Strict,Shape
310,0.12535544061857673,0.020262213508293693,0.08740840334584545,0.1659228664982803,1000,Strict,Shape
320,0.1255032676464185,0.02140496084374855,0.08461983442247427,0.16882891369883363,1000,Strict,Shape
330,0.12481100420388697,0.020935481132754733,0.08300853414988918,0.16372705264856077,1000,Strict,Shape
340,0.12598390288937455,0.019461039297591017,0.08772859816705121,0.16415424547899135,1000,Strict,Shape
350,0.12609797512033105,0.01988094082668112,0.08798429898348337,0.16527795007579116,1000,Strict,Shape
360,0.1250647127869242,0.018359241971664858,0.08958831313680499,0.16115816429590346,1000,Strict,Shape
370,0.12526204007857958,0.018740069331235214,0.0869790557360018,0.16118915709363316,1000,Strict,Shape
380,0.125682458221773,0.01820008431309064,0.09121460868272813,0.16252381846180147,1000,Strict,Shape
390,0.12631168557082387,0.018155270153262314,0.08841598479962666,0.16125113735726368,1000,Strict,Shape
400,0.12461190019286815,0.01805432711345008,0.09145261961262469,0.16199631314870888,1000,Strict,Shape
410,0.12572881996932964,0.01814643336648126,0.09237893881533132,0.16231710013204442,1000,Strict,Shape
420,0.12565370373406137,0.018425906666762377,0.08784685942944334,0.16023194859713116,1000,Strict,Shape
