Subject,Task,Block,Trial,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,Label,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,CorrResponse,Response,RT_ms,RT_sec,ACC
9605,self-matching,1,1,Nonmatching,circle.bmp,Self,Self,Self,Father,Father,Father,Close,z,m,3237,3.237,1
9605,self-matching,1,2,Matching,circle.bmp,Self,Self,Self,Self,Self,Self,Self,m,z,839,0.839,1
9605,self-matching,1,3,Nonmatching,square.bmp,Father,Father,Close,Stranger,Stranger,Stranger,Stranger,z,m,2320,2.32,1
9605,self-matching,1,4,Nonmatching,square.bmp,Father,Father,Close,Stranger,Stranger,Stranger,Stranger,m,m,2287,2.287,1
9605,self-matching,1,5,Nonmatching,circle.bmp,Self,Self,Self,Father,Father,Father,Close,z,m,1534,1.534,1
9605,self-matching,1,6,Nonmatching,square.bmp,Father,Father,Close,Stranger,Stranger,Stranger,Stranger,m,m,2260,2.26,1
9605,self-matching,1,7,Nonmatching,triangle.bmp,Stranger,Stranger,Stranger,Self,Self,Self,Self,z,m,789,0.789,1
9605,self-matching,1,8,Matching,triangle.bmp,Stranger,Stranger,Stranger,Stranger,Stranger,Stranger,Stranger,z,z,2728,2.728,1
9605,self-matching,1,9,Matching,square.bmp,Father,Father,Close,Father,Father,Father,Close,m,z,1318,1.318,1
9605,self-matching,1,10,Nonmatching,square.bmp,Father,Father,Close,Self,Self,Self,Self,z,m,997,0.997,1
9605,self-matching,1,11,Matching,square.bmp,Father,Father,Close,Father,Father,Father,Close,m,z,1113,1.113,1
9605,self-matching,1,12,Matching,square.bmp,Father,Father,Close,Father,Father,Father,Close,z,z,1272,1.272,1
9605,self-matching,1,13,Nonmatching,square.bmp,Father,Father,Close,Stranger,Stranger,Stranger,Stranger,m,m,1417,1.417,1
9605,self-matching,1,14,Matching,triangle.bmp,Stranger,Stranger,Stranger,Stranger,Stranger,Stranger,Stranger,z,z,1283,1.283,1
9605,self-matching,1,15,Nonmatching,square.bmp,Father,Father,Close,Stranger,Stranger,Stranger,Stranger,m,m,899,0.899,1
9605,self-matching,1,16,Nonmatching,triangle.bmp,Stranger,Stranger,Stranger,Self,Self,Self,Self,m,m,1155,1.155,1
9605,self-matching,1,17,Nonmatching,triangle.bmp,Stranger,Stranger,Stranger,Self,Self,Self,Self,m,m,1256,1.256,1
9605,self-matching,1,18,Nonmatching,square.bmp,Father,Father,Close,Stranger,Stranger,Stranger,Stranger,m,m,1322,1.322,1
9605,self-matching,1,19,Nonmatching,triangle.bmp,Stranger,Stranger,Stranger,Father,Father,Father,Close,m,m,1048,1.048,1
9605,self-matching,1,20,Matching,square.bmp,Father,Father,Close,Father,Father,Father,Close,z,z,1170,1.17,1
9605,self-matching,1,21,Nonmatching,circle.bmp,Self,Self,Self,Stranger,Stranger,Stranger,Stranger,m,m,1687,1.687,1
9605,self-matching,1,22,Nonmatching,circle.bmp,Self,Self,Self,Stranger,Stranger,Stranger,Stranger,z,m,974,0.974,1
9605,self-matching,1,23,Matching,circle.bmp,Self,Self,Self,Self,Self,Self,Self,z,z,1667,1.667,1
9605,self-matching,1,24,Matching,square.bmp,Father,Father,Close,Father,Father,Father,Close,m,z,947,0.947,1
9605,self-matching,1,25,Nonmatching,circle.bmp,Self,Self,Self,Stranger,Stranger,Stranger,Stranger,m,m,1065,1.065,1
9605,self-matching,1,26,Matching,circle.bmp,Self,Self,Self,Self,Self,Self,Self,m,z,1018,1.018,1
9605,self-matching,1,27,Matching,circle.bmp,Self,Self,Self,Self,Self,Self,Self,m,z,1109,1.109,1
9605,self-matching,1,28,Nonmatching,square.bmp,Father,Father,Close,Stranger,Stranger,Stranger,Stranger,z,m,900,0.9,1
9605,self-matching,1,29,Nonmatching,triangle.bmp,Stranger,Stranger,Stranger,Self,Self,Self,Self,m,m,1219,1.219,1
9605,self-matching,1,30,Nonmatching,square.bmp,Father,Father,Close,Self,Self,Self,Self,z,m,966,0.966,1
9605,self-matching,1,31,Matching,triangle.bmp,Stranger,Stranger,Stranger,Stranger,Stranger,Stranger,Stranger,z,z,1210,1.21,1
9605,self-matching,1,32,Matching,circle.bmp,Self,Self,Self,Self,Self,Self,Self,z,z,869,0.869,1
9605,self-matching,1,33,Matching,circle.bmp,Self,Self,Self,Self,Self,Self,Self,z,m,806,0.806,0
