"Subject","Trial","Label","Nonword","Matching","ACC","RT_ms","bed","manipCheck","Resp","Cresp","Condition"
1,1,"Fremder","ambelde","Nonmatching",1,1065,"L1n",2,"k","k","short6"
1,2,"Ich","lor","Nonmatching",1,1089,"L2n",3,"k","k","short6"
1,3,"Ich","ambelde","Matching",1,1165,"L2m",4,"d","d","short6"
1,4,"Fremder","lor","Matching",1,1598,"L1m",1,"d","d","short6"
1,5,"Fremder","lor","Matching",1,556,"L1m",1,"d","d","short6"
1,6,"Fremder","ambelde","Nonmatching",1,1089,"L1n",2,"k","k","short6"
1,7,"Ich","lor","Nonmatching",1,1270,"L2n",3,"k","k","short6"
1,8,"Ich","ambelde","Matching",0,1455,"L2m",4,"p","d","short6"
1,9,"Ich","lor","Nonmatching",0,6872,"L2n",3,"p","k","short6"
1,10,"Fremder","ambelde","Nonmatching",0,667,"L1n",2,"q","k","short6"
1,11,"Fremder","lor","Matching",0,3570,"L1m",1,"q","d","short6"
1,12,"Ich","ambelde","Matching",1,1434,"L2m",4,"d","d","short6"
1,13,"Ich","lor","Nonmatching",0,1768,"L2n",3,"p","k","short6"
1,14,"Fremder","ambelde","Nonmatching",0,839,"L1n",2,"p","k","short6"
1,15,"Fremder","lor","Matching",0,1556,"L1m",1,"q","d","short6"
1,16,"Ich","ambelde","Matching",1,1327,"L2m",4,"d","d","short6"
1,17,"Ich","lor","Nonmatching",0,1199,"L2n",3,"p","k","short6"
1,18,"Ich","ambelde","Matching",0,226,"L2m",4,"p","d","short6"
1,19,"Fremder","lor","Matching",1,8853,"L1m",1,"d","d","short6"
1,20,"Fremder","ambelde","Nonmatching",0,472,"L1n",2,"q","k","short6"
1,21,"Fremder","ambelde","Nonmatching",0,339,"L1n",2,"q","k","short6"
1,22,"Ich","ambelde","Matching",0,285,"L2m",4,"q","d","short6"
1,23,"Fremder","lor","Matching",0,350,"L1m",1,"a","d","short6"
1,24,"Ich","lor","Nonmatching",0,672,"L2n",3,"d","k","short6"
1,25,"Fremder","lor","Matching",1,309,"L1m",1,"d","d","short6"
1,26,"Ich","lor","Nonmatching",0,676,"L2n",3,"l","k","short6"
1,27,"Ich","ambelde","Matching",0,280,"L2m",4,"l","d","short6"
1,28,"Fremder","ambelde","Nonmatching",0,11240,"L1n",2,"p","k","short6"
1,29,"Fremder","ambelde","Nonmatching",0,1042,"L1n",2,"w","k","short6"
1,30,"Fremder","lor","Matching",0,426,"L1m",1,"l","d","short6"
1,31,"Ich","ambelde","Matching",0,551,"L2m",4,"k","d","short6"
1,32,"Ich","lor","Nonmatching",0,496,"L2n",3,"d","k","short6"
1,33,"Fremder","ambelde","Nonmatching",0,342,"L1n",2,"d","k","short6"
1,34,"Fremder","lor","Matching",0,240,"L1m",1,"k","d","short6"
1,35,"Ich","ambelde","Matching",0,1265,"L2m",4,"k","d","short6"
1,36,"Ich","lor","Nonmatching",1,448,"L2n",3,"k","k","short6"
1,37,"Ich","ambelde","Matching",1,370,"L2m",4,"d","d","short6"
1,38,"Fremder","ambelde","Nonmatching",0,638,"L1n",2,"d","k","short6"
1,39,"Ich","lor","Nonmatching",0,767,"L2n",3,"d","k","short6"
1,40,"Fremder","lor","Matching",0,568,"L1m",1,"k","d","short6"
1,41,"Fremder","ambelde","Nonmatching",1,46216,"L1n",2,"k","k","short6"
1,42,"Ich","ambelde","Matching",1,278,"L2m",4,"d","d","short6"
1,43,"Fremder","lor","Matching",0,283,"L1m",1,"k","d","short6"
1,44,"Ich","lor","Nonmatching",0,291,"L2n",3,"d","k","short6"
1,45,"Fremder","ambelde","Nonmatching",1,271,"L1n",2,"k","k","short6"
1,46,"Ich","ambelde","Matching",0,458,"L2m",4,"k","d","short6"
1,47,"Ich","lor","Nonmatching",0,273,"L2n",3,"d","k","short6"
1,48,"Fremder","lor","Matching",0,221,"L1m",1,"k","d","short6"
1,49,"Fremder","ambelde","Nonmatching",0,283,"L1n",2,"d","k","short6"
1,50,"Ich","lor","Nonmatching",1,386,"L2n",3,"k","k","short6"
1,51,"Fremder","lor","Matching",0,1028,"L1m",1,"k","d","short6"
1,52,"Ich","ambelde","Matching",0,456,"L2m",4,"k","d","short6"
1,53,"Fremder","lor","Matching",1,357,"L1m",1,"d","d","short6"
1,54,"Ich","ambelde","Matching",1,497,"L2m",4,"d","d","short6"
1,55,"Fremder","ambelde","Nonmatching",0,447,"L1n",2,"d","k","short6"
1,56,"Ich","lor","Nonmatching",1,295,"L2n",3,"k","k","short6"
1,57,"Ich","lor","Nonmatching",1,549,"L2n",3,"k","k","short6"
1,58,"Fremder","ambelde","Nonmatching",1,292,"L1n",2,"k","k","short6"
1,59,"Fremder","lor","Matching",0,411,"L1m",1,"k","d","short6"
1,60,"Ich","ambelde","Matching",1,472,"L2m",4,"d","d","short6"
1,61,"Fremder","ambelde","Nonmatching",1,649,"L1n",2,"k","k","short6"
1,62,"Ich","ambelde","Matching",0,891,"L2m",4,"k","d","short6"
1,63,"Fremder","lor","Matching",1,598,"L1m",1,"d","d","short6"
1,64,"Ich","lor","Nonmatching",1,498,"L2n",3,"k","k","short6"
1,65,"Ich","lor","Nonmatching",0,927,"L2n",3,"d","k","short6"
1,66,"Fremder","lor","Matching",0,512,"L1m",1,"k","d","short6"
1,67,"Ich","ambelde","Matching",0,3480,"L2m",4,"k","d","short6"
1,68,"Fremder","ambelde","Nonmatching",1,715,"L1n",2,"k","k","short6"
2,1,"Fremder","sfartku","Nonmatching",1,1567,"L2n",3,"k","k","long3"
2,2,"Ich","muf","Nonmatching",1,1601,"L1n",2,"k","k","long3"
2,3,"Fremder","muf","Matching",1,1230,"L2m",4,"d","d","long3"
2,4,"Ich","sfartku","Matching",1,879,"L1m",1,"d","d","long3"
2,5,"Ich","sfartku","Matching",1,1022,"L1m",1,"d","d","long3"
2,6,"Ich","muf","Nonmatching",1,753,"L1n",2,"k","k","long3"
2,7,"Fremder","sfartku","Nonmatching",1,1312,"L2n",3,"k","k","long3"
2,8,"Fremder","muf","Matching",1,1519,"L2m",4,"d","d","long3"
2,9,"Fremder","sfartku","Nonmatching",1,1240,"L2n",3,"k","k","long3"
2,10,"Ich","muf","Nonmatching",0,825,"L1n",2,"d","k","long3"
2,11,"Fremder","muf","Matching",1,1238,"L2m",4,"d","d","long3"
2,12,"Ich","sfartku","Matching",1,810,"L1m",1,"d","d","long3"
2,13,"Fremder","muf","Matching",0,925,"L2m",4,"k","d","long3"
2,14,"Ich","sfartku","Matching",1,834,"L1m",1,"d","d","long3"
2,15,"Ich","muf","Nonmatching",1,635,"L1n",2,"k","k","long3"
2,16,"Fremder","sfartku","Nonmatching",0,563,"L2n",3,"d","k","long3"
2,17,"Fremder","muf","Matching",1,1031,"L2m",4,"d","d","long3"
2,18,"Fremder","sfartku","Nonmatching",1,1071,"L2n",3,"k","k","long3"
2,19,"Ich","muf","Nonmatching",1,1053,"L1n",2,"k","k","long3"
2,20,"Ich","sfartku","Matching",1,722,"L1m",1,"d","d","long3"
2,21,"Fremder","muf","Matching",1,965,"L2m",4,"d","d","long3"
2,22,"Ich","sfartku","Matching",1,793,"L1m",1,"d","d","long3"
2,23,"Ich","muf","Nonmatching",1,837,"L1n",2,"k","k","long3"
