"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
1,"Pu1E1",29,"female","right","/","/","/","/","/"
103,"Pu1E1",23,"female","right","/","/","/","/","/"
109,"Pu1E1",27,"female","right","/","/","/","/","/"
13,"Pu1E1",23,"male","right","/","/","/","/","/"
19,"Pu1E1",21,"male","right","/","/","/","/","/"
7,"Pu1E1",26,"female","right","/","/","/","/","/"
104,"Pu1E1",21,"female","right","/","/","/","/","/"
110,"Pu1E1",24,"male","right","/","/","/","/","/"
14,"Pu1E1",22,"male","right","/","/","/","/","/"
2,"Pu1E1",22,"male","right","/","/","/","/","/"
20,"Pu1E1",21,"female","right","/","/","/","/","/"
8,"Pu1E1",27,"male","left","/","/","/","/","/"
105,"Pu1E1",24,"male","right","/","/","/","/","/"
15,"Pu1E1",20,"male","right","/","/","/","/","/"
21,"Pu1E1",19,"male","right","/","/","/","/","/"
3,"Pu1E1",24,"female","right","/","/","/","/","/"
9,"Pu1E1",25,"female","right","/","/","/","/","/"
10,"Pu1E1",20,"female","right","/","/","/","/","/"
106,"Pu1E1",24,"male","right","/","/","/","/","/"
16,"Pu1E1",19,"male","right","/","/","/","/","/"
4,"Pu1E1",19,"female","right","/","/","/","/","/"
101,"Pu1E1",23,"female","right","/","/","/","/","/"
107,"Pu1E1",25,"female","right","/","/","/","/","/"
11,"Pu1E1",19,"female","right","/","/","/","/","/"
17,"Pu1E1",25,"female","right","/","/","/","/","/"
5,"Pu1E1",25,"male","right","/","/","/","/","/"
102,"Pu1E1",24,"female","right","/","/","/","/","/"
108,"Pu1E1",23,"female","right","/","/","/","/","/"
12,"Pu1E1",19,"male","right","/","/","/","/","/"
18,"Pu1E1",24,"male","right","/","/","/","/","/"
6,"Pu1E1",23,"female","right","/","/","/","/","/"
