"Subject","Block","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"1","2","octagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","x","875","0.875","1"
"1","2","triangle","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","646","0.646","1"
"1","2","triangle","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","x","599","0.599","0"
"1","2","rhomboid","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","595","0.595","1"
"1","2","octagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","x","848","0.848","1"
"1","2","diamond","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","c","895","0.895","0"
"1","2","octagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","c","629","0.629","1"
"1","2","octagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","c","780","0.78","1"
"1","2","triangle","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","749","0.749","1"
"1","2","rhomboid","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","c","527","0.527","1"
"1","2","rhomboid","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","658","0.658","1"
"1","2","triangle","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","750","0.75","1"
"1","2","diamond","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","c","1206","1.206","0"
"1","2","rhomboid","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","c","573","0.573","1"
"1","2","diamond","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","c","793","0.793","1"
"1","2","diamond","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","c","723","0.723","1"
"1","3","rhomboid","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","631","0.631","1"
"1","3","triangle","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","656","0.656","1"
"1","3","diamond","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","c","618","0.618","1"
"1","3","diamond","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","x","853","0.853","1"
"1","3","triangle","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","661","0.661","1"
"1","3","diamond","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","c","1370","1.37","1"
"1","3","octagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","x","776","0.776","1"
"1","3","diamond","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","x","746","0.746","1"
"1","3","triangle","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","962","0.962","1"
"1","3","triangle","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","466","0.466","1"
"1","3","rhomboid","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","c","546","0.546","1"
"1","3","octagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","c","690","0.69","1"
"1","3","rhomboid","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","c","619","0.619","1"
"1","3","octagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","c","635","0.635","1"
"1","3","octagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","x","769","0.769","1"
"1","3","rhomboid","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","641","0.641","1"
"1","1","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","777","0.777","1"
"1","1","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","862","0.862","1"
"1","1","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","n","953","0.953","1"
"1","1","trapeze","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","m","572","0.572","1"
"1","1","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","n","1061","1.061","1"
"1","1","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","m","573","0.573","1"
"1","1","trapeze","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","n","704","0.704","1"
"1","1","trapeze","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","m","526","0.526","1"
"1","1","square","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","m","405","0.405","1"
"1","1","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","m","722","0.722","1"
"1","1","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","n","987","0.987","1"
"1","1","square","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","n","674","0.674","1"
"1","1","trapeze","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","n","566","0.566","1"
"1","1","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","m","886","0.886","0"
"1","1","square","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","n","580","0.58","1"
"1","1","square","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","m","366","0.366","1"
"1","2","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","n","755","0.755","1"
"1","2","trapeze","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","n","613","0.613","0"
"1","2","trapeze","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","n","527","0.527","1"
"1","2","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","550","0.55","1"
"1","2","square","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","n","554","0.554","1"
"1","2","square","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","m","317","0.317","1"
"1","2","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","738","0.738","1"
"1","2","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","m","797","0.797","1"
"1","2","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","m","689","0.689","0"
"1","2","trapeze","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","m","519","0.519","1"
"1","2","square","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","m","421","0.421","1"
"1","2","square","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","n","652","0.652","1"
"1","2","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","n","649","0.649","1"
"1","2","trapeze","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","n","762","0.762","1"
"1","2","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","m","674","0.674","1"
"1","2","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","n","514","0.514","1"
"1","3","trapeze","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","m","640","0.64","1"
"1","3","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","n","560","0.56","1"
"1","3","trapeze","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","m","563","0.563","0"
"1","3","square","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","n","539","0.539","1"
"1","3","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","n","708","0.708","1"
"1","3","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","m","676","0.676","1"
