"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"true","false","[]","[]","[]","preload","0","473","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","6447","0.0-1.0","5972","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","7930","0.0-2.0-0.0","1483","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","7933","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","22674","0.0-2.0-2.0","14737","","{""Q0"":""1006""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","23699","0.0-2.0-3.0","1022","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","31517","0.0-2.0-4.0","7817","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","36332","0.0-2.0-5.0","4811","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","161734","0.0-3.0","125400","","","","85.6","53.98","483.2667526307925","5.642767863087866","506.23","9.66533505261585","50.00000000000001","0.7159606948263169","25.599999999999998","12.619999999999997","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","165480","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","228575","0.0-5.0","63093","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4829},{""page_index"":1,""viewing_time"":37398},{""page_index"":2,""viewing_time"":18136},{""page_index"":3,""viewing_time"":2729}]","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","232231","0.0-6.0","null","<count-down title=""""></count-down>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","12","234969","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.667512345678936","640","356","./1_3_Stimuli/T_ambi40.png","朋友","Image","朋友","Match","f","false","Practice"
"","","","","","html-keyboard-response","13","235274","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","14","237099","0.0-7.0-0.0-0.1","672","","j","","","","","","","","","","","","","key","j","16.666898148148093","640","356","./1_3_Stimuli/S_ambi40.png","自我","Image","自我","Match","f","false","Practice"
"","","","","","html-keyboard-response","15","237408","0.0-7.0-0.0-1.1","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","16","239387","0.0-7.0-0.0-0.2","827","","f","","","","","","","","","","","","","key","f","16.66766666666665","640","356","./1_3_Stimuli/C_ambi40.png","朋友","Image","他人","Mismatch","j","false","Practice"
"","","","","","html-keyboard-response","17","239704","0.0-7.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","18","242002","0.0-7.0-0.0-0.3","1146","","j","","","","","","","","","","","","","key","j","16.667350364963475","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Word","自我","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","19","242318","0.0-7.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","20","244518","0.0-7.0-0.0-0.4","1047","","j","","","","","","","","","","","","","key","j","16.667335877862612","640","356","./1_3_Stimuli/C_ambi40.png","自我","Image","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","21","244834","0.0-7.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","22","246863","0.0-7.0-0.0-0.5","878","","f","","","","","","","","","","","","","key","f","16.664991735537008","640","356","./1_3_Stimuli/T_ambi40.png","朋友","Word","朋友","Match","f","true","Practice"
"","","","","","html-keyboard-response","23","247175","0.0-7.0-0.0-1.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","24","249274","0.0-7.0-0.0-0.6","947","","j","","","","","","","","","","","","","key","j","16.666540322580747","640","356","./1_3_Stimuli/S_ambi40.png","他人","Word","自我","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","25","249581","0.0-7.0-0.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
