success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,view_history,response_type,key_press,avg_frame_time,center_x,center_y,image,word,target,valence,matchness,correct_response,correct,exp_condition,question_order,result
true,false,[],[],[],preload,0,605,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,1,9596,0.0-1.0,8990,"
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,2,10882,0.0-2.0-0.0,1285,"
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,call-function,3,10882,0.0-2.0-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,4,17930,0.0-2.0-2.0,7046,,"{""Q0"":""1028""}",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,5,19573,0.0-2.0-3.0,1641,<p style = 'color : white'>您的性别</p>,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,6,27607,0.0-2.0-4.0,8033,,"{""Q0"":""2003""}",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,7,31588,0.0-2.0-5.0,3979,,"{""Q0"":""5""}",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,virtual-chinrest,8,160863,0.0-3.0,129272,,,,85.6,53.98,528.689685298987,6.18100440901021,462.52,10.5737937059797,50,0.771719235962143,27.84,15.56,,,,,,,,,,,,,,,,
true,,,,,fullscreen,9,168471,0.0-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,10,243908,0.0-5.0,75437,,,,,,,,,,,,,,"[{""page_index"":0,""viewing_time"":15048},{""page_index"":1,""viewing_time"":30066},{""page_index"":2,""viewing_time"":27034},{""page_index"":3,""viewing_time"":3289}]",,,,,,,,,,,,,,,
,,,,,html-keyboard-response,11,247574,0.0-6.0,null,"<count-down title=""""></count-down>",null,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,psychophysics,12,249755,0.0-7.0-0.0-0.0,1004,,j,,,,,,,,,,,,,key,j,16.79609375,720,446,./1_3_Stimuli/C_ambi40.png,自我,Image,自我,Match,j,true,Practice,,
,,,,,html-keyboard-response,13,250071,0.0-7.0-0.0-1.0,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,14,252423,0.0-7.0-0.0-0.1,1197,,j,,,,,,,,,,,,,key,j,16.6671428571428,720,446,./1_3_Stimuli/S_ambi40.png,他人,Word,他人,Match,j,true,Practice,,
,,,,,html-keyboard-response,15,252733,0.0-7.0-0.0-1.1,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,16,254566,0.0-7.0-0.0-0.2,673,,j,,,,,,,,,,,,,key,j,16.6697247706422,720,446,./1_3_Stimuli/C_ambi40.png,自我,Image,自我,Match,j,true,Practice,,
,,,,,html-keyboard-response,17,254902,0.0-7.0-0.0-1.2,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,18,256591,0.0-7.0-0.0-0.3,528,,j,,,,,,,,,,,,,key,j,16.6660000000001,720,446,./1_3_Stimuli/C_ambi40.png,自我,Word,自我,Match,j,true,Practice,,
,,,,,html-keyboard-response,19,256899,0.0-7.0-0.0-1.3,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,20,258820,0.0-7.0-0.0-0.4,763,,f,,,,,,,,,,,,,key,f,16.6657894736842,720,446,./1_3_Stimuli/T_ambi40.png,他人,Word,朋友,Mismatch,f,true,Practice,,
,,,,,html-keyboard-response,21,259122,0.0-7.0-0.0-1.4,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,22,261032,0.0-7.0-0.0-0.5,755,,f,,,,,,,,,,,,,key,f,16.6657894736844,720,446,./1_3_Stimuli/C_ambi40.png,朋友,Image,自我,Mismatch,f,true,Practice,,
,,,,,html-keyboard-response,23,261334,0.0-7.0-0.0-1.5,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,24,263168,0.0-7.0-0.0-0.6,674,,f,,,,,,,,,,,,,key,f,16.6669724770643,720,446,./1_3_Stimuli/S_ambi40.png,朋友,Image,他人,Mismatch,f,true,Practice,,
,,,,,html-keyboard-response,25,263474,0.0-7.0-0.0-1.6,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,26,265545,0.0-7.0-0.0-0.7,919,,j,,,,,,,,,,,,,key,j,16.6661290322579,720,446,./1_3_Stimuli/T_ambi40.png,朋友,Image,朋友,Match,j,true,Practice,,
,,,,,html-keyboard-response,27,265860,0.0-7.0-0.0-1.7,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,28,267906,0.0-7.0-0.0-0.8,894,,f,,,,,,,,,,,,,key,f,16.6652892561983,720,446,./1_3_Stimuli/T_ambi40.png,自我,Image,朋友,Mismatch,f,true,Practice,,
,,,,,html-keyboard-response,29,268219,0.0-7.0-0.0-1.8,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,30,270169,0.0-7.0-0.0-0.9,776,,f,,,,,,,,,,,,,key,f,16.6672413793105,720,446,./1_3_Stimuli/T_ambi40.png,他人,Image,朋友,Mismatch,f,true,Practice,,
,,,,,html-keyboard-response,31,270481,0.0-7.0-0.0-1.9,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,32,272538,0.0-7.0-0.0-0.10,895,,f,,,,,,,,,,,,,key,f,16.6639344262295,720,446,./1_3_Stimuli/T_ambi40.png,朋友,Word,朋友,Match,j,false,Practice,,
,,,,,html-keyboard-response,33,272839,0.0-7.0-0.0-1.10,null,<span style='color:red; font-size: 70px;'>错误! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,34,274777,0.0-7.0-0.0-0.11,784,,j,,,,,,,,,,,,,key,j,16.6663793103447,720,446,./1_3_Stimuli/S_ambi40.png,他人,Image,他人,Match,j,true,Practice,,
,,,,,html-keyboard-response,35,275084,0.0-7.0-0.0-1.11,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
,,,,,psychophysics,36,276921,0.0-7.0-0.0-0.12,662,,j,,,,,,,,,,,,,key,j,16.6660550458713,720,446,./1_3_Stimuli/T_ambi40.png,朋友,Image,朋友,Match,j,true,Practice,,
,,,,,html-keyboard-response,37,277224,0.0-7.0-0.0-1.12,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,,
