"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"","","","","","psychophysics","26","134869","0.0-7.0-0.0-0.7","714","","j","","","","","","","","","","","","","key","j","16.68535135135129","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Word","朋友","Match","j","true","Practice"
"","","","","","html-keyboard-response","27","135182","0.0-7.0-0.0-1.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","28","137040","0.0-7.0-0.0-0.8","705","","f","","","","","","","","","","","","","key","f","16.682772727272557","640","356","./1_3_Stimuli/S_ambi40.png","他人","Image","朋友","Mismatch","f","true","Practice"
"","","","","","html-keyboard-response","29","137341","0.0-7.0-0.0-1.8","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","30","138974","0.0-7.0-0.0-0.9","470","","j","","","","","","","","","","","","","key","j","16.68479381443287","640","356","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","j","true","Practice"
"","","","","","html-keyboard-response","31","139284","0.0-7.0-0.0-1.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","32","140948","0.0-7.0-0.0-0.10","508","","f","","","","","","","","","","","","","key","f","16.85398989899003","640","356","./1_3_Stimuli/C_ambi40.png","自我","Word","他人","Mismatch","f","true","Practice"
"","","","","","html-keyboard-response","33","141262","0.0-7.0-0.0-1.10","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","34","142992","0.0-7.0-0.0-0.11","580","","j","","","","","","","","","","","","","key","j","16.683067961165047","640","356","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Practice"
"","","","","","html-keyboard-response","35","143297","0.0-7.0-0.0-1.11","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","36","145078","0.0-7.0-0.0-0.12","628","","f","","","","","","","","","","","","","key","f","16.684575471698135","640","356","./1_3_Stimuli/C_ambi40.png","自我","Image","他人","Mismatch","f","true","Practice"
