"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition","question_order"
"true","false","[]","[]","[]","preload","0","535","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","12939","0.0-1.0","12403","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","n","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","14107","0.0-2.0-0.0","1167","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      ","n","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","14109","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","27649","0.0-2.0-2.0","13538","","{""Q0"":""1029""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","28592","0.0-2.0-3.0","941","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","49984","0.0-2.0-4.0","21391","","{""Q0"":""2001""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","57768","0.0-2.0-5.0","7783","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","340543","0.0-3.0","282771","","","","85.6","53.98","448.23972655865657","5.241710463582105","545.97","8.964794531173132","50","0.8165273587192975","25.6","11.08","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","346838","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","449560","0.0-5.0","102720","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":12141},{""page_index"":1,""viewing_time"":44055},{""page_index"":2,""viewing_time"":42186},{""page_index"":3,""viewing_time"":4338}]","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","453213","0.0-6.0","null","<count-down title=""""></count-down>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","12","455923","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.690434782608897","640","356","./1_3_Stimuli/C_ambi40.png","自我","Word","朋友","Mismatch","f","false","Practice",""
