"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition","question_order"
"true","false","[]","[]","[]","preload","0","460","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","58002","0.0-1.0","57541","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","arrowright","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","59429","0.0-2.0-0.0","1426","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      ","arrowright","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","59429","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","67561","0.0-2.0-2.0","8130","","{""Q0"":""1031""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","70256","0.0-2.0-3.0","2693","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","75512","0.0-2.0-4.0","5255","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","78592","0.0-2.0-5.0","3079","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","273088","0.0-3.0","194494","","","","85.6","53.98","708.7728286427972","8.275401674964552","344.22","14.175456572855945","50","0.5220290409671873","29.76","15","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","276483","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
