success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,view_history,response_type,key_press,avg_frame_time,center_x,center_y,image,word,target,valence,matchness,correct_response,correct,exp_condition
true,false,[],[],[],preload,0,1532,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,1,23837,0.0-1.0,22305,"
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ", ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,2,31632,0.0-2.0-0.0,7794,"
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      ", ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,call-function,3,31633,0.0-2.0-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,4,43351,0.0-2.0-2.0,11717,,"{""Q0"":""1013""}",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,5,45191,0.0-2.0-3.0,1839,<p style = 'color : white'>您的性别</p>,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,6,51982,0.0-2.0-4.0,6791,,"{""Q0"":""2003""}",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,7,55093,0.0-2.0-5.0,3111,,"{""Q0"":""5""}",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,virtual-chinrest,8,193821,0.0-3.0,138726,,,,85.6,53.98,448.648924630714,5.24556697232375,545.47,8.97297849261428,50,0.88265005945562,28.8,15.5,,,,,,,,,,,,,,
true,,,,,fullscreen,9,201342,0.0-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,10,243473,0.0-5.0,42129,,,,,,,,,,,,,,"[{""page_index"":0,""viewing_time"":8177},{""page_index"":1,""viewing_time"":26056},{""page_index"":2,""viewing_time"":5525},{""page_index"":3,""viewing_time"":2372}]",,,,,,,,,,,,,
,,,,,html-keyboard-response,11,247135,0.0-6.0,null,"<count-down title=""""></count-down>",null,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,psychophysics,12,249486,0.0-7.0-0.0-0.0,1194,,f,,,,,,,,,,,,,key,f,16.6656785714286,720,446,./1_3_Stimuli/S_ambi40.png,朋友,Image,朋友,Match,j,false,Practice
,,,,,html-keyboard-response,13,249801,0.0-7.0-0.0-1.0,null,<span style='color:red; font-size: 70px;'>错误! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,14,252509,0.0-7.0-0.0-0.1,null,,null,,,,,,,,,,,,,key,null,16.6654844720498,720,446,./1_3_Stimuli/S_ambi40.png,他人,Image,朋友,Mismatch,f,false,Practice
,,,,,html-keyboard-response,15,252822,0.0-7.0-0.0-1.1,null,<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,16,255527,0.0-7.0-0.0-0.2,null,,null,,,,,,,,,,,,,key,null,16.6655776397515,720,446,./1_3_Stimuli/S_ambi40.png,朋友,Image,朋友,Match,j,false,Practice
,,,,,html-keyboard-response,17,255836,0.0-7.0-0.0-1.2,null,<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,18,258261,0.0-7.0-0.0-0.3,1260,,f,,,,,,,,,,,,,key,f,16.6648194444444,720,446,./1_3_Stimuli/C_ambi40.png,他人,Word,他人,Match,j,false,Practice
,,,,,html-keyboard-response,19,258576,0.0-7.0-0.0-1.3,null,<span style='color:red; font-size: 70px;'>错误! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,20,260632,0.0-7.0-0.0-0.4,900,,f,,,,,,,,,,,,,key,f,16.6654262295082,720,446,./1_3_Stimuli/T_ambi40.png,他人,Word,自我,Mismatch,f,true,Practice
,,,,,html-keyboard-response,21,260935,0.0-7.0-0.0-1.4,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,22,262728,0.0-7.0-0.0-0.5,628,,f,,,,,,,,,,,,,key,f,16.6641132075472,720,446,./1_3_Stimuli/S_ambi40.png,自我,Word,朋友,Mismatch,f,true,Practice
,,,,,html-keyboard-response,23,263036,0.0-7.0-0.0-1.5,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,24,265195,0.0-7.0-0.0-0.6,1003,,j,,,,,,,,,,,,,key,j,16.6642812499999,720,446,./1_3_Stimuli/C_ambi40.png,自我,Word,他人,Mismatch,f,false,Practice
,,,,,html-keyboard-response,25,265505,0.0-7.0-0.0-1.6,null,<span style='color:red; font-size: 70px;'>错误! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,26,267538,0.0-7.0-0.0-0.7,880,,f,,,,,,,,,,,,,key,f,16.6670991735541,720,446,./1_3_Stimuli/S_ambi40.png,自我,Image,朋友,Mismatch,f,true,Practice
,,,,,html-keyboard-response,27,267845,0.0-7.0-0.0-1.7,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,28,269814,0.0-7.0-0.0-0.8,818,,f,,,,,,,,,,,,,key,f,16.6638632478629,720,446,./1_3_Stimuli/C_ambi40.png,自我,Image,他人,Mismatch,f,true,Practice
,,,,,html-keyboard-response,29,270116,0.0-7.0-0.0-1.8,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,30,271814,0.0-7.0-0.0-0.9,540,,j,,,,,,,,,,,,,key,j,16.6649099999998,720,446,./1_3_Stimuli/T_ambi40.png,自我,Word,自我,Match,j,true,Practice
,,,,,html-keyboard-response,31,272130,0.0-7.0-0.0-1.9,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,32,274197,0.0-7.0-0.0-0.10,915,,j,,,,,,,,,,,,,key,j,16.6653821138212,720,446,./1_3_Stimuli/S_ambi40.png,朋友,Word,朋友,Match,j,true,Practice
,,,,,html-keyboard-response,33,274501,0.0-7.0-0.0-1.10,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,34,276565,0.0-7.0-0.0-0.11,907,,j,,,,,,,,,,,,,key,j,16.6636178861789,720,446,./1_3_Stimuli/C_ambi40.png,他人,Word,他人,Match,j,true,Practice
,,,,,html-keyboard-response,35,276874,0.0-7.0-0.0-1.11,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,36,278609,0.0-7.0-0.0-0.12,583,,f,,,,,,,,,,,,,key,f,16.6643883495143,720,446,./1_3_Stimuli/T_ambi40.png,朋友,Image,自我,Mismatch,f,true,Practice
,,,,,html-keyboard-response,37,278915,0.0-7.0-0.0-1.12,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,38,281082,0.0-7.0-0.0-0.13,1017,,j,,,,,,,,,,,,,key,j,16.6646201550386,720,446,./1_3_Stimuli/S_ambi40.png,朋友,Word,朋友,Match,j,true,Practice
,,,,,html-keyboard-response,39,281394,0.0-7.0-0.0-1.13,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,40,283545,0.0-7.0-0.0-0.14,998,,f,,,,,,,,,,,,,key,f,16.6661093750004,720,446,./1_3_Stimuli/C_ambi40.png,朋友,Word,他人,Mismatch,f,true,Practice
,,,,,html-keyboard-response,41,283859,0.0-7.0-0.0-1.14,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,42,285902,0.0-7.0-0.0-0.15,888,,j,,,,,,,,,,,,,key,j,16.6652786885245,720,446,./1_3_Stimuli/C_ambi40.png,他人,Image,他人,Match,j,true,Practice
,,,,,html-keyboard-response,43,286217,0.0-7.0-0.0-1.15,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,44,287832,0.0-7.0-0.0-0.16,463,,j,,,,,,,,,,,,,key,j,16.664145833333,720,446,./1_3_Stimuli/T_ambi40.png,自我,Word,自我,Match,j,true,Practice
,,,,,html-keyboard-response,45,288135,0.0-7.0-0.0-1.16,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,46,289909,0.0-7.0-0.0-0.17,618,,f,,,,,,,,,,,,,key,f,16.6650571428572,720,446,./1_3_Stimuli/T_ambi40.png,朋友,Word,自我,Mismatch,f,true,Practice
,,,,,html-keyboard-response,47,290223,0.0-7.0-0.0-1.17,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,48,292306,0.0-7.0-0.0-0.18,932,,j,,,,,,,,,,,,,key,j,16.6647741935486,720,446,./1_3_Stimuli/C_ambi40.png,他人,Image,他人,Match,j,true,Practice
,,,,,html-keyboard-response,49,292615,0.0-7.0-0.0-1.18,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,50,294417,0.0-7.0-0.0-0.19,647,,f,,,,,,,,,,,,,key,f,16.6641121495327,720,446,./1_3_Stimuli/T_ambi40.png,他人,Image,自我,Mismatch,f,true,Practice
,,,,,html-keyboard-response,51,294724,0.0-7.0-0.0-1.19,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback
,,,,,psychophysics,52,296628,0.0-7.0-0.0-0.20,749,,j,,,,,,,,,,,,,key,j,16.6641327433625,720,446,./1_3_Stimuli/T_ambi40.png,自我,Image,自我,Match,j,true,Practice
